policy_id,title,organization,old_amount_manwon,old_amount_actual,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_actual,new_amount_type,new_roi_apply_method,delta_ratio,pattern,suggested_action,suggested_reason,selected_context
PBLN_000000000119957,[부산] 기계ㆍ부품ㆍ철강산업 숙련기술자 고용안정 지원사업 참여 기업 및 참여자 모집 공고,부산광역시,750.0,최대 750만원,support_amount,subtract,2250.0,"최대 2,250만원",support_amount,subtract,3x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,"kr) – 지원사업 공고 ❍ 지원조건 : 수혜기업의 일자리창출(채용약정) 및 환수 조치에 동의한 기업 - 1개사 최대 2,250만원(채용약정 3명)"
PBLN_000000000120123,2026년 금융 테스트베드 참여기업 테스트비용 지원 공고,금융위원회,15000.0,최대 1.5억원,support_amount,subtract,12000.0,최대 1.2억원,subsidy,subtract,0.8x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,종료일까지만 지원 □ (지원 금액)국고보조금 최대 1.2억 원 지원 ㅇ기업별 사업역량
PBLN_000000000120933,[경기] 시흥시 2026년 대야기계장비 소공인특화지원센터 자율사업 통합 모집 공고,경기도,300.0,최대 300만원,support_amount,subtract,700.0,최대 700만원,support_amount,subtract,2.33x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,사업지원 등 9개사 (최종 사업지원 4개사) 업체당 최대 700만원
PBLN_000000000121028,[울산] 2026년 상반기 산업안전보건 국제표준 인증기업 지원사업 시행 공고,울산광역시,200.0,최대 200만원,support_amount,subtract,300.0,최대 300만원,support_amount,subtract,1.5x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,업체당 300만원 한도 氠瑢 구 분 지원 한도액(천원) 비 고 합 계 3
PBLN_000000000122238,[강원] 춘천시 2026년 지식재산 국내분쟁 비용지원 사업 모집 연장 공고,강원특별자치도,300.0,최대 300만원,support_amount,subtract,800.0,최대 800만원,support_amount,subtract,2.67x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,"경고장 대응 지원 - 기업당 최대 8,000 천원 이내 지원 사업신청 방법 이메일 접수 (ip15@gwep"
PBLN_000000000122394,[제주] 2026년 전기차 사용 후 배터리 실증 지원사업(KC인증) 상시모집 공고,제주특별자치도,5000.0,"최대 5,000만원",support_amount,subtract,2500.0,"최대 2,500만원",support_amount,subtract,0.5x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,"1개사당 최대 25,000천원 지원3"
PBLN_000000000122623,[전북] 2026년 2차 자동차 대체부품 분야 기업지원 사업 공고,전북특별자치도,49493.0,,unknown,review,25586.3,최대 2.6억원,support_amount,subtract,0.517x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,"000원 4건(품목) 내외 지원 김제시 : 255,863,000원 ‣ 국산차 부품 : 최대 2억원/과제 - 기업별 수혜 이력에 따라 과제당 최대 지원금 차등 지원 氠瑢 구분 2회이상 3회이상 4회이상 汤捯 최"
PBLN_000000000123277,[대전ㆍ충청] 2026년 중소기업 AI훈련확산 지원사업 참여기업 모집 공고,고용노동부,280.0,최대 280만원,support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,3.57x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,"10명 이내 (훈련 운영) 프로젝트 수행방식의 훈련 참여자 주도형 훈련 (지원혜택) 훈련과정개발비(최대 210만원) + 훈련교사 수당(기업당 최대 1,000만원) + 훈련비(NCS단가 × 훈련시간 × 훈련인원) 체계적 현장훈련(S-OJT) Key Point"
PBLN_000000000123300,[광주] 2026년 자동차 부품업체 지속 가능 전환기업 육성지원사업 지원기업 모집 공고,광주광역시,1600.0,"최대 1,600만원",support_amount,subtract,2500.0,"최대 2,500만원",support_amount,subtract,1.56x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,외 수요 기반 요구사항 해결과 조기 사업화를 위한 샘플 제작지원 및 고객(사) 니즈 반영 개발제품에 대한 고급화 지원(기업당 최대 25백만원 내외)
PBLN_000000000123456,[전남] 화순군 2026년 스타기업 모집 공고,전라남도,6000.0,"최대 6,000만원",support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,0.333x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,2개 분야별 세부 프로그램(기업별 최대 20백만원 이내) 지원 - 기술지원 : 시제품제작지원
PBLN_000000000123472,[세종] 2026년 정보보호 기업육성(사업화 & 창업ㆍ벤처 육성) 지원사업 모집 공고,세종특별자치시,4000.0,"최대 4,000만원",support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,0.25x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,"15,000천원 - 창업·벤처육성 : 40,000천원(4개사) / 1개사 최대 10,000천원○(지원대상)세종 소재 ICT/SW기반 정보보호 제품·서비스 기술개발 및 사업화"
PBLN_000000000123584,[경남] 2026년 지역기업 성장사다리 지원사업 패스트트랙(Track A) 모집 공고,중소벤처기업부,1000.0,"최대 1,000만원",support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,2x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,"마케팅 지원(기업당 20,000천원 이내)"
PBLN_000000000123642,[전남광주] 2026년 2차 글로벌강소기업 1000+ 프로젝트 자율 프로그램 모집 공고,전남광주통합특별시,800.0,최대 800만원,support_amount,subtract,3500.0,"최대 3,500만원",support_amount,subtract,4.38x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,□ 지역자율프로그램 지원내용ㅇ신청금액 :기업당 20백만원 ~35백만원 내외ㅇ기업부담금 :자부담은 의무사항이 아니며
PBLN_000000000123694,[대전] 2026년 팝:콘 고도화 제작 지원사업 참여기업 모집 수정 공고,대전광역시,28950.0,최대 2.9억원,support_amount,subtract,5790.0,"최대 5,790만원",support_amount,subtract,0.2x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,"/ 5개사 지원(기업당 최대 57,900천원)구분세부분야지원기업수지원금액자유분야보유 콘텐츠 업그레이드 및 사업화 지원3개사 기업당(57"
TECHNOPARK:1752,[서천군] 2026년 시군구연고산업육성 협업프로젝트(서천군 해양바이오 인큐베이팅 사업) 3차 수혜기업 모집 공고 기간 연장 안내,충남테크노파크,5000.0,조건별 기업당 최대 5천만원,non_cash,recommend_only,7000.0,"최대 7,000만원",support_amount,subtract,1.4x,likely_new_limit_candidate,adopt_new,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,kr/region/rms 氠瑢 ◎ 기업당 연 최대 7천만원 지원 ▹ 기업지원 프로그램 : 기업당 최대 5천만원 ▹ 외국인 인력채용 : 기업당 최대 1천만원 ▹ 생산성향상 : 기업당 최대 1천만원 ◎ 기
