policy_id,title,organization,old_amount_manwon,old_amount_actual,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_actual,new_amount_type,new_roi_apply_method,resolution_source,resolution_reason,gemini_confidence,selected_context
PBLN_000000000118395,[경기] 2026년 기술닥터사업 공고,경기도,500.0,최대 500만원,support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,gemini_second_review,"새 파싱 후보 금액 2,000만원은 공정 개선 등 구체적 성과물 도출 시 지원 가능한 최대 금액으로 명확하게 제시되어 기존 최대 지원금액 500만원보다 대표 금액으로 적합합니다.",high,"공정 개선 등 구체적 성과물 도출) 2,000만원 이내 총 비용의 20% 3단계 상용화 지원 기업의 매출향상 및 고용창출 위한 제품화‧사업화 지원(상세설계"
PBLN_000000000119957,[부산] 기계ㆍ부품ㆍ철강산업 숙련기술자 고용안정 지원사업 참여 기업 및 참여자 모집 공고,부산광역시,750.0,최대 750만원,support_amount,subtract,2250.0,"최대 2,250만원",support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,"kr) – 지원사업 공고 ❍ 지원조건 : 수혜기업의 일자리창출(채용약정) 및 환수 조치에 동의한 기업 - 1개사 최대 2,250만원(채용약정 3명)"
PBLN_000000000120012,[경기] 2026년 공동활용 연구장비 사용료 지원 기업 모집 공고,경기도,10000.0,최대 1억원,support_amount,subtract,500.0,최대 500만원,support_amount,subtract,gemini_second_review,새 파싱 후보 금액은 '기업당 최대 5백만원 지원'이라는 명확한 문구를 근거로 대표 지원금액으로 채택하는 것이 타당합니다.,high,자세한 지원대상 공고문 참조 ☞ 도내 기업이 주관기관의 공동활용 연구장비(장비기반 기술서비스 포함) 사용 시 사용료 지원(기업당 최대 5백만원 지원) 사업신청 방법 온라인 접수 (경기도연구장비공동활용사업) 사업신청 사이트 온라인신청 바로가기 문의처 경기도경제과학진흥원 바이오기업지원팀
PBLN_000000000120123,2026년 금융 테스트베드 참여기업 테스트비용 지원 공고,금융위원회,15000.0,최대 1.5억원,support_amount,subtract,12000.0,최대 1.2억원,subsidy,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,종료일까지만 지원 □ (지원 금액)국고보조금 최대 1.2억 원 지원 ㅇ기업별 사업역량
PBLN_000000000120600,[경북] 김천시 2026년 기술주치의119지원사업 공고,경상북도,200000.0,최대 20억원,support_amount,subtract,1500.0,"최대 1,500만원",support_amount,subtract,gemini_second_review,"새 파싱 후보 금액인 최대 1,500만원이 공고 내에서 명확하게 지원금액으로 제시되어 있으며, 기존값인 20억원과는 큰 차이가 있지만 문맥상 새로운 지원 한도를 나타내는 것으로 판단됩니다.",high,"경북TP의 지원금은 부가세 포함 최대 15,000천원임 Ⅳ"
PBLN_000000000120673,2026년 다공성 탄소소재 기반 환경소재 및 부품개발 기반구축 사업 수혜기업 지원(시제품 제작 및 기술지도) 사업 공고,산업통상부,50.0,최대 50만원,support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,gemini_second_review,"새로운 파싱 금액은 '10백만원 이내'로 명시되어 있으며, 기존 금액인 50만원보다 훨씬 크고 지원 대상 기업 수(8개社)와 함께 구체적으로 제시되어 대표 지원금으로 적합합니다.",high,기관 보유 장비 및 도입장비를 활용하여 실증에 적용 가능한 다공성 탄소소재 기반의 제품 상용화 및 고도화를 위한 시제품 제작비 지원 10백만원 이내 8개 社 기술지원
PBLN_000000000120780,2026년 통상변화대응지원사업 참여기업 모집 공고,산업통상부,1000000.0,최대 100억원,support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,gemini_second_review,"새 파싱 금액은 '기업당 최대 2천만원까지 지원하며'라는 문구와 일치하며, 지원금액으로 명확하게 판단됩니다.",high,경영혁신지원 ◦ (지원대상) 통상변화대응기업 지정 이후 3년 이내 기업 * 기존 무역조정지원 지정기업 포함하여 지원(신청일 기준 지정 3년 이내 기업) ◦ (지원한도 및 기간) 기업당 최대 2천만원까지 지원하며
PBLN_000000000120865,2026년 한ㆍ이스라엘 국제공동기술개발사업 신규 과제 통합 공고,산업통상부,168000.0,최대 16.8억원,support_amount,subtract,420000.0,최대 42억원,support_amount,subtract,gemini_second_review,새 파싱 금액 42억원은 '라이트하우스 프로그램' 과제당 최대 지원금으로 명확하게 제시되어 대표 지원금으로 채택하는 것이 적절합니다.,high,단위 : 원) 구분 라이트하우스 프로그램 (Lighthouse Program) 과제 규모 제한 없음 과제당 최대 지원금(양국 컨소시엄 합계) 1) 42억 한국 측 예산 비율에 따른 과제당 지원금 2) 30% 12
PBLN_000000000120933,[경기] 시흥시 2026년 대야기계장비 소공인특화지원센터 자율사업 통합 모집 공고,경기도,300.0,최대 300만원,support_amount,subtract,700.0,최대 700만원,support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,사업지원 등 9개사 (최종 사업지원 4개사) 업체당 최대 700만원
PBLN_000000000121028,[울산] 2026년 상반기 산업안전보건 국제표준 인증기업 지원사업 시행 공고,울산광역시,200.0,최대 200만원,support_amount,subtract,300.0,최대 300만원,support_amount,subtract,rule_adjudication,새 후보가 기업 단위 한도 문맥이고 차이 배율이 극단적이지 않습니다.,,업체당 300만원 한도 氠瑢 구 분 지원 한도액(천원) 비 고 합 계 3
