policy_id,title,organization,fetch_status,source_kind,decision,decision_reasons,decision_reasons_ko,comparison_reasons,old_amount_manwon,old_amount_type,old_roi_apply_method,candidate_count,new_selected_amount_manwon,new_selected_type,new_roi_apply_method,new_support_ratio,detail_text_length,attachment_text_length,fetch_error,url
ENERGYAGENCY:21809,2019년 에너지경영시스템 인프라 구축 지원사업 공고 안내,한국에너지공단,fetched,url,needs_review,selected_context_has_risk_keyword,선택 후보 주변에 총사업비/자부담 등 위험 키워드가 있음,,15000.0,subsidy,subtract,2,15000.0,subsidy,subtract,0.4,7042,0,,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=21809
ENERGYAGENCY:21849,2019년 에너지경영시스템 인프라 구축 지원사업 공고 안내,한국에너지공단,fetched,url,needs_review,selected_context_has_risk_keyword,선택 후보 주변에 총사업비/자부담 등 위험 키워드가 있음,,15000.0,subsidy,subtract,2,15000.0,subsidy,subtract,0.4,7042,0,,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=21849
ENERGYAGENCY:24575,(수정)2026년도 산업진단 개선이행 지원사업 2차 공고,한국에너지공단,fetched,url,needs_review,large_amount_delta,기존 금액과 새 대표금액 차이가 큼,"amount_delta_20_percent:old=69000,new=1",69000.0,support_amount,subtract,2,1.0,support_amount,subtract,0.7,6863,0,,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=24575
KOSMES:6107069,2026년 숙련기능인력 E-7-4 전환추천 모집공고(제2026-52호),중소벤처기업진흥공단,fetched,url,needs_review,candidate_missing,금액 후보 자체를 찾지 못함,,,,recommend_only,0,,,,,5680,0,,https://www.kosmes.or.kr/nsh/SH/NTS/SHNTS001F0.do?seqNo=6107069&tabPage=01
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,fetched,url,needs_review,subtract_without_limit_context | large_amount_delta,직접 차감 후보이나 기업당/한도 문맥이 부족함 | 기존 금액과 새 대표금액 차이가 큼,"amount_delta_20_percent:old=250000,new=50000",250000.0,support_amount,subtract,19,50000.0,support_amount,subtract,1.0,27515,0,통합사업관리시스템 매뉴얼_수행기관용_v1.1.pdf: 404 Client Error: Not Found for url: https://www.k-pass.kr/notice/%ED%86%B5%ED%95%A9%EC%82%AC%EC%97%85%EA%B4%80%EB%A6%AC%EC%8B%9C%EC%8A%A4%ED%85%9C%20%EB%A7%A4%EB%89%B4%EC%96%BC_%EC%88%98%ED%96%89%EA%B8%B0%EA%B4%80%EC%9A%A9_v1.1.pdf / FileDown.do: 404 Client Error: Not Found for url: https://www.k-pass.kr/cmm/FileDown.do?dirName=manual/&fileName= / FileDown.do: 404 Client Error: Not Found for url: https://www.k-pass.kr/cmm/FileDown.do;jsessionid=4RoydPaXHUpp1LObg4KxbPzijehqhXia3jtb48r7cUaKHTrRT1oYDjzN31CUmK6w.K-PASS-WAS_servlet_engine2?ancId= / FileDown.do: 404 Client Error: Not Found for url: https://www.k-pass.kr/cmm/FileDown.do;jsessionid=4RoydPaXHUpp1LObg4KxbPzijehqhXia3jtb48r7cUaKHTrRT1oYDjzN31CUmK6w.K-PASS-WAS_servlet_engine2?fileid=,https://www.k-pass.kr/notice/ancView.do?ancId=P2950&gubun=NEW
PBLN_000000000115994,2026년 스마트 제조혁신 지원사업 통합 공고,중소벤처기업부,fetched,url,safe,clear_selected_candidate,대표금액 후보가 명확함,,50000.0,subsidy,subtract,42,50000.0,subsidy,subtract,0.5,2262,12050,26년_스마트제조혁신_지원사업_통합공고.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/26%EB%85%84_%EC%8A%A4%EB%A7%88%ED%8A%B8%EC%A0%9C%EC%A1%B0%ED%98%81%EC%8B%A0_%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%ED%86%B5%ED%95%A9%EA%B3%B5%EA%B3%A0.pdf / 202510310932590267.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202510310932590267.pdf,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000115994
PBLN_000000000116004,스마트 공장 수준 확인(2026년 스마트 제조혁신 지원사업 통합 공고),중소벤처기업부,fetched,url,safe,clear_selected_candidate,대표금액 후보가 명확함,,50000.0,subsidy,subtract,42,50000.0,subsidy,subtract,0.5,2574,12050,26년_스마트제조혁신_지원사업_통합공고.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/26%EB%85%84_%EC%8A%A4%EB%A7%88%ED%8A%B8%EC%A0%9C%EC%A1%B0%ED%98%81%EC%8B%A0_%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%ED%86%B5%ED%95%A9%EA%B3%B5%EA%B3%A0.pdf / 202510311349430914.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202510311349430914.pdf / 202510311350180073.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202510311350180073.pdf / 스마트공장 수준 확인.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EC%8A%A4%EB%A7%88%ED%8A%B8%EA%B3%B5%EC%9E%A5%20%EC%88%98%EC%A4%80%20%ED%99%95%EC%9D%B8.pdf / 스마트공장 수준 확인.pdf: text extraction failed,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116004
PBLN_000000000116008,제조 DX멘토단 활용지원(2026년 스마트 제조혁신 지원사업 통합 공고),중소벤처기업부,fetched,url,safe,clear_selected_candidate,대표금액 후보가 명확함,,50000.0,subsidy,subtract,42,50000.0,subsidy,subtract,0.5,2455,12054,26년_스마트제조혁신_지원사업_통합공고(수정).pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/26%EB%85%84_%EC%8A%A4%EB%A7%88%ED%8A%B8%EC%A0%9C%EC%A1%B0%ED%98%81%EC%8B%A0_%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%ED%86%B5%ED%95%A9%EA%B3%B5%EA%B3%A0(%EC%88%98%EC%A0%95).pdf / 제조 DX멘토단 활용지원.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EC%A0%9C%EC%A1%B0%20DX%EB%A9%98%ED%86%A0%EB%8B%A8%20%ED%99%9C%EC%9A%A9%EC%A7%80%EC%9B%90.pdf / 202510311428100768.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202510311428100768.pdf / 202510311428140859.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202510311428140859.pdf / 제조 DX멘토단 활용지원.pdf: text extraction failed,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116008
PBLN_000000000116853,2026년 기업훈련 탄력운영제 참여기업 모집 공고,고용노동부,fetched,url,needs_review,selected_candidate_missing,금액 후보는 있으나 대표금액을 선택하지 못함,old_amount_without_new_selected_amount,1820000.0,support_amount,subtract,2,,,,0.5,2142,5129,2.+[별첨]+기업훈련+탄력운영제+참여신청+전산+매뉴얼.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2.+%5B%EB%B3%84%EC%B2%A8%5D+%EA%B8%B0%EC%97%85%ED%9B%88%EB%A0%A8+%ED%83%84%EB%A0%A5%EC%9A%B4%EC%98%81%EC%A0%9C+%EC%B0%B8%EC%97%AC%EC%8B%A0%EC%B2%AD+%EC%A0%84%EC%82%B0+%EB%A7%A4%EB%89%B4%EC%96%BC.pdf / 202512171336360912.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202512171336360912.pdf / 1.+2026년+기업훈련+탄력운영제+참여기업+모집+공고.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/1.+2026%EB%85%84+%EA%B8%B0%EC%97%85%ED%9B%88%EB%A0%A8+%ED%83%84%EB%A0%A5%EC%9A%B4%EC%98%81%EC%A0%9C+%EC%B0%B8%EC%97%AC%EA%B8%B0%EC%97%85+%EB%AA%A8%EC%A7%91+%EA%B3%B5%EA%B3%A0.hwp / 202512171336310583.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202512171336310583.hwp,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116853
PBLN_000000000117019,2026년 제조DX멘토단 활용지원사업 통합 공고,중소벤처기업부,fetched,url,needs_review,selected_candidate_missing,금액 후보는 있으나 대표금액을 선택하지 못함,old_amount_without_new_selected_amount,238.0,subsidy,subtract,14,,,,0.5,2264,8789,★2026년도_제조DX멘토단_활용지원사업_통합_공고문_V3.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%E2%98%852026%EB%85%84%EB%8F%84_%EC%A0%9C%EC%A1%B0DX%EB%A9%98%ED%86%A0%EB%8B%A8_%ED%99%9C%EC%9A%A9%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85_%ED%86%B5%ED%95%A9_%EA%B3%B5%EA%B3%A0%EB%AC%B8_V3.pdf / 202512300954380961.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202512300954380961.pdf,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117019
