policy_id,title,organization,stage2_category,stage2_category_ko,stage2_reason,old_amount_manwon,candidate_count,selected_amount_manwon,selected_amount_type,selected_context,direct_candidate_summary,manual_review_decision,manual_selected_amount_manwon,manual_evidence,manual_note,url
ENERGYAGENCY:24575,(수정)2026년도 산업진단 개선이행 지원사업 2차 공고,한국에너지공단,auto_adopt_clear_limit,자동 채택 가능: 기업/과제/건당 한도 명확,기업당/과제당/업체당/건당 한도 문맥이 명확,,1,1.0,support_amount,/ 약 69개 사업장 ㅇ 지원한도 : 사업장 당 최대 1.000만원(투자비용의 70% 또는 50%) - 타 유사사업과의 지원금 중복지원 불가능 ㅇ 신청방법 - (사업신청) 전자메일 신청(메일주소 : conan0,1.0만원/support_amount: / 약 69개 사업장 ㅇ 지원한도 : 사업장 당 최대 1.000만원(투자비용의 70% 또는 50%) - 타 유사사업과의 지원금 중복지원 불가능 ㅇ 신청방법 - (사업신청) 전자메일 신청(메일주소 : conan0,,,,,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=24575
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,unit_conversion_needed,월/명/연간 환산 필요,월/명/연간/건별 단위가 섞여 환산 기준 필요,,1,,,,50000.0만원/support_amount: 동일한 연구개발과제를 수행하는 참여기업들은 상호 협의를 통해 연구개발기간에 걸쳐 참여기업들의 정부지원연구개발비 합계액을 기준으로 5억원 당 1명 이상의 만 34세 이하(채용시점 기준,,,,,https://www.k-pass.kr/notice/ancView.do?ancId=P2950&gubun=NEW
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,경기도,unit_conversion_needed,월/명/연간 환산 필요,월/명/연간/건별 단위가 섞여 환산 기준 필요,,2,,,,7.0만원/support_amount: ☞ 부천시 소재 중소제조기업 ☞ 가입인원 1명당 월 기업부담금 7만원 지원 - 기업당 최대 3명까지 지원(기존ㆍ신규가입 포함) || 34.0만원/support_amount: 납부 시까지 지원금 지급 유보 〇 납입금액 : 월 34만원 이상 (핵심인력 : 중소기업 = 1 : 2 이상),,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056
PBLN_000000000117454,[강원] 2026년 글로벌 IP 스타기업 육성 해외OA비용 지원사업 공고,강원특별자치도,support_vs_self_funding_split_needed,표에서 지원금/자부담 분리 필요,표에서 지원금/자부담/소요금액 분리가 필요,,2,,,,"410.0만원/support_amount: 싱가폴 氠瑢 구분 세부사업명 지원한도 지원내용 전체 지원금 기업부담금 (현금) 해외 OA 비용 지원 미 국 4,100천원 2 || 200.0만원/support_amount: 지원 유 럽 3,500천원 2,100천원 이내 1,400천원 중국·일본·특수국 2,000천원 1,200천원 이내 800천원 기 타 1,300천원 780천원 이내 520천원",,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117454
PBLN_000000000117563,2026년 중소기업 매출채권팩토링 지원계획 공고,중소벤처기업부,unit_conversion_needed,월/명/연간 환산 필요,월/명/연간/건별 단위가 섞여 환산 기준 필요,,4,,,,5900000.0만원/support_amount: 구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원 || 100000.0만원/support_amount: 구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원 || 1000.0만원/support_amount: 지원절차 ② 참고)ㅇ대상채권:중소기업이 물품･ 용역을 제공하여 발생한 매출채권* * 신청일로부터 62일 이내 작성되어 국세청에 전송된 10백만원 이상의 전자(세금)계산서 * 대표자가 동일한 기업 간 거래에서 발생한 매출채권 등은 지원대상에서 제외◦예산규모:590억원(’26년) 나 || 5900000.0만원/support_amount: 지원절차 ② 참고)ㅇ대상채권:중소기업이 물품･ 용역을 제공하여 발생한 매출채권* * 신청일로부터 62일 이내 작성되어 국세청에 전송된 10백만원 이상의 전자(세금)계산서 * 대표자가 동일한 기업 간 거래에서 발생한 매출채권 등은 지원대상에서 제외◦예산규모:590억원(’26년) 나,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117563
PBLN_000000000117942,[경남] 창원시 2026년 지식재산진흥 지원사업 기업 모집 공고,경상남도,gemini_second_review,Gemini 2차 검수 대상,"규칙으로 대표금액 확정 불가, Gemini 2차 검수 대상",,1,,,,"3000.0만원/subsidy: 경찰 등 수사기관에서 조사나 수사 중인 기업으로서 비위의 정도가 중대하고 이로 인하여 정상적인 과제수행을 기대하기 현저히 어려운 기업 □ 중복지원 제한 요건 ▸당해년도 창원산업진흥원 보조금 지원사업(지원금 3,000만원 이상) 2개 초과 수행 중 상기 내용이 사실임을 확인하며",,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117942
PBLN_000000000117992,2026년 나눔장비 이전지원사업 모집 공고,과학기술정보통신부,auto_adopt_clear_limit,자동 채택 가능: 기업/과제/건당 한도 명확,기업당/과제당/업체당/건당 한도 문맥이 명확,,1,3000.0,support_amount,여러 중소기업에 골고루 혜택을 제공하기 위해 1개 기업당 10개 이하 장비(취득금액 3천만원 이상)로 이전지원을 제한하는 ｢나눔장비 총량제｣ 실시 氠瑢 연구개발 또는 국산 장비개발 관련 중소기업 필수 서류 가,3000.0만원/support_amount: 여러 중소기업에 골고루 혜택을 제공하기 위해 1개 기업당 10개 이하 장비(취득금액 3천만원 이상)로 이전지원을 제한하는 ｢나눔장비 총량제｣ 실시 氠瑢 연구개발 또는 국산 장비개발 관련 중소기업 필수 서류 가,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117992
PBLN_000000000118209,2026년 중소기업 연구인력지원사업 공고,중소벤처기업부,unit_conversion_needed,월/명/연간 환산 필요,월/명/연간/건별 단위가 섞여 환산 기준 필요,,1,,,,5000.0만원/subsidy: 레전드 50 +* : 10개) ◇ 지역특화 프로젝트 󰡔레전드 50+ * 󰡕 : 중소기업의 혁신성장 및 경쟁력 제고를 위하여 중소벤처기업부 및 17개 광역자치단체가 함께 추진하는 지역 특화 프로젝트이며 중소벤처 기업부가 핵심 정책수단을 3년간 패키지로 지원해 주는 정책 * 레전드 50+ 참여기업 선정확인서를 제출하는 경우 우선 할당(제한경쟁) ◦ (지원내용) 기업별 1명으로 최대 3년간 연봉의,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118209
PBLN_000000000119010,[인천] 2026년 연구장비 공동활용 지원사업 모집 공고,인천광역시,auto_adopt_clear_limit,자동 채택 가능: 기업/과제/건당 한도 명확,기업당/과제당/업체당/건당 한도 문맥이 명확,,1,300.0,support_amount,13개社 이상 m 연구장비 사용료 기업당 300만원 이내 1회 지원,300.0만원/support_amount: 13개社 이상 m 연구장비 사용료 기업당 300만원 이내 1회 지원,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119010
PBLN_000000000119201,2026년 중소기업 연구인력 현장맞춤형 양성지원 사업 시행계획 공고,중소벤처기업부,unit_conversion_needed,월/명/연간 환산 필요,월/명/연간/건별 단위가 섞여 환산 기준 필요,,5,,,,"1720.0만원/support_amount: 기업부설연구소 또는 연구개발전담부서를 보유한 중소기업 ☞ 중소기업 연구인력 현장맞춤형 양성지원 연구개발비 기업당 최대 1,720만원/년 지원 - (level 1) 중소기업-연구인력 매칭 연계 지원 - (level 2) 예비연구자 양성과정 : R&D 프로젝트 발굴 - (lev || 130.0만원/subsidy: (지원내용) 漠杳 ◦ (level 1) 중소기업-연구인력 매칭: 연구인력 혁신센터는 중소기업 및 연구인력을 모니터링 하고 중소기업과 연구인력간 매칭 프로그램 운영 ◦ (level 2) 예비연구자 양성과정: 예비연구자(학사/석사/박사 학위예정자)에 대한 R&D인턴 업무 수행 및 R&D 프로젝트 발굴 필수 氠瑢 구분 (학위취득자 및 예정자) 정부지원금 지원기간 비고 학사 월 130만원 2~4개월 || 1000.0만원/subsidy: Level2 의 경우 타 지원사업 참여 금지 ◦ (level 3) 신진연구자 양성과정: 인턴과정(level2)을 수료한 후 기업에 정규직으로 취업한 연구자의 R&D프로젝트 수행 지원을 통한 전문연구역량 향상 氠瑢 구분 정부지원금 지원기간 비고 자유공모 10백만원~12백만원 4~6개월 연구인력 정규직 채용 필수 평가에 따라 정부지원금 차등지원 || 1200.0만원/subsidy: Level2 의 경우 타 지원사업 참여 금지 ◦ (level 3) 신진연구자 양성과정: 인턴과정(level2)을 수료한 후 기업에 정규직으로 취업한 연구자의 R&D프로젝트 수행 지원을 통한 전문연구역량 향상 氠瑢 구분 정부지원금 지원기간 비고 자유공모 10백만원~12백만원 4~6개월 연구인력 정규직 채용 필수 평가에 따라 정부지원금 차등지원 || 1720.0만원/subsidy: 최대 3년간 기준 연봉의 50% 이내 지원 ◦ (지원조건) 2025년부터 적용 氠瑢 구분 정부지원 연구개발비 지원한도 정부출연금 비율 지원방식 중소기업 연구인력 현장맞춤형 양성지원 기업당 최대 1,720만원/년 100%이내 자유공모 라",,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119201
