policy_id,title,organization,bucket,subtype,recommended_action,review_reason,source,old_amount_manwon,old_amount_actual,decision_reasons,candidate_count,url
ENERGYAGENCY:21809,2019년 에너지경영시스템 인프라 구축 지원사업 공고 안내,한국에너지공단,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,15000.0,최대 1.5억원,clear_selected_candidate,2,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=21809
ENERGYAGENCY:21849,2019년 에너지경영시스템 인프라 구축 지원사업 공고 안내,한국에너지공단,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,15000.0,최대 1.5억원,clear_selected_candidate,2,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=21849
PBLN_000000000115994,2026년 스마트 제조혁신 지원사업 통합 공고,중소벤처기업부,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,50000.0,최대 5억원,clear_selected_candidate,42,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000115994
PBLN_000000000116004,스마트 공장 수준 확인(2026년 스마트 제조혁신 지원사업 통합 공고),중소벤처기업부,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,50000.0,최대 5억원,clear_selected_candidate,42,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116004
PBLN_000000000116008,제조 DX멘토단 활용지원(2026년 스마트 제조혁신 지원사업 통합 공고),중소벤처기업부,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,50000.0,최대 5억원,clear_selected_candidate,42,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116008
PBLN_000000000117019,2026년 제조DX멘토단 활용지원사업 통합 공고,중소벤처기업부,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,238.0,최대 238만원,selected_candidate_missing,14,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117019
PBLN_000000000117643,2026년 예산군 로케이션 인센티브 제작지원 사업 공고,충청남도,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,6000.0,"최대 6,000만원",clear_selected_candidate,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117643
PBLN_000000000117781,[경북] 국방기술 민간이전 사업 참여기업 모집 공고(경북ㆍ구미 방산혁신클러스터),경상북도,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,4000.0,"최대 4,000만원",clear_selected_candidate,4,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117781
PBLN_000000000118003,[경기] 용인시 2026년 다통해 서포터즈(시민 통번역 서포터즈) 지원사업 공고,경기도,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,50.0,최대 50만원,clear_selected_candidate,8,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118003
PBLN_000000000118122,[울산] 2026년 이전ㆍ창업기업(기술강소기업) 특별보조금 지원사업 공고,울산광역시,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,20000.0,최대 2억원,clear_selected_candidate,10,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118122
PBLN_000000000118395,[경기] 2026년 기술닥터사업 공고,경기도,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,500.0,최대 500만원,large_amount_delta,14,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118395
PBLN_000000000118679,[인천] 2026년 채용연계형 뿌리기업 근로환경 혁신 지원사업(환경개선) 모집 공고(지역산업맞춤형 일자리지원 사업),인천광역시,resolved_update,,apply_payload_candidate,통합 payload에 포함된 업데이트 후보,,2100.0,"최대 2,100만원",clear_selected_candidate,12,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118679
