policy_id,title,organization,bucket,recommended_action,reason,old_amount_manwon,old_amount_actual,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_actual,new_amount_type,new_roi_apply_method,support_ratio,context,url
PBLN_000000000122990,[경남] 서부 2026년 2차 글로벌IP스타기업육성사업 특허기술 홍보영상제작 지원기업 모집 공고,경상남도,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,1500.0,"최대 1,500만원",support_amount,subtract,1500.0,"최대 1,500만원",support_amount,subtract,,"내레이션 등을 통해 3차원 홍보영상으로 제작하여 제공 □ 지원기준 o 신청일 현재 권리가 등록되어 있는 특허․실용신안 □ 지원규모 o 지원금액 : 건당 15,000천원 이내 (VAT포함",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122990
PBLN_000000000122992,[경남] 서부 2026년 2차 글로벌IP스타기업육성사업 포장디자인개발 지원기업 모집 공고,경상남도,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,1500.0,"최대 1,500만원",support_amount,subtract,1500.0,"최대 1,500만원",support_amount,subtract,,"지식재산 긴급지원 □ 지원내용 o 포장디자인 개발 □ 지원기준 o 포장디자인 개발 : 제품의 포장 및 패키지 디자인 개발 □ 지원규모 o 건당 15,000천원 이내(VAT포함",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122992
PBLN_000000000122996,[경남] 서부 2026년 2차 글로벌IP스타기업육성사업 리뉴얼브랜드개발 지원기업 모집 공고,경상남도,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,1000.0,"최대 1,000만원",support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,,"지식재산 긴급지원 □ 지원내용 o 지역 중소기업의 기존 브랜드를 리뉴얼하여 권리화를 지원함으로써 지역 중소기업의 경쟁력 강화 및 브랜드 보호 □ 지원기준 o 기업브랜드(CI) 개발 o 제품브랜드(BI) 개발 : 제품에 대한 브랜드 개발 □ 지원규모 o 건당 10,000천원 이내(VAT포함",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122996
SMARTFACTORY:2026-N-0067:3,[인천] 2026년 제조DX멘토단 활용지원사업 (구축지도) 도입기업 모집공고,스마트공장 사업관리시스템,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,,,,recommend_only,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0067&pbancSn=3
SMARTFACTORY:2026-N-0068:1,[부산] 2026년 제조DX멘토단 활용지원사업(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,,,,recommend_only,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 구분 지원기간 지원규모 지원한도 지원비중 접수 평가선정 구축 지도 3개월(4회) 400개사 내외 119만원 85% 최종 협약 후 2주 이내 수시 □ 신청 자격 ◦ 국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업 성장촉진 및 경쟁력 강,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0068&pbancSn=1
SMARTFACTORY:2026-N-0069:1,[경기] 2026년 제조DX멘토단 활용지원사업(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,,,,recommend_only,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 구분 지원기간 지원규모 지원한도 지원비중 접수 평가선정 구축 지도 3개월(4회) 400개사 내외 119만원 85% 최종 협약 후 2주 이내 수시 □ 신청 자격 ◦ 국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업 성장촉진 및 경쟁력 강,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0069&pbancSn=1
SMARTFACTORY:2026-N-0070:1,[전북] 2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,,,,recommend_only,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0070&pbancSn=1
SMARTFACTORY:2026-N-0072:1,[전남]2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,,,,recommend_only,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 氠瑢 구분 지원기간 지원규모 지원한도 지원비중 접수 평가선정 구축 지도 3개월(4회) 400개사 내외 119만원 85% 최종 협약 후 2주 이내 수시 □ 신청 자격 ◦ 국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업 성장촉진 및 경쟁력 강,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0072&pbancSn=1
SMARTFACTORY:2026-N-0076:2,[충북] 2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,21.0,최대 21만원,subsidy,subtract,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0076&pbancSn=2
SMARTFACTORY:2026-N-0082:1,[서울] 2026년 제조DX멘토단 활용지원사업(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,21.0,최대 21만원,subsidy,subtract,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0082&pbancSn=1
SMARTFACTORY:2026-N-0087:1,[강원] 2026년 제조DX멘토단 활용지원사업(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,21.0,최대 21만원,subsidy,subtract,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0087&pbancSn=1
SMARTFACTORY:2026-N-0099:1,[포항] 2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집공고,스마트공장 사업관리시스템,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,21.0,최대 21만원,non_cash,recommend_only,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 구분 지원기간 지원규모 지원한도 지원비중 접수 평가선정 구축 지도 3개월(4회) 전국 400개사 내외 119만원 85% 최종 협약 후 2주 이내 수시 □ 신청 자격 ◦ 국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업 성장촉진 및 경쟁력 강,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0099&pbancSn=1
SMARTFACTORY:2026-N-0111:1,[제주] 2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,21.0,최대 21만원,support_amount,subtract,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0111&pbancSn=1
TECHNOPARK:135,2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집 공고,전북테크노파크,total_scale_only,adopt_reclassified_limit,총규모 후보였지만 기업/건/과제 단위 한도 문맥이 확인되어 대표금액 후보로 재분류,,,,recommend_only,119.0,최대 119만원,support_amount,subtract,0.85,구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별,https://www.jbtp.or.kr/board/view.jbtp?menuCd=DOM_000000102001000000&boardId=BBS_0000006&dataSid=19904
