policy_id,title,organization,payload_source,raw_candidate_count,support_candidate_count,excluded_candidate_count,selected_amount_manwon,max_amount_numeric_manwon,max_amount_type,roi_apply_method,support_ratio,status,support_candidate_summary,excluded_type_summary,decision,decision_reasons,url
ENERGYAGENCY:21809,2019년 에너지경영시스템 인프라 구축 지원사업 공고 안내,한국에너지공단,amount_update_ready,2,2,0,15000.0,15000.0,subsidy,subtract,0.4,확정,15000.0만원/subsidy/subtract: 최대 1.5 억원 이내 지원 * 참여기업의 반드시 자부담금은 현금으로 지급 ㅇ 신청절차 1) ( 사업신청 ) 국고보조금통합관리시스템 e 나라도움 (www || None만원/support_ratio/ratio_cap: 2019년 에너지경영시스템 인프라 구축 지원사업 공고 안내 한국에너지공단 한국에너지공단 | 국민소통 | 공단소식 | 공지사항 | 상세보기 주메뉴로 가기 본문으로 가기 하단으로 가기 이 누리집은 대한민국 공식 전자정부 누리집입니다. 정보공개 정보공개 한국에너지공단 정보공개제도에 대한 이용안내입니다. 정보공개 국민들의 알권리,,safe,clear_selected_candidate,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=21809
ENERGYAGENCY:21849,2019년 에너지경영시스템 인프라 구축 지원사업 공고 안내,한국에너지공단,amount_update_ready,2,2,0,15000.0,15000.0,subsidy,subtract,0.4,확정,15000.0만원/subsidy/subtract: 최대 1.5 억원 이내 지원 * 참여기업의 반드시 자부담금은 현금으로 지급 ㅇ 신청절차 1) ( 사업신청 ) 국고보조금통합관리시스템 e 나라도움 (www || None만원/support_ratio/ratio_cap: 2019년 에너지경영시스템 인프라 구축 지원사업 공고 안내 한국에너지공단 한국에너지공단 | 국민소통 | 공단소식 | 공지사항 | 상세보기 주메뉴로 가기 본문으로 가기 하단으로 가기 이 누리집은 대한민국 공식 전자정부 누리집입니다. 정보공개 정보공개 한국에너지공단 정보공개제도에 대한 이용안내입니다. 정보공개 국민들의 알권리,,safe,clear_selected_candidate,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=21849
ENERGYAGENCY:24575,(수정)2026년도 산업진단 개선이행 지원사업 2차 공고,한국에너지공단,amount_update_ready,2,2,0,1.0,1.0,support_amount,subtract,0.7,확정,69000.0만원/consulting_fee/recommend_only: - 다 음 - ㅇ 사업내용 : 산업진단 지원사업의 진단결과에 따른 개선이행 비용을 지원하여 에너지진단의 실효성 제고 및 에너지절약 투자 활성화 ㅇ 지원대상 : 산업진단 지원(보조) 사업 참여 이력이 있는 사업장 - '23년 ~ '26년 산업진단 지원사업 에너지진단 완료 사업장 ㅇ 지원규모 : 총 6.9억원 || 1.0만원/support_amount/subtract: / 약 69개 사업장 ㅇ 지원한도 : 사업장 당 최대 1.000만원(투자비용의 70% 또는 50%) - 타 유사사업과의 지원금 중복지원 불가능 ㅇ 신청방법 - (사업신청) 전자메일 신청(메일주소 : conan0,,needs_review,large_amount_delta,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=24575
KOSMES:6107069,2026년 숙련기능인력 E-7-4 전환추천 모집공고(제2026-52호),중소벤처기업진흥공단,no_support_candidate,0,0,0,,,unknown,review,,후보 없음,,,needs_review,candidate_missing,https://www.kosmes.or.kr/nsh/SH/NTS/SHNTS001F0.do?seqNo=6107069&tabPage=01
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,json_only_review,19,7,12,,,unknown,review,1.0,후보 검수 필요,50000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상 || 50000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상의 기관으로 구성) 미국 6억원 이내/년 || 60000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상의 기관으로 구성) 미국 6억원 이내/년 || 300000.0만원/total_support_scale/review: 기간 및 신청자격 구분 지원규모 지원기간 국내 주관연구개발기관 자격 국내외 공동연구개발기관 자격 글로벌 산업기술 협력센터 협력센터 최대 30억 5년 KIAT (정책지정) (해외) 비영리기관 (국내) NCC(필요시) 공동R&D 20억원 내외/년 최대 5년 중소 || 200000.0만원/total_support_scale/review: 기간 및 신청자격 구분 지원규모 지원기간 국내 주관연구개발기관 자격 국내외 공동연구개발기관 자격 글로벌 산업기술 협력센터 협력센터 최대 30억 5년 KIAT (정책지정) (해외) 비영리기관 (국내) NCC(필요시) 공동R&D 20억원 내외/년 최대 5년 중소 || 50000.0만원/support_amount/subtract: 동일한 연구개발과제를 수행하는 참여기업들은 상호 협의를 통해 연구개발기간에 걸쳐 참여기업들의 정부지원연구개발비 합계액을 기준으로 5억원 당 1명 이상의 만 34세 이하(채용시점 기준 || ... 후보 1개 추가,unknown:50000.0 | unknown:100000.0 | unknown:50000.0 | unknown:50000.0 | unknown:25000.0 | unknown:20000.0 | unknown:20000.0 | unknown:50000.0,needs_review,subtract_without_limit_context | large_amount_delta,https://www.k-pass.kr/notice/ancView.do?ancId=P2950&gubun=NEW
PBLN_000000000115994,2026년 스마트 제조혁신 지원사업 통합 공고,중소벤처기업부,amount_update_ready,42,28,14,50000.0,50000.0,subsidy,subtract,0.5,확정,20000.0만원/consulting_fee/recommend_only: 컨설팅등기업지원서비스를추가지원◦지원과제:150개내외◦지원조건지원유형지원 기간지원 한도지원 비율구축목표 수준고도화최대 9개월최대 2억원50% 이내중간1 이상목표설정필수고도화(동일수준) 최대 6개월최대 0 || 5000.0만원/consulting_fee/recommend_only: 컨설팅등기업지원서비스를추가지원◦지원과제:150개내외◦지원조건지원유형지원 기간지원 한도지원 비율구축목표 수준고도화최대 9개월최대 2억원50% 이내중간1 이상목표설정필수고도화(동일수준) 최대 6개월최대 0.5억원 * ‘동일수준’은 정부일반형과 동일 방식으로 운영□유의사항◦협업부처추천을통해중소벤처기업부에서사업운영기관선정후기관별 || 40000.0만원/total_support_scale/review: 마케팅등지역특화프로그램을기획하여도입기업대상으로연계지원◦지원규모:추후확정◦지원조건지원유형지원 기간과제당 총사업비지원 비율구축목표 수준고도화최대 9개월4억원(정부) 50% 이내(지자체) 30~0%중간1 이상목표설정필수기초최대 6개월1억원 내외지자체별 상이기초 이상 * 참여 지자체별로 고도화/기초 지 || 10000.0만원/total_support_scale/review: 마케팅등지역특화프로그램을기획하여도입기업대상으로연계지원◦지원규모:추후확정◦지원조건지원유형지원 기간과제당 총사업비지원 비율구축목표 수준고도화최대 9개월4억원(정부) 50% 이내(지자체) 30~0%중간1 이상목표설정필수기초최대 6개월1억원 내외지자체별 상이기초 이상 * 참여 지자체별로 고도화/기초 지원과제수 및 지원한도 || 50000.0만원/subsidy/subtract: 지역특화 프로젝트 참여기업으로 선정된 기업□지원내용및조건◦지원내용-정보통신기술(ICT)로제품의기획-설계-제조-판매과정을통합하여제조공정을최적화하는스마트공장구축지원-제품설계‧ 생산공정개선등을위한스마트공장솔루션구축및솔루션과연동되는자동화장비‧ 제어기‧ 센서등구축지원◦지원과제:50개내외◦지원조건:과제별수준향상정도에따라정부지원금차등 || 30000.0만원/subsidy/subtract: 지역특화 프로젝트 참여기업으로 선정된 기업□지원내용및조건◦지원내용-정보통신기술(ICT)로제품의기획-설계-제조-판매과정을통합하여제조공정을최적화하는스마트공장구축지원-제품설계‧ 생산공정개선등을위한스마트공장솔루션구축및솔루션과연동되는자동화장비‧ 제어기‧ 센서등구축지원◦지원과제:50개내외◦지원조건:과제별수준향상정도에따라정부지원금차등 || ... 후보 22개 추가,unknown:20000.0 | unknown:5000.0 | total_project_cost:30000.0 | total_project_cost:60000.0 | total_project_cost:100000.0 | unknown:20000.0 | unknown:80000.0 | unknown:238.0,safe,clear_selected_candidate,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000115994
PBLN_000000000116004,스마트 공장 수준 확인(2026년 스마트 제조혁신 지원사업 통합 공고),중소벤처기업부,amount_update_ready,42,28,14,50000.0,50000.0,subsidy,subtract,0.5,확정,20000.0만원/consulting_fee/recommend_only: 컨설팅등기업지원서비스를추가지원◦지원과제:150개내외◦지원조건지원유형지원 기간지원 한도지원 비율구축목표 수준고도화최대 9개월최대 2억원50% 이내중간1 이상목표설정필수고도화(동일수준) 최대 6개월최대 0 || 5000.0만원/consulting_fee/recommend_only: 컨설팅등기업지원서비스를추가지원◦지원과제:150개내외◦지원조건지원유형지원 기간지원 한도지원 비율구축목표 수준고도화최대 9개월최대 2억원50% 이내중간1 이상목표설정필수고도화(동일수준) 최대 6개월최대 0.5억원 * ‘동일수준’은 정부일반형과 동일 방식으로 운영□유의사항◦협업부처추천을통해중소벤처기업부에서사업운영기관선정후기관별 || 40000.0만원/total_support_scale/review: 마케팅등지역특화프로그램을기획하여도입기업대상으로연계지원◦지원규모:추후확정◦지원조건지원유형지원 기간과제당 총사업비지원 비율구축목표 수준고도화최대 9개월4억원(정부) 50% 이내(지자체) 30~0%중간1 이상목표설정필수기초최대 6개월1억원 내외지자체별 상이기초 이상 * 참여 지자체별로 고도화/기초 지 || 10000.0만원/total_support_scale/review: 마케팅등지역특화프로그램을기획하여도입기업대상으로연계지원◦지원규모:추후확정◦지원조건지원유형지원 기간과제당 총사업비지원 비율구축목표 수준고도화최대 9개월4억원(정부) 50% 이내(지자체) 30~0%중간1 이상목표설정필수기초최대 6개월1억원 내외지자체별 상이기초 이상 * 참여 지자체별로 고도화/기초 지원과제수 및 지원한도 || 50000.0만원/subsidy/subtract: 지역특화 프로젝트 참여기업으로 선정된 기업□지원내용및조건◦지원내용-정보통신기술(ICT)로제품의기획-설계-제조-판매과정을통합하여제조공정을최적화하는스마트공장구축지원-제품설계‧ 생산공정개선등을위한스마트공장솔루션구축및솔루션과연동되는자동화장비‧ 제어기‧ 센서등구축지원◦지원과제:50개내외◦지원조건:과제별수준향상정도에따라정부지원금차등 || 30000.0만원/subsidy/subtract: 지역특화 프로젝트 참여기업으로 선정된 기업□지원내용및조건◦지원내용-정보통신기술(ICT)로제품의기획-설계-제조-판매과정을통합하여제조공정을최적화하는스마트공장구축지원-제품설계‧ 생산공정개선등을위한스마트공장솔루션구축및솔루션과연동되는자동화장비‧ 제어기‧ 센서등구축지원◦지원과제:50개내외◦지원조건:과제별수준향상정도에따라정부지원금차등 || ... 후보 22개 추가,unknown:20000.0 | unknown:5000.0 | total_project_cost:30000.0 | total_project_cost:60000.0 | total_project_cost:100000.0 | unknown:20000.0 | unknown:80000.0 | unknown:238.0,safe,clear_selected_candidate,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116004
PBLN_000000000116008,제조 DX멘토단 활용지원(2026년 스마트 제조혁신 지원사업 통합 공고),중소벤처기업부,amount_update_ready,42,28,14,50000.0,50000.0,subsidy,subtract,0.5,확정,20000.0만원/consulting_fee/recommend_only: 컨설팅등기업지원서비스를추가지원◦지원과제:150개내외◦지원조건지원유형지원 기간지원 한도지원 비율구축목표 수준고도화최대 9개월최대 2억원50% 이내중간1 이상목표설정필수고도화(동일수준) 최대 6개월최대 0 || 5000.0만원/consulting_fee/recommend_only: 컨설팅등기업지원서비스를추가지원◦지원과제:150개내외◦지원조건지원유형지원 기간지원 한도지원 비율구축목표 수준고도화최대 9개월최대 2억원50% 이내중간1 이상목표설정필수고도화(동일수준) 최대 6개월최대 0.5억원 * ‘동일수준’은 정부일반형과 동일 방식으로 운영□유의사항◦협업부처추천을통해중소벤처기업부에서사업운영기관선정후기관별 || 40000.0만원/total_support_scale/review: 마케팅등지역특화프로그램을기획하여도입기업대상으로연계지원◦지원규모:추후확정◦지원조건지원유형지원 기간과제당 총사업비지원 비율구축목표 수준고도화최대 9개월4억원(정부) 50% 이내(지자체) 30~0%중간1 이상목표설정필수기초최대 6개월1억원 내외지자체별 상이기초 이상 * 참여 지자체별로 고도화/기초 지 || 10000.0만원/total_support_scale/review: 마케팅등지역특화프로그램을기획하여도입기업대상으로연계지원◦지원규모:추후확정◦지원조건지원유형지원 기간과제당 총사업비지원 비율구축목표 수준고도화최대 9개월4억원(정부) 50% 이내(지자체) 30~0%중간1 이상목표설정필수기초최대 6개월1억원 내외지자체별 상이기초 이상 * 참여 지자체별로 고도화/기초 지원과제수 및 지원한도 || 50000.0만원/subsidy/subtract: 지역특화 프로젝트 참여기업으로 선정된 기업□지원내용및조건◦지원내용-정보통신기술(ICT)로제품의기획-설계-제조-판매과정을통합하여제조공정을최적화하는스마트공장구축지원-제품설계‧ 생산공정개선등을위한스마트공장솔루션구축및솔루션과연동되는자동화장비‧ 제어기‧ 센서등구축지원◦지원과제:50개내외◦지원조건:과제별수준향상정도에따라정부지원금차등 || 30000.0만원/subsidy/subtract: 지역특화 프로젝트 참여기업으로 선정된 기업□지원내용및조건◦지원내용-정보통신기술(ICT)로제품의기획-설계-제조-판매과정을통합하여제조공정을최적화하는스마트공장구축지원-제품설계‧ 생산공정개선등을위한스마트공장솔루션구축및솔루션과연동되는자동화장비‧ 제어기‧ 센서등구축지원◦지원과제:50개내외◦지원조건:과제별수준향상정도에따라정부지원금차등 || ... 후보 22개 추가,unknown:20000.0 | unknown:5000.0 | total_project_cost:30000.0 | total_project_cost:60000.0 | total_project_cost:100000.0 | unknown:20000.0 | unknown:80000.0 | unknown:238.0,safe,clear_selected_candidate,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116008
PBLN_000000000116853,2026년 기업훈련 탄력운영제 참여기업 모집 공고,고용노동부,json_only_review,2,1,1,,,unknown,review,0.5,후보 검수 필요,None만원/support_ratio/ratio_cap: 2026년 기업훈련 탄력운영제 참여기업 모집 공고 고용노동부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무,project_budget:1820000.0,needs_review,selected_candidate_missing,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116853
PBLN_000000000117019,2026년 제조DX멘토단 활용지원사업 통합 공고,중소벤처기업부,amount_update_ready,14,8,6,238.0,238.0,subsidy,subtract,0.5,확정,862000.0만원/total_support_scale/review: 구축지도및운영애로사항해결지원□지원규모 : 총86.2억원 || 238.0만원/total_support_scale/review: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)500개사내외◦(지원조건)총사업비의85%지원구 분지원방법지원기간사업비(분담비율)정부지원(85%)민간부담(15%)사전 기획DX멘토단 1인 x 8회최대 3개월238만원42만원□ 신청기간◦2026년2월2일(월)~예산소진시□ 신청방법◦스마트공장사업관리시스템(s || 42.0만원/total_support_scale/review: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)500개사내외◦(지원조건)총사업비의85%지원구 분지원방법지원기간사업비(분담비율)정부지원(85%)민간부담(15%)사전 기획DX멘토단 1인 x 8회최대 3개월238만원42만원□ 신청기간◦2026년2월2일(월)~예산소진시□ 신청방법◦스마트공장사업관리시스템(s || 119.0만원/total_support_scale/review: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)400개사내외◦(지원조건)총사업비의85%지원구 분지원방법지원기간사업비(분담비율)정부지원(85%)민간부담(15%)구축지도DX멘토단 1인 x 4회최대 3개월119만원21만원□ 신청기간◦선도형스마트공장구축지원사업최종선정및협약후2주이내 - 7 - □ 신청방법◦ || 21.0만원/total_support_scale/review: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)400개사내외◦(지원조건)총사업비의85%지원구 분지원방법지원기간사업비(분담비율)정부지원(85%)민간부담(15%)구축지도DX멘토단 1인 x 4회최대 3개월119만원21만원□ 신청기간◦선도형스마트공장구축지원사업최종선정및협약후2주이내 - 7 - □ 신청방법◦ || 1900.0만원/total_support_scale/review: kr) 확인서발급 메뉴를 통해 신청 가능 - 8 - □지원 규모 및 조건◦(지원규모)210개사내외◦(지원조건)총사업비의50%지원구 분지원방법지원기간사업비(분담비율)정부지원(50%)민간부담(50%)사후관리총 사업비의 50%4개월*최대 19백만원19백만원 * 사업기간은 연장신청을 통해 최대 2개월까지 연장 가능 || ... 후보 2개 추가,unknown:238.0 | unknown:476.0 | unknown:119.0 | unknown:1900.0 | unknown:476.0 | unknown:84.0,needs_review,selected_candidate_missing,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117019
