policy_id,title,organization,subtype,recommended_action,reason,fetch_status,source_kind,detail_text_length,attachment_text_length,raw_candidate_count,decision_reasons_ko,fetch_error,url
KOSMES:6107069,2026년 숙련기능인력 E-7-4 전환추천 모집공고(제2026-52호),중소벤처기업진흥공단,detail_text_no_amount,상세 본문 규칙 재검토,상세 본문은 있으나 금액 후보가 없음,fetched,url,5680,0,0,금액 후보 자체를 찾지 못함,,https://www.kosmes.or.kr/nsh/SH/NTS/SHNTS001F0.do?seqNo=6107069&tabPage=01
PBLN_000000000117557,[충북] 충주시 2026년 기술평가 인증 수수료 지원사업 공고,충청북도,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2162,1776,0,금액 후보 자체를 찾지 못함,2026년 기술평가 인증 수수료 지원 사업 공고.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84%20%EA%B8%B0%EC%88%A0%ED%8F%89%EA%B0%80%20%EC%9D%B8%EC%A6%9D%20%EC%88%98%EC%88%98%EB%A3%8C%20%EC%A7%80%EC%9B%90%20%EC%82%AC%EC%97%85%20%EA%B3%B5%EA%B3%A0.hwp / 202601191059220310.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202601191059220310.hwp,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117557
PBLN_000000000117654,[강원] 2026년 중소ㆍ벤처기업 투자이음 강화 프로그램 참여기업 연중 상시접수 공고(강원 벤처투자 생태계 조성사업),강원특별자치도,support_type_filter_excluded,지원분류 필터 재검토,금액 후보는 있으나 지원 후보 타입으로 남지 않음,fetched,url,2039,2415,3,금액 후보는 있으나 대표금액을 선택하지 못함,(공고문) 강원지역 중소벤처기업 투자이음 강화 프로그램 .hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/(%EA%B3%B5%EA%B3%A0%EB%AC%B8)%20%EA%B0%95%EC%9B%90%EC%A7%80%EC%97%AD%20%EC%A4%91%EC%86%8C%EB%B2%A4%EC%B2%98%EA%B8%B0%EC%97%85%20%ED%88%AC%EC%9E%90%EC%9D%B4%EC%9D%8C%20%EA%B0%95%ED%99%94%20%ED%94%84%EB%A1%9C%EA%B7%B8%EB%9E%A8%20.hwp / 202601201418510349.hwp: 404 Client Error: Not Found for,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117654
PBLN_000000000117668,[인천] 2026년 기술거래촉진네트워크사업(인천기술전환플랫폼) 기술이전 및 기술수요조사서 신청 공고,인천광역시,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,1974,6337,0,금액 후보 자체를 찾지 못함,붙임._기술이전_및_기술수요조사_신청접수_공고문.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%84._%EA%B8%B0%EC%88%A0%EC%9D%B4%EC%A0%84_%EB%B0%8F_%EA%B8%B0%EC%88%A0%EC%88%98%EC%9A%94%EC%A1%B0%EC%82%AC_%EC%8B%A0%EC%B2%AD%EC%A0%91%EC%88%98_%EA%B3%B5%EA%B3%A0%EB%AC%B8.hwp / 202601211028030515.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/20260,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117668
PBLN_000000000117774,[서울] 가죽ㆍ패션산업 소공인 장비 임대지원사업 공고,서울특별시,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,1680,3899,0,금액 후보 자체를 찾지 못함,[강동가죽제조지원센터] 가죽·패션산업 소공인 장비지원 사업 공고.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EA%B0%95%EB%8F%99%EA%B0%80%EC%A3%BD%EC%A0%9C%EC%A1%B0%EC%A7%80%EC%9B%90%EC%84%BC%ED%84%B0%5D%20%EA%B0%80%EC%A3%BD%C2%B7%ED%8C%A8%EC%85%98%EC%82%B0%EC%97%85%20%EC%86%8C%EA%B3%B5%EC%9D%B8%20%EC%9E%A5%EB%B9%84%EC%A7%80%EC%9B%90%20%EC%82%AC%EC%97%85%20%EA%B3%B5%EA%B3%A0.hwp / [강동가죽제조지,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117774
PBLN_000000000118037,2026년 기업인력애로센터 활용 취업지원 사업 구인기업 및 구직자 모집 공고,중소벤처기업부,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2288,4120,0,금액 후보 자체를 찾지 못함,2026년 기업인력애로센터 활용 취업 지원 사업 구인기업 및 구직자 모집 공고_수정.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/2026%EB%85%84%20%EA%B8%B0%EC%97%85%EC%9D%B8%EB%A0%A5%EC%95%A0%EB%A1%9C%EC%84%BC%ED%84%B0%20%ED%99%9C%EC%9A%A9%20%EC%B7%A8%EC%97%85%20%EC%A7%80%EC%9B%90%20%EC%82%AC%EC%97%85%20%EA%B5%AC%EC%9D%B8%EA%B8%B0%EC%97%85%20%EB%B0%8F%20%EA%B5%AC%EC%A7%81%EC%9E%90%20%EB%AA%A8%EC%A7%91,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118037
PBLN_000000000118049,2026년 중소벤처기업부 외국전문인력(E-7-1) 고용추천 공고,중소벤처기업부,support_type_filter_excluded,지원분류 필터 재검토,금액 후보는 있으나 지원 후보 타입으로 남지 않음,fetched,url,2303,12063,1,금액 후보는 있으나 대표금액을 선택하지 못함,26년도__외국전문인력_E-7-1_고용추천_모집공고(발령번호).hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/26%EB%85%84%EB%8F%84__%EC%99%B8%EA%B5%AD%EC%A0%84%EB%AC%B8%EC%9D%B8%EB%A0%A5_E-7-1_%EA%B3%A0%EC%9A%A9%EC%B6%94%EC%B2%9C_%EB%AA%A8%EC%A7%91%EA%B3%B5%EA%B3%A0(%EB%B0%9C%EB%A0%B9%EB%B2%88%ED%98%B8).hwp / 202601301344100233.hwp: 404 Client Error: Not Found for url: https://www.bizinfo.go.k,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118049
PBLN_000000000118213,[경기] 2026년 가구디자인창작공간운영사업 경기가구창작스튜디오 공동장비 활용 지원 참여기업 모집 공고,경기도,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2118,4131,0,금액 후보 자체를 찾지 못함,★2026년_경기가구창작스튜디오_공동장비_활용_지원_모집_공고문_및_신청_관련_서류.hwp: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%E2%98%852026%EB%85%84_%EA%B2%BD%EA%B8%B0%EA%B0%80%EA%B5%AC%EC%B0%BD%EC%9E%91%EC%8A%A4%ED%8A%9C%EB%94%94%EC%98%A4_%EA%B3%B5%EB%8F%99%EC%9E%A5%EB%B9%84_%ED%99%9C%EC%9A%A9_%EC%A7%80%EC%9B%90_%EB%AA%A8%EC%A7%91_%EA%B3%B5%EA%B3%A0%EB%AC%B8_%EB%B0%8F_%EC%8B%A0%EC%B2%AD_%EA%B4%80,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118213
PBLN_000000000119064,2026년 자동차용 반도체 기능안전ㆍ신뢰성 산업혁신기반구축사업 기업지원 모집 공고,산업통상부,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2394,3803,0,금액 후보 자체를 찾지 못함,붙임1. 자동차용 반도체 및 모듈 기능안전 기업지원 수혜기업 모집공고.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%EB%B6%99%EC%9E%841.%20%EC%9E%90%EB%8F%99%EC%B0%A8%EC%9A%A9%20%EB%B0%98%EB%8F%84%EC%B2%B4%20%EB%B0%8F%20%EB%AA%A8%EB%93%88%20%EA%B8%B0%EB%8A%A5%EC%95%88%EC%A0%84%20%EA%B8%B0%EC%97%85%EC%A7%80%EC%9B%90%20%EC%88%98%ED%98%9C%EA%B8%B0%EC%97%85%20%EB%AA%A8%EC%A7%91%EA%B3%B5%EA%B3%A0.pdf,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119064
PBLN_000000000119124,2026년 의료기기 분야 기술지도 지원사업 공고(메카노바이오활성소재 혁신의료기기 실증 기반구축),전북특별자치도,attachment_ocr_or_table_review,첨부 표/OCR 재파싱,첨부 텍스트는 있으나 금액 후보가 없음,fetched,url,2406,3783,0,금액 후보 자체를 찾지 못함,[공고문] 2026년 기술지도 지원사업.pdf: 400 Client Error: Bad Request for url: https://www.bizinfo.go.kr/sii/siia/%5B%EA%B3%B5%EA%B3%A0%EB%AC%B8%5D%202026%EB%85%84%20%EA%B8%B0%EC%88%A0%EC%A7%80%EB%8F%84%20%EC%A7%80%EC%9B%90%EC%82%AC%EC%97%85.pdf / 202603050945510010.pdf: 404 Client Error: Not Found for url: https://www.bizinfo.go.kr/sii/siia/202603050945510010.pdf,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119124
