policy_id,title,organization,old_amount_manwon,old_amount_actual,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_actual,new_amount_type,new_roi_apply_method,delta_ratio,delta_bucket,pattern,suggested_action,suggested_reason,decision_reasons,comparison_reasons,new_selected_context,candidate_summary,url,hold_group
ENERGYAGENCY:24575,(수정)2026년도 산업진단 개선이행 지원사업 2차 공고,한국에너지공단,69000.0,최대 6.9억원,support_amount,subtract,1000.0,"최대 1,000만원",support_amount,subtract,0.0145x,new_10pct_or_less,likely_new_limit_candidate,hold,새 후보가 한도처럼 보이나 기존값과 차이가 커 최종 수동 확인이 필요합니다.,large_amount_delta,"amount_delta_20_percent:old=69000,new=1000",/ 약 69개 사업장 ㅇ 지원한도 : 사업장 당 최대 1.000만원(투자비용의 70% 또는 50%) - 타 유사사업과의 지원금 중복지원 불가능 ㅇ 신청방법 - (사업신청) 전자메일 신청(메일주소 : conan0,69000.0만원/consulting_fee/recommend_only: - 다 음 - ㅇ 사업내용 : 산업진단 지원사업의 진단결과에 따른 개선이행 비용을 지원하여 에너지진단의 실효성 제고 및 에너지절약 투자 활성화 ㅇ 지원대상 : 산업진단 지원(보조) 사업 참여 이력이 있는 사업장 - '23년 ~ '26년 산업진단 지원사업 에너지진단 완료 사업장 ㅇ 지원규 || 1000.0만원/support_amount/subtract: / 약 69개 사업장 ㅇ 지원한도 : 사업장 당 최대 1.000만원(투자비용의 70% 또는 50%) - 타 유사사업과의 지원금 중복지원 불가능 ㅇ 신청방법 - (사업신청) 전자메일 신청(메일주소 : conan0,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=24575,limit_candidate_large_delta
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,경기도,24.0,최대 24만원,support_amount,subtract,7.0,최대 7만원,support_amount,subtract,0.292x,new_half_or_less,likely_new_limit_candidate,hold,새 후보가 월별/인원별/건별/취득금액/연간한도 문맥이라 대표금액 확정이 어렵습니다.,large_amount_delta,"amount_delta_20_percent:old=24,new=7",☞ 부천시 소재 중소제조기업 ☞ 가입인원 1명당 월 기업부담금 7만원 지원 - 기업당 최대 3명까지 지원(기존ㆍ신규가입 포함),"7.0만원/support_amount/subtract: ☞ 부천시 소재 중소제조기업 ☞ 가입인원 1명당 월 기업부담금 7만원 지원 - 기업당 최대 3명까지 지원(기존ㆍ신규가입 포함) || 7.0만원/self_funding/review: ~ 모집 완료 시까지 〇 가입대상 : 부천시 소재 중소제조기업 및 근로자(핵심인력) 〇 모집인원 : 10명 〇 지원기간 : 공제 계약일로부터 3~5년(가입기간 선택) 〇 지원내용 : 가입인원 1명당 월 기업부담금 7만원 지원 || 34.0만원/support_amount/subtract: 납부 시까지 지원금 지급 유보 〇 납입금액 : 월 34만원 이상 (핵심인력 : 중소기업 = 1 : 2 이상) || 10.0만원/unknown/review: 34만원 이상 (핵심인력 : 중소기업 = 1 : 2 이상) ※ (예시) 핵심인력 10만원, 기업 24만원 이상(기업 17만원 이상, 부천시 7만원) 〇 만기금액 : 최소 || 24.0만원/unknown/review: 기업 24만원 이상(기업 17만원 이상 || 17.0만원/unknown/review: 기업 24만원 이상(기업 17만원 이상 || 7.0만원/unknown/review: 부천시 7만원) 〇 만기금액 : 최소(3년가입) 1 || 1224.0만원/unknown/review: 부천시 7만원) 〇 만기금액 : 최소(3년가입) 1,224만원 이상 □ 지원대상 〇 중소기업 : 부천시 소재 중소 제조기업 〇 핵심인력 : 직무기여도가 높아 기업의 대표자가 장기재직(3년 이상)이 필요하다",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056,unit_basis_ambiguous
PBLN_000000000117454,[강원] 2026년 글로벌 IP 스타기업 육성 해외OA비용 지원사업 공고,강원특별자치도,164.0,최대 164만원,support_amount,subtract,410.0,최대 410만원,support_amount,subtract,2.5x,new_2x_plus,likely_new_limit_candidate,hold,새 후보가 한도처럼 보이나 기존값과 차이가 커 최종 수동 확인이 필요합니다.,large_amount_delta,"amount_delta_20_percent:old=164,new=410","싱가폴 氠瑢 구분 세부사업명 지원한도 지원내용 전체 지원금 기업부담금 (현금) 해외 OA 비용 지원 미 국 4,100천원 2","410.0만원/support_amount/subtract: 싱가폴 氠瑢 구분 세부사업명 지원한도 지원내용 전체 지원금 기업부담금 (현금) 해외 OA 비용 지원 미 국 4,100천원 2 || 246.0만원/unknown/review: 100천원 2,460천원 이내 1 || 164.0만원/unknown/review: 460천원 이내 1,640천원 해외 특허 || 350.0만원/unknown/review: 디자인 출원의 중간대응(OA비용)에 필요한 비용 지원 유 럽 3,500천원 2 || 210.0만원/unknown/review: 500천원 2,100천원 이내 1 || 140.0만원/unknown/review: 100천원 이내 1,400천원 중국 || 200.0만원/support_amount/subtract: 지원 유 럽 3,500천원 2,100천원 이내 1,400천원 중국·일본·특수국 2,000천원 1,200천원 이내 800천원 기 타 1,300천원 780천원 이내 520천원 || 120.0만원/unknown/review: 000천원 1,200천원 이내 800천원 기 타 1 || ... 후보 4개 추가",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117454,limit_candidate_large_delta
PBLN_000000000117563,2026년 중소기업 매출채권팩토링 지원계획 공고,중소벤처기업부,100000.0,최대 10억원,support_amount,subtract,5900000.0,최대 590억원,support_amount,subtract,59x,new_10x_plus,likely_new_limit_candidate,hold,새 후보가 금융성 지원/한도 문맥일 수 있어 ROI 직접 차감 확정이 어렵습니다.,large_amount_delta,"amount_delta_20_percent:old=100000,new=5.9e+06",구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원,"5900000.0만원/support_amount/subtract: 구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원 || 100000.0만원/support_amount/subtract: 구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원 || 300000.0만원/unknown/review: 예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원, 구매기업 30억원 이내 ※ 자세한 사항 공고문 참조 사업신청 방법 온라인 접수 (중진공 누리집) || 1000.0만원/support_amount/subtract: 지원절차 ② 참고)ㅇ대상채권:중소기업이 물품･ 용역을 제공하여 발생한 매출채권* * 신청일로부터 62일 이내 작성되어 국세청에 전송된 10백만원 이상의 전자(세금)계산서 * 대표자가 동일한 기업 간 거래에서 발생한 매출채권 등은 지원대상에서 제외◦예산규모:590억원(’26년) 나 || 5900000.0만원/support_amount/subtract: 지원절차 ② 참고)ㅇ대상채권:중소기업이 물품･ 용역을 제공하여 발생한 매출채권* * 신청일로부터 62일 이내 작성되어 국세청에 전송된 10백만원 이상의 전자(세금)계산서 * 대표자가 동일한 기업 간 거래에서 발생한 매출채권 등은 지원대상에서 제외◦예산규모:590억원(’26년) 나 || 100000.0만원/unknown/review: 팩토링 한도 및 기간ㅇ(팩토링 한도)연간 한도는 판매기업 10억원 || 300000.0만원/revenue_condition/review: 가. 팩토링 한도 및 기간ㅇ(팩토링 한도)연간 한도는 판매기업 10억원,구매기업 30억원 이내 * 단, 기업당 한도는 「최근 결산재무제표 상 매출액의 1/3(제조업 1/ || 100000.0만원/unknown/review: 동일거래처에서 동일날짜 발행 세금계산서는 합산) * 구매기업의 채무액(팩토링 잔액)은 10억원 이내로 가능ㅇ(팩토링 기간)매출채권 기간을 고려하여 30일~90일(15일 단위)중에서신청기업이 선택 가능 나 || ... 후보 2개 추가",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117563,finance_context
PBLN_000000000117671,[인천] 서구 2026년 제품인증획득 지원사업 신청 공고,인천광역시,500.0,,support_amount,subtract,400.0,최대 400만원,non_cash,recommend_only,0.8x,moderate_delta,likely_new_limit_candidate,hold,새 후보가 현금성 직접 차감 지원금으로 확정되지 않습니다.,large_amount_delta,"type_changed:support_amount->non_cash | roi_method_changed:subtract->recommend_only | amount_delta_20_percent:old=500,new=400",FDA 등 해외 제품인증 기업당 400만원 범위내 KC,500.0만원/consulting_fee/recommend_only: 시험비 및 컨설팅비 등 기업당 300 ~ 500만원 범위내 지원 사업신청 방법 온라인 접수 (비즈오케이 홈페이지) 사업신청 사이트 온라인신청 바로가기 문의처 인천광역시 서구청 기업지원과 032- || 100.0만원/consulting_fee/recommend_only: 한도가 남을 시 100만원 범위내에서 컨설팅비를 지원함 || 500.0만원/consulting_fee/recommend_only: 시험비 및 컨설팅비 등 기업당 300 ~ 500만원 범위내 지원(VAT는 기업부담) 氠瑢 인 증 구 분 지원범위 지 원 금 액 신기술인증(NET) || 500.0만원/consulting_fee/recommend_only: 컨설팅비 기업당 500만원 범위내 CE || 400.0만원/non_cash/recommend_only: FDA 등 해외 제품인증 기업당 400만원 범위내 KC || 300.0만원/non_cash/recommend_only: Q마크 등 국내 제품인증 기업당 300만원 범위내 󰏚 지원대상 및 신청 || 1000000.0만원/non_cash/recommend_only: 가좌동 ❍ 제외대상 - 인증획득한 제품이 수입품인 기업 - 최근 결산년도 매출액이 100억원 이상인 기업 - 신청일 기준 국세,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117671,non_cash_or_non_subtract:non_cash
PBLN_000000000117688,[인천] 서구(검단지역) 2026년 제품인증획득 지원사업 신청 공고,인천광역시,500.0,,support_amount,subtract,400.0,최대 400만원,non_cash,recommend_only,0.8x,moderate_delta,likely_new_limit_candidate,hold,새 후보가 현금성 직접 차감 지원금으로 확정되지 않습니다.,large_amount_delta,"type_changed:support_amount->non_cash | roi_method_changed:subtract->recommend_only | amount_delta_20_percent:old=500,new=400",FDA 등 해외 제품인증 기업당 400만원 범위내 KC,500.0만원/consulting_fee/recommend_only: 시험비 및 컨설팅비 등 기업당 300 ~ 500만원 범위내 지원 사업신청 방법 온라인 접수 (비즈오케이 홈페이지) 사업신청 사이트 온라인신청 바로가기 문의처 인천광역시 서구청 기업지원과 032- || 100.0만원/consulting_fee/recommend_only: 한도가 남을 시 100만원 범위내에서 컨설팅비를 지원함 || 500.0만원/consulting_fee/recommend_only: 시험비 및 컨설팅비 등 기업당 300 ~ 500만원 범위내 지원(VAT는 기업부담) 氠瑢 인 증 구 분 지원범위 지 원 금 액 신기술인증(NET) || 500.0만원/consulting_fee/recommend_only: 컨설팅비 기업당 500만원 범위내 CE || 400.0만원/non_cash/recommend_only: FDA 등 해외 제품인증 기업당 400만원 범위내 KC || 300.0만원/non_cash/recommend_only: Q마크 등 국내 제품인증 기업당 300만원 범위내 󰏚 지원대상 및 신청 || 1000000.0만원/non_cash/recommend_only: 백석동 ❍ 제외대상 - 인증획득한 제품이 수입품인 기업 - 최근 결산년도 매출액이 100억원 이상인 기업 - 신청일 기준 국세,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117688,non_cash_or_non_subtract:non_cash
PBLN_000000000117992,2026년 나눔장비 이전지원사업 모집 공고,과학기술정보통신부,6000.0,"최대 6,000만원",support_amount,subtract,3000.0,"최대 3,000만원",support_amount,subtract,0.5x,new_half_or_less,likely_new_limit_candidate,hold,새 후보가 월별/인원별/건별/취득금액/연간한도 문맥이라 대표금액 확정이 어렵습니다.,large_amount_delta,"amount_delta_20_percent:old=6000,new=3000",여러 중소기업에 골고루 혜택을 제공하기 위해 1개 기업당 10개 이하 장비(취득금액 3천만원 이상)로 이전지원을 제한하는 ｢나눔장비 총량제｣ 실시 氠瑢 연구개발 또는 국산 장비개발 관련 중소기업 필수 서류 가,"6000.0만원/equipment_usage_fee/recommend_only: 연구개발 또는 국산 장비개발 관련 중소기업 등 ☞ 연구장비 이전ㆍ설치에 소요되는 비용 장비 당 취득금액의 20% 이내(최대 6천만원) 지원 사업신청 방법 온라인 접수 (ZEUS 장비활용종합포털 나눔터) || 6000.0만원/total_support_scale/review: 설치 시 발생하는 비용 - [장비수리비] 연구장비의 이전 후 사용에 필요한 수리 비용(소모품비 제외) ◌ 지원규모 : 장비 당 취득금액의 20% 이내(최대 6천만원) 지원 || 3000.0만원/support_amount/subtract: 여러 중소기업에 골고루 혜택을 제공하기 위해 1개 기업당 10개 이하 장비(취득금액 3천만원 이상)로 이전지원을 제한하는 ｢나눔장비 총량제｣ 실시 氠瑢 연구개발 또는 국산 장비개발 관련 중소기업 필수 서류 가 || 3000.0만원/unknown/review: kr/sharing) 공지 양식 ◌ 중복성 확인 검토서 : 장비 최초 취득금액 3,000만 원 이상인 경우 제출 ◌ 이전･수리비용 견적서 : 동일 항목에 대해 타 업체가 발행한 견적서 2부 || 50000.0만원/unknown/review: 장비를 신청한 경우 ③ 취득금액이 5억 이상인 연구시설 || 1000.0만원/unknown/review: 장비 이전 예상비용(VAT 포함) ◦ 총 예상비용 : 10,000,000 원(지원신청금액 + 자체투자금액) (비용산출은 부가세(VAT) 포함 기준이며 || 400.0만원/unknown/review: 견적서상 비용은 일치 요망) 氠瑢 사전점검비 장비이전비 장비수리비 총 합계 0원 4,000,000원 6 || 600.0만원/unknown/review: 000원 6,000,000원 10 || ... 후보 3개 추가",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117992,unit_basis_ambiguous
PBLN_000000000118245,[경북] 2026년 중소벤처기업 지식재산권 및 해외인증 지원사업 참가기업 모집 공고,경상북도,500.0,최대 500만원,support_amount,subtract,600.0,최대 600만원,non_cash,recommend_only,1.2x,moderate_delta,likely_new_limit_candidate,hold,새 후보가 현금성 직접 차감 지원금으로 확정되지 않습니다.,large_amount_delta,"type_changed:support_amount->non_cash | roi_method_changed:subtract->recommend_only | amount_delta_20_percent:old=500,new=600","시험기관 및 컨설팅 기관 출원/획득 일자 추진방법 □ 단독 □ 대행 지원금 청구 소요금액 원 신청금액 (공급가액의 80%) 최대 6,000,000원 송금계좌 _____은행","500.0만원/non_cash/recommend_only: ☞ 도내 중소ㆍ벤처기업 ☞ 지식재산권 출원 및 해외인증 획득 비용 지원(기업당 최대 500만원) || 600.0만원/non_cash/recommend_only: 시험기관 및 컨설팅 기관 출원/획득 일자 추진방법 □ 단독 □ 대행 지원금 청구 소요금액 원 신청금액 (공급가액의 80%) 최대 6,000,000원 송금계좌 _____은행 || 600.0만원/non_cash/recommend_only: : 획득 구분 세부내역 소요금액 (부가세 제외) 수행업체명 품목1 인증비 원 시험비 원 컨설팅비 원 소계 ① 浵╦ 0 浵ࡦ 원 품목2 인증비 원 시험비 원 컨설팅비 원 소계 ② 浵╦ 0 浵ࡦ 원 합계 ①+② 원 지원금 신청 금액(최대한도 기업당 600만원) 원 [서식2] 氠瑢 기업정보의 || 3000.0만원/non_cash/recommend_only: 시험비용의 합이 3천만원 이상 소요되는 인증",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118245,non_cash_or_non_subtract:non_cash
PBLN_000000000118395,[경기] 2026년 기술닥터사업 공고,경기도,500.0,최대 500만원,support_amount,subtract,2000.0,"최대 2,000만원",support_amount,subtract,4x,new_2x_plus,likely_new_limit_candidate,hold,새 후보가 한도처럼 보이나 기존값과 차이가 커 최종 수동 확인이 필요합니다.,large_amount_delta,"amount_delta_20_percent:old=500,new=2000","공정 개선 등 구체적 성과물 도출) 2,000만원 이내 총 비용의 20% 3단계 상용화 지원 기업의 매출향상 및 고용창출 위한 제품화‧사업화 지원(상세설계",500.0만원/support_amount/subtract: 부가세 제외 지원금 요청액 원 총 소요비용의 ( )% ☞ 500만원 한도 내에서 총 소요비용의 80%까지 지원가능 ☞ 사회적기업 || 500.0만원/support_amount/subtract: 경기도 일자리우수기업 의 경우 500만원 한도 내에서 총 소요비용의 85%까지 지원가능 첨 부 서 류 필수 ① 견적서 1부 || 500.0만원/support_amount/subtract: 부가세 제외) 원 원 지원금 요청액 원 원 총 소요비용의 ( )% 총 소요비용의 ( )% ☞ 500만원 한도 내에서 총 소요비용의 80%까지 지원가능 ☞ 사회적기업 || 500.0만원/non_cash/recommend_only: 경기도일자리우수 기업 의 경우 500만원 한도 내에서 총 소요비용의 85%까지 지원 가능 첨부서류 ① 과제수행 증빙(시험성적서 || 0.0만원/revenue_condition/review: 정량적 기대효과 (예시) 구 분 1차 년도 2차 년도 3차 년도 세부근거 (세부 근거는 과제 성격에 맞게 수정가능) 매출액(단위: 원) (예시) ㆍ지원전 : 000(단가)x000개=000천원 ㆍ지원후 : 000(단가)x000개=000천원 수출액(단위: 원) ㆍ지원전 : 000(단가)x0 || 0.0만원/revenue_condition/review: 정량적 기대효과 (예시) 구 분 1차 년도 2차 년도 3차 년도 세부근거 (세부 근거는 과제 성격에 맞게 수정가능) 매출액(단위: 원) (예시) ㆍ지원전 : 000(단가)x000개=000천원 ㆍ지원후 : 000(단가)x000개=000천원 수출액(단위: 원) ㆍ지원전 : 000(단가)x0 || 0.0만원/revenue_condition/review: 정량적 기대효과 (예시) 구 분 1차 년도 2차 년도 3차 년도 세부근거 (세부 근거는 과제 성격에 맞게 수정가능) 매출액(단위: 원) (예시) ㆍ지원전 : 000(단가)x000개=000천원 ㆍ지원후 : 000(단가)x000개=000천원 수출액(단위: 원) ㆍ지원전 : 000(단가)x0 || 0.0만원/revenue_condition/review: 정량적 기대효과 (예시) 구 분 1차 년도 2차 년도 3차 년도 세부근거 (세부 근거는 과제 성격에 맞게 수정가능) 매출액(단위: 원) (예시) ㆍ지원전 : 000(단가)x000개=000천원 ㆍ지원후 : 000(단가)x000개=000천원 수출액(단위: 원) ㆍ지원전 : 000(단가)x0 || ... 후보 6개 추가,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118395,limit_candidate_large_delta
PBLN_000000000119836,[전남광주] 2026년 상반기 구조고도화자금 지원 계획 공고,전남광주통합특별시,3000000.0,최대 300억원,support_amount,subtract,1000000.0,최대 100억원,support_amount,subtract,0.333x,new_half_or_less,likely_new_limit_candidate,hold,새 후보가 한도처럼 보이나 기존값과 차이가 커 최종 수동 확인이 필요합니다.,large_amount_delta,"amount_delta_20_percent:old=3e+06,new=1e+06",하반기 100억원 예정 ❍ 지원 내용 사 업 명지원 용도지원 한도상환 조건비 고창업지원사업(업력: 7년 이내)공장부지 매입,"100000.0만원/support_amount/subtract: , 경영안정사업) 지원 - 창업지원사업(3년 거치, 5년 균분상환 / 지원 한도 10억원 / 시설자금) - 경쟁력강화사업(3년 거치, 5년 균분상환 / 지원 한도 10억 || 100000.0만원/support_amount/subtract: 0억원 / 시설자금) - 경쟁력강화사업(3년 거치, 5년 균분상환 / 지원 한도 10억원 / 시설자금) - 경영안정화사업(1년 거치, 2년 균분상환 / 지원 한도 3억원 || 30000.0만원/loan/exclude: 0억원 / 시설자금) - 경영안정화사업(1년 거치, 2년 균분상환 / 지원 한도 3억원 / 운전자금) 사업신청 방법 온라인 접수 (기금융자관리시스템) 사업신청 사이트 || 3000000.0만원/unknown/review: 2026년 3월 4일광 주 광 역 시 장1 지원 개요 ❍ 지원 규모 : 300억원 || 1000000.0만원/support_amount/subtract: 하반기 100억원 예정 ❍ 지원 내용 사 업 명지원 용도지원 한도상환 조건비 고창업지원사업(업력: 7년 이내)공장부지 매입 || 100000.0만원/unknown/review: 임차 등10억원3년 거치5년 균분상환 시설 자금경쟁력강화사업(업력: 7년 초과)생산시설 교체 || 30000.0만원/unknown/review: 기타 경영 소요 자금3억원1년 거치2년 균분상환 운전 자금 || 1000000.0만원/support_amount/subtract: 지자체 정책자금 지원금액 100억원 초과 업체 - 운전자금(1년 거치 2년 균분상환)의 경우 || ... 후보 1개 추가",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119836,limit_candidate_large_delta
