policy_id,title,organization,support_ratio,ratio_audit_class,ratio_audit_reasons,roi_apply_method,manual_status,manual_required,manual_category,has_selected,has_numeric,ratio_candidate_count,amount_candidate_count,url
PBLN_000000000118033,[충북] 2026년 사회적기업 육성자금 이차보전금 지원계획 공고,충청북도,0.025,blocked_context,금융/융자/보증/이차보전 문맥; 수수료/인증/교육/컨설팅/비현금 문맥,exclude,not_required,False,,False,False,1,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118033
PBLN_000000000123480,[부산] 2026년 2차 블록체인 허브 입주기업 맞춤형 지원 프로그램 모집 공고,부산광역시,0.5,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,0,5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123480
TECHNOPARK:793,[강원테크노파크 공고 제 2026-101호] 2026년도 강원 지역특화형(바이오헬스·식품) 스마트공장 구축사업 공고,강원테크노파크,0.5,estimated_ratio_ok,지원비율 직접 적용 가능 문맥,subtract,reviewed,False,keep_old_amount,False,True,2,10,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMwNjYmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
PBLN_000000000123338,2026년 IP투자연계 지식재산평가 지원사업 공고,지식재산처,0.8,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,4,4,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123338
PBLN_000000000121025,2026년 해양플랜트 서비스산업 엔지니어링 기술 지원 공고(해양플랜트 서비스산업 장비 공동활용 및 인력양성 사업),해양수산부,,no_support_ratio,support_ratio 없음,ratio_cap,not_required,False,,False,False,0,0,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121025
PBLN_000000000119836,[전남광주] 2026년 상반기 구조고도화자금 지원 계획 공고,전남광주통합특별시,0.1,blocked_context,수수료/인증/교육/컨설팅/비현금 문맥,subtract,reviewed,False,keep_old_amount,False,True,1,6,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119836
PBLN_000000000118879,[인천] 2026년 청년 창업가 육성 및 지원을 위한 청년창업 특례보증 지원사업 공고,인천광역시,0.015,blocked_context,금융/융자/보증/이차보전 문맥,exclude,not_required,False,,False,False,2,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118879
TECHNOPARK:1792,2026년 수출디딤돌지원사업 「2026 중국 상하이 시장개척단」참가기업 모집 공고,충남테크노파크,,no_support_ratio,support_ratio 없음,recommend_only,not_required,False,,False,False,0,0,https://www.ctp.or.kr/business/datadetail.do?seq=2709312
PBLN_000000000123549,[경기] 용인시 제2차 반도체기업 기술보호 지원사업 모집 공고,경기도,,no_support_ratio,support_ratio 없음,recommend_only,reviewed,False,keep_old_amount,False,True,0,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123549
PBLN_000000000118881,[인천] 2026년 소공인 경영안정 및 성장지원을 위한 소공인 지원 특례보증 지원사업 공고,인천광역시,0.015,blocked_context,금융/융자/보증/이차보전 문맥,exclude,not_required,False,,False,False,2,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118881
SMARTFACTORY:2026-N-0061:3,[2차]2026 대중소상생형(삼성) 스마트공장 구축(고도화),스마트공장 사업관리시스템,0.6,already_confirmed_amount,확정 대표금액 차감 우선,subtract,not_required,False,,True,True,1,3,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0061&pbancSn=3
PBLN_000000000123506,[전남광주] 2026년 2차 전남 지역기업 성장사다리 지원사업 연장 공고,중소벤처기업부,,no_support_ratio,support_ratio 없음,subtract,not_required,False,,True,True,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123506
PBLN_000000000119013,2026년 투ㆍ융자 연계 기술개발사업 지원계획 공고(스케일업 팁스ㆍ글로벌 팁스ㆍ딥테크 챌린지 프로젝트),중소벤처기업부,0.75,blocked_context,금융/융자/보증/이차보전 문맥,subtract,not_required,False,,True,False,3,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119013
SMARTFACTORY:2026-N-0122:1,[코오롱베니트] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,0.5,estimated_ratio_pending_review,"pending/review 필요, 단 직접지원 문맥 있음",subtract,pending,True,mixed_manual_review,False,True,1,14,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0122&pbancSn=1
TECHNOPARK:1500,"(2026-130호) 2026년도 지역주력산업육성(지역특화 프로젝트 레전드 50+) 지원모집 2차 공고 (강원 2.0, 퀀텀점프)",강원테크노파크,,no_support_ratio,support_ratio 없음,subtract,reviewed,False,keep_old_amount,True,True,0,5,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMxNjgmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
TECHNOPARK:872,2026년 충남 정보보호 우수사례 지원사업 수혜기업 모집,충남테크노파크,0.1,blocked_context,수수료/인증/교육/컨설팅/비현금 문맥,subtract,reviewed,False,keep_old_amount,False,True,4,6,https://www.ctp.or.kr/business/datadetail.do?seq=2709231
PBLN_000000000119420,[대전] 2026년 수출보증보험료 지원사업 참가기업 모집 공고,대전광역시,1.0,blocked_context,금융/융자/보증/이차보전 문맥,exclude,not_required,False,,False,False,1,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119420
PBLN_000000000123792,2026년 충북청주 강소특구 X SK텔레콤 AI 기반 제조혁신 오픈이노베이션 지원사업 모집 공고,충청북도,,no_support_ratio,support_ratio 없음,recommend_only,not_required,False,,False,False,0,3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123792
PBLN_000000000116487,[경남] 창원시 2025년 중소기업육성자금 긴급 융자 지원사업 재공고,경상남도,0.032,blocked_context,금융/융자/보증/이차보전 문맥,exclude,not_required,False,,False,False,1,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116487
PBLN_000000000119919,2026년 IP담보대출연계 지식재산평가지원사업 공고,지식재산처,0.5,blocked_context,금융/융자/보증/이차보전 문맥; 수수료/인증/교육/컨설팅/비현금 문맥,exclude,not_required,False,,False,False,5,5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119919
SMARTFACTORY:2026-N-0124:1,[현대자동차 그룹] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,0.5,estimated_ratio_pending_review,"pending/review 필요, 단 직접지원 문맥 있음",subtract,pending,True,mixed_manual_review,False,True,1,5,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0124&pbancSn=1
PBLN_000000000120234,[전남광주] 2026년 청년창업특례보증 지원계획 공고,전남광주통합특별시,1.0,blocked_context,금융/융자/보증/이차보전 문맥; 수수료/인증/교육/컨설팅/비현금 문맥,exclude,not_required,False,,False,False,1,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120234
PBLN_000000000123526,[충남] 2026년 산학연 협동프로그램 참여기업 지원사업 모집 재공고(테크노파크 생산장비 고도화),충청남도,0.1,blocked_context,수수료/인증/교육/컨설팅/비현금 문맥,subtract,pending,True,mixed_manual_review,False,True,1,2,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123526
PBLN_000000000123496,2026년 경북 뿌리산업 DX(디지털전환) 기술지원사업 수혜기업 모집 재공고(뿌리산업 제조공정혁신 지원을 위한 DX 기반구축),산업통상부,,no_support_ratio,support_ratio 없음,subtract,not_required,False,,True,True,0,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123496
PBLN_000000000121038,2026년 IoT 보안인증 인증시험 수수료 지원 공고,과학기술정보통신부,0.8,blocked_context,수수료/인증/교육/컨설팅/비현금 문맥,ratio_cap,pending,True,recommend_only_payload,True,False,1,1,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121038
