group,policy_id,title,risk_count,risk_reasons,old_amount_manwon,old_amount_type,old_roi_apply_method,new_selected_amount_manwon,new_selected_type,new_roi_apply_method,new_support_ratio,old_actual,old_basis,new_selected_evidence
subtract_total_budget_condition_keywords,PBLN_000000000122359,[경북] 2026년 지역특화형(고도화) 스마트공장 구축사업 공고,5,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 6.374e+07만원, 새 20000만원",63740000.0,support_amount,subtract,20000.0,support_amount,subtract,0.5,최대 6374억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출, 스마트공장","수준) 1억 * 2회차 동일수준 지원은 1회차 고도화 사업 완료(성공 판정) 이후 지원 가능지원유형지원기간정부 지원한도지원 비율구축목표수준※고도화최대 9개월최대 2억원 이내(단, 수준별 2.5억원 한도)50% 이내중간1 이상목표설정필수고도화(동일수준)※ 구축목표수준은 KS X 9001-1(스마트공장 기본개념과 구조) 표준 기준 - 2 - -단,공고일 전에 스마트공장 구축사업을 통"
subtract_total_budget_condition_keywords,PBLN_000000000120780,2026년 통상변화대응지원사업 참여기업 모집 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,1000000.0,support_amount,subtract,1000000.0,unknown,review,1.0,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 시험인증, 판로수출","향상 관련 지원 - 예산 소진 시 기준 확인 필요 - 제조 현장 생산성 향상과 경쟁력 강화 [""현금지원"", ""컨설팅멘토링"", ""시험인증"", ""판로수출""] 최대 100억원 한도), 최대 12주 이내 40MD 수행 규모 자부담(최소) 지원금(최대) 총사업비 비율 금액 비율 금액 100억 미만 0% - 100% 20백만원 20백만원 100억 이상~500억 미만 10% 2백만원 90% 1"
subtract_total_budget_condition_keywords,PBLN_000000000121614,[전남광주] 2026년 스마트공장 지원계획 공고,5,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 subsidy -> 새 타입 unknown | 대표 금액 20% 이상 차이: 기존 80000만원, 새 170000만원",80000.0,subsidy,subtract,170000.0,unknown,review,0.2,최대 8억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 교육, 판로수출, 스마트공장",- 2026년도 제조AI특화 스마트공장 구축지원사업 공고 (중소벤처기업부 공고 제2026-180호) ❍ 지원기간 : 공고일로부터 예산소진시까지 ❍ 예산규모 : 17억원 내외 ❍ 수행기관 : (재)광주테크노파크 ❍ 지원대상 : 광주광역시 소재 중소․중견 기업 중 지원유형 선정기업 - 2 - ❍ 지원유형별 지원계획 *지원계획은 사정에 따라 변경될 수 있음 ① 기 초구분지원내용지원규모
subtract_total_budget_condition_keywords,PBLN_000000000119978,[경북] 2026년 OK FTA 컨설팅 지원사업 모집 공고(경북FTA통상진흥센터),5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,15000000.0,support_amount,subtract,15000000.0,unknown,review,0.4,최대 1500억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 시험인증","% □ 10% □ 20% □ 30% □ 40% 매출액 (2025년 기준) 50억 미만 50~100억 미만 100~500억 미만 500~1,000억미만 1,000~1,500억 미만 부담률 0% 10% 20% 30% 40% ⑩FTA활용 여부 □ 활용(국가 : ) □ 미활용 (활용예정 국가 : ) ⑪ 종합지원센터, 지역FTA통상진흥센터 FTA 컨설팅 수혜여부 □ 최근 2년(2024~2025"
subtract_total_budget_condition_keywords,PBLN_000000000123354,[부산] 2026년 도시형소공인 맞춤형 패키지 지원사업 모집 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 unknown,1200000.0,support_amount,subtract,1200000.0,unknown,review,0.8,최대 120억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출","""시험인증"", ""판로수출""] 최대 120억원 통계청장이 고시한 한국표준산업분류에 따름 소기업기준 (평균매출액) 상시근로자 기준 C. 제조업 10 식료품 제조업 120억원 이하 10명 미만 11 음료 제조업 120억원 이하 12 담배 제조업 80억원 이하 13 섬유제품 제조업 80억원 이하 14 의복, 의복 액세서리 및 모피제품 제 지원규모 : 최대 4,500,000원 (市 80%,"
support_amount_to_non_cash,PBLN_000000000120006,[서울] 2026년 노동환경개선컨설팅 사업 대상 모집 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 non_cash,100000.0,support_amount,subtract,100000.0,non_cash,recommend_only,,최대 10억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 시험인증, 교육","시험, 인증, 기술자문 등 세부 항목 지원 - 선착순 기준 확인 필요 - 제조 현장 생산성 향상과 경쟁력 강화 [""컨설팅멘토링"", ""시험인증"", ""교육""] 최대 10억원 선컨설팅 지원사업 o 신청 기간 : ’26. 3. 16(월) ~ 10. 30.(금) ※ 선착순 마감 시 조기 종료 o 모집 대상 -【市 유관 사업장】서울시 발주 10억원 미만 건설, 상시근로자 수 30인 미만 일반"
support_amount_to_non_cash,PBLN_000000000122640,[경북] 2026년 경북산업기술단지 거점기능강화사업 기술닥터제 활성화 지원사업 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 non_cash,300000.0,support_amount,subtract,300000.0,non_cash,recommend_only,,최대 30억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출","영 수 증 금 원정 (금 원정) 위 금액을 2026년 『2026년 기술닥터제 활성화 지원사업』의 현장애로기술 지원기업 ( 지원기업명 ) 컨설팅 및 자문료(1회 300,000만원 × 회)로 정히 영 수 합니다. 2026. . . 소속 및 직위 : 주민번호 : 주 소 : 전화번호 : 거래은행 계좌번호 예금주 성 명 : (인) 개인정보 수집·활용 동의서 경북테크노파크는 개인정보보호법 등 관련법"
support_amount_to_non_cash,PBLN_000000000120600,[경북] 김천시 2026년 기술주치의119지원사업 공고,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 non_cash,200000.0,support_amount,subtract,200000.0,non_cash,recommend_only,,최대 20억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 스마트공장","노파크 원장 귀하 영 수 증 금 원정(금 원정) 위 금액을 2026년 『기술주치의119지원사업』의 현장애로기술 지원기업 ( 지원기업명 ) 컨설팅 및 자문료(1회 200,000만원 × 회)로 정히 영 수 합니다. 20 . . . 소속 및 직위 : 주민번호 : 주 소 : 전화번호 : 거래은행 계좌번호 예금주 성 명 : (인) 개인정보 수집·활용 동의서 경북테크노파크는 개인정보보호법 등 관련법령"
support_amount_to_non_cash,PBLN_000000000121028,[울산] 2026년 상반기 산업안전보건 국제표준 인증기업 지원사업 시행 공고,4,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 support_amount -> 새 타입 non_cash | 대표 금액 20% 이상 차이: 기존 200만원, 새 300만원",200.0,support_amount,subtract,300.0,non_cash,recommend_only,0.5,최대 200만원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 시험인증, 판로수출","000,000원1,000,000원(50%)1,000,000원(50%)최초 심사비4,300,000원2,000,000원(50%)2,300,000원(50%)※ 업체당 300만원 한도 상기와 같이 “산업안전보건 국제표준 인증기업 지원사업 금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 시험인증, 판로수출 지원금지원율업체부담금자부담율합 계6,450,000원3,000,000원"
support_amount_to_non_cash,PBLN_000000000123525,[충남ㆍ충북ㆍ대전ㆍ세종] 2026년 2차 기업 지원 프로그램(비R&D) 지원대상 모집 공고(미래차 산업 혁신 지원사업),4,"subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 기존 타입 support_amount -> 새 타입 non_cash | 대표 금액 20% 이상 차이: 기존 1100만원, 새 550만원",1100.0,support_amount,subtract,550.0,non_cash,recommend_only,,"최대 1,100만원","금액 판단: 금액 미기재 / 지원 방식: 현금지원, 공동장비, 컨설팅멘토링, 기술개발, 시험인증","계 공급망 지원) ○ 11,000천원 10,000천원 1,000천원 미래차전환 R&D 기획 컨설팅 ○ 3,000천원 3,000천원 없음 미래차 전환 시험평가 ○ 5,500천원 5,000천원 500천원 미래차 전환 특허지원 ○ 2,750천원 2,500천 금액 판단: 금액 미기재 / 지원 방식: 현금지원, 공동장비, 컨설팅멘토링, 기술개발, 시험인증 확보를 위해 시험평가가 필요한 기업을 대"
