policy_id,title,quality_group,current_manual_status,current_manual_category,current_support_ratio,candidate_count,gemini_decision,gemini_confidence,gemini_amount_manwon,gemini_support_ratio,gemini_amount_type,gemini_roi_apply_method,gemini_candidate_index,gemini_evidence_text,gemini_reason,source,url
PBLN_000000000119013,2026년 투ㆍ융자 연계 기술개발사업 지원계획 공고(스케일업 팁스ㆍ글로벌 팁스ㆍ딥테크 챌린지 프로젝트),selected_no_numeric,not_required,,0.75,3,hold,low,,,unknown,review,,,Gemini failed: 503 Server Error: Service Unavailable for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=[REDACTED_API_KEY],error,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119013
PBLN_000000000121038,2026년 IoT 보안인증 인증시험 수수료 지원 공고,selected_no_numeric,pending,recommend_only_payload,0.8,1,hold,low,,,unknown,review,,,Gemini failed: 503 Server Error: Service Unavailable for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=[REDACTED_API_KEY],error,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121038
PBLN_000000000121145,[경북] 영천시 2026년 중소기업 기숙사 임차비 지원사업 참여기업 모집 공고,selected_no_numeric,not_required,,0.9,1,hold,low,,,unknown,review,,,Gemini failed: 503 Server Error: Service Unavailable for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=[REDACTED_API_KEY],error,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121145
PBLN_000000000116832,2026년 미래내일 일경험 사업 참여기업 모집 공고(인턴형ㆍ기업탐방형),selected_no_numeric,not_required,,,4,adopt_selected,high,90.0,,support_amount,subtract,0,1회 최대 90만원 기업 지원금 지급,"기업당/업체당/과제당/사업주당 직접 현금성 지원금 한도가 명확하므로 adopt_selected로 채택합니다. 원문에서 '1회 최대 90만원 기업 지원금 지급'이라는 명확한 현금성 지원금 한도를 확인할 수 있으며, 이는 ROI 계산에 직접적으로 사용될 수 있습니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116832
PBLN_000000000123639,[전남광주] 2026년 3차 창업기업 우수인력 인건비 지원사업 수혜기업 모집 공고,selected_no_numeric,not_required,,0.7,2,adopt_selected,high,1500.0,0.7,support_amount,subtract,0,"우수인재(신규인력) 최대 15백만원 이내, 우수경력자(기존인력) 최대 6백만원 이내 지원",기업당 최대 15백만원의 현금성 직접 지원금 한도가 명확하게 제시되어 있어 adopt_selected로 판단합니다. 지원 비율 70%도 명시되어 있습니다.,gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123639
TECHNOPARK:793,[강원테크노파크 공고 제 2026-101호] 2026년도 강원 지역특화형(바이오헬스·식품) 스마트공장 구축사업 공고,candidate_direct_no_selected,reviewed,keep_old_amount,0.5,10,hold,low,,,unknown,review,,,Gemini failed: 503 Server Error: Service Unavailable for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=[REDACTED_API_KEY],error,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMwNjYmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
PBLN_000000000119836,[전남광주] 2026년 상반기 구조고도화자금 지원 계획 공고,candidate_direct_no_selected,reviewed,keep_old_amount,0.1,6,hold,low,,,unknown,review,,,Gemini failed: 503 Server Error: Service Unavailable for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=[REDACTED_API_KEY],error,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119836
PBLN_000000000123659,[경북] 2026년 3차 지역기업 성장사다리 지원사업 통합 추가 공고,candidate_direct_no_selected,reviewed,keep_old_amount,,4,hold,low,,,unknown,review,,,Gemini failed: 503 Server Error: Service Unavailable for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=[REDACTED_API_KEY],error,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123659
PBLN_000000000123417,[경북] 영천시 2026년 2차 중소기업 고부가가치 전환육성 지원사업 공고,candidate_direct_no_selected,pending,manual_representative_recoverable,1.0,3,adopt_selected,high,10000.0,0.2,support_amount,subtract,1,"지원금 : 최대 100,000천원(지원금의 20% 이상 현금 기업 부담)","최대 1억원 현금성 직접 지원금으로 ROI 계산에 사용 가능하며, 원문에 명확한 한도와 지원금액이 제시되어 있어 채택합니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123417
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,candidate_direct_no_selected,pending,manual_representative_recoverable,,2,hold,low,,,unknown,review,,,Gemini failed: 503 Server Error: Service Unavailable for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash-lite:generateContent?key=[REDACTED_API_KEY],error,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056
