policy_id,title,organization,old_amount_manwon,old_amount_actual,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_actual,new_amount_type,new_roi_apply_method,delta_ratio,delta_bucket,pattern,suggested_action,suggested_reason,decision_reasons,comparison_reasons,new_selected_context,candidate_summary,url
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,250000.0,최대 25억원,support_amount,subtract,50000.0,최대 5억원,support_amount,subtract,0.2x,new_half_or_less,risk_total_or_cumulative_selected,keep_old,새 후보 문맥이 위험 패턴(risk_total_or_cumulative_selected)에 해당합니다.,subtract_without_limit_context | large_amount_delta,"amount_delta_20_percent:old=250000,new=50000",동일한 연구개발과제를 수행하는 참여기업들은 상호 협의를 통해 연구개발기간에 걸쳐 참여기업들의 정부지원연구개발비 합계액을 기준으로 5억원 당 1명 이상의 만 34세 이하(채용시점 기준,50000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상 || 50000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상의 기 || 60000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상의 기 || 50000.0만원/unknown/review: 특정연구기관) 제한없음 (영리기업 참여 필수) 스위스 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 스페인 10억원 이내/년 3년 이내 중소 || 100000.0만원/unknown/review: 특정연구기관) 제한없음 (영리기업 참여 필수) 스위스 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 스페인 10억원 이내/년 3년 이내 중소 || 50000.0만원/unknown/review: 중견 제한없음 싱가포르 5억원 이내/년 3년 이내 중소 || 50000.0만원/unknown/review: 대기업 제한없음 영국 5억원 이내/년 3년 이내 중소 || 25000.0만원/unknown/review: 대기업 제한없음 인도 2.5억원 이내/년 2년 이내 중소 || ... 후보 11개 추가,https://www.k-pass.kr/notice/ancView.do?ancId=P2950&gubun=NEW
PBLN_000000000118027,2026년 KOLAS 공인 제품인증 서비스 바우처 지원사업 참가 희망기업 모집 공고,부산광역시,80.0,,voucher,subtract,500000.0,최대 50억원,non_cash,recommend_only,6.25e+03x,new_100x_plus,risk_revenue_condition_selected,keep_old,새 후보 문맥이 위험 패턴(risk_revenue_condition_selected)에 해당합니다.,large_amount_delta,"type_changed:voucher->non_cash | roi_method_changed:subtract->recommend_only | amount_delta_20_percent:old=80,new=500000",최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0,80.0만원/equipment_usage_fee/recommend_only: / 기타) 2인 출장비 (재)부산테크노파크 여비 규정에 따름(관내 지역 시 제외) 2인 시험 수수료 위탁 시험기관 의뢰시험검사 업무규정에 따름 제품별 상이 인증마크 제작 수수료 신청제품의 수량 × 제작단가 협의 인증수수료(마크 사용료) 신청제품의 수량 × 신청제품의 개별단가 × 약정요율 || 80.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 30000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 150000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 300000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 500000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 500000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || None만원/support_ratio/ratio_cap: 2026년 KOLAS 공인 제품인증 서비스 바우처 지원사업 참가 희망기업 모집 공고 부산광역시 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118027
PBLN_000000000118209,2026년 중소기업 연구인력지원사업 공고,중소벤처기업부,3800.0,"최대 3,800만원",subsidy,subtract,5000.0,"최대 5,000만원",subsidy,subtract,1.32x,moderate_delta,risk_exclusion_or_threshold_selected,keep_old,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,large_amount_delta,"amount_delta_20_percent:old=3800,new=5000","레전드 50 +* : 10개) ◇ 지역특화 프로젝트 󰡔레전드 50+ * 󰡕 : 중소기업의 혁신성장 및 경쟁력 제고를 위하여 중소벤처기업부 및 17개 광역자치단체가 함께 추진하는 지역 특화 프로젝트이며 중소벤처 기업부가 핵심 정책수단을 3년간 패키지로 지원해 주는 정책 * 레전드 50+ 참여기업 선정확인서를 제출하는 경우 우선 할당(제한경쟁) ◦ (지원내용) 기업별 1명으로 최대 3년간 연봉의 50% 지원 구분 연봉 정부지원연구개발비(정부지원금) 지원기준 제한 없음 연봉의 50% (연간 최대 5,000만원까지 지원) * 연봉(세전금액) : (기본급 + 월정액수당(퇴직금 제외)) × 12개월 ◦ 지원대상 - (지원기업) 「중소기업기본법」제2조에 따","3200.0만원/unknown/review: 개발비(40% 기준) ** 1년차 2년차 3년차 1년차 2년차 3년차 전문·학사 3,200만원 3,500만원 3,800만원 1,280만원 1,400만원 1,520만원 석사 4 || 3500.0만원/unknown/review: 기준) ** 1년차 2년차 3년차 1년차 2년차 3년차 전문·학사 3,200만원 3,500만원 3,800만원 1,280만원 1,400만원 1,520만원 석사 4,100만원 4 || 3800.0만원/unknown/review: 년차 2년차 3년차 1년차 2년차 3년차 전문·학사 3,200만원 3,500만원 3,800만원 1,280만원 1,400만원 1,520만원 석사 4,100만원 4,500만원 4 || 1280.0만원/unknown/review: 년차 1년차 2년차 3년차 전문·학사 3,200만원 3,500만원 3,800만원 1,280만원 1,400만원 1,520만원 석사 4,100만원 4,500만원 4,900만원 1 || 1400.0만원/unknown/review: 년차 3년차 전문·학사 3,200만원 3,500만원 3,800만원 1,280만원 1,400만원 1,520만원 석사 4,100만원 4,500만원 4,900만원 1,640만원 1 || 1520.0만원/unknown/review: 400만원 1,520만원 석사 4 || 5000.0만원/unknown/review: 960만원 박사 5,000만원 5 || 5500.0만원/unknown/review: 원 4,900만원 1,640만원 1,800만원 1,960만원 박사 5,000만원 5,500만원 6,000만원 2,000만원 2,200만원 2,400만원 * 기준연봉(세전금액) || ... 후보 5개 추가",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118209
PBLN_000000000119206,[충남] 아산시 2026년 해외마케팅 지원사업 참가기업 모집 공고,충청남도,400.0,최대 400만원,subsidy,subtract,10000.0,최대 1억원,subsidy,subtract,25x,new_10x_plus,risk_penalty_or_sanction_selected,keep_old,새 후보 문맥이 위험 패턴(risk_penalty_or_sanction_selected)에 해당합니다.,subtract_without_limit_context | large_amount_delta,"amount_delta_20_percent:old=400,new=10000",부정한 방법으로 지방보조금을 교부받은 지방보조사업자 등에 대한 벌칙 ­ 거짓 신청이나 그 밖의 부정한 방법으로 지방보조금을 교부받은 자와 그 사실을 알면서 지방보조금을 교부한 자는 10년 이하의 징역 또는 1억원 이하 벌금 부과 (법 제37조) ­ 법령,"400.0만원/support_amount/subtract: 기업ㆍ제품 홍보영상 등 동영상 제작비 지원(기업당 400만원 한도) 사업신청 방법 이메일 접수 (lnk128@korea || 10000.0만원/subsidy/subtract: 부정한 방법으로 지방보조금을 교부받은 지방보조사업자 등에 대한 벌칙 ­ 거짓 신청이나 그 밖의 부정한 방법으로 지방보조금을 교부받은 자와 그 사실을 알면서 지방보조금을 교부한 자는 10년 이하의 징역 또는 1억원 이하 벌금 부과 (법 제37조) ­ 법령 || 5000.0만원/unknown/review: 법령에 따른 자치단체장의 처분에 대한 선량한 관리자로서의 주의 의무를 위반하여 다른 용도에 사용한 보조사업자와 자치단체장의 승인 없이 중요재산에 대하여 금지된 행위를 한 자 에 대해 5년 이하의 징역 또는 5천만원 이하의 벌금 부과 (법 제38조) ­ 자치단체장의 승인 없이 지방보조사업 || 2000.0만원/unknown/review: 임의로 다른 사업자에게 인계 또는 중단∙폐지한 보조사업자에 대해 2년 이하의 징역 또는 2천만원 이하의 벌금 부과 (법 제39조제1항) ­ 자치단체장의 보조사업 수행 정지명령을 위반한 자 || 1000.0만원/unknown/review: 지방보조사업 실적보고서를 거짓으로 작성하여 제출 등의 행위를 한 보조사업자 대해서는 1년 이하의 징역 또는 1천만원 이하의 벌금 부과 (법 제39조제2항) || 2800.0만원/project_budget/review: (사업예산) 28,000천원(금이천팔백만원) || 400.0만원/total_project_cost/review: (지원내용) 기업당 400만원 한도 내 아래 사업 선택 지원 (복수선택 가능) - 총사업비의 보조금 비율 최대 80% 이내(공급가액 기준) 구분 지원내용 외국어 카탈로그 외 || 10000.0만원/unknown/review: 거짓 신청이나 부정한 방법으로 교부받은 자는 10년 이하의 징역 또는 1억원 이하의 벌금부과 || ... 후보 3개 추가",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119206
PBLN_000000000119454,[경기] 평택시 2026년 국내외 지식재산 권리화 지원사업 모집 공고,경기도,0.0,최대 0만원,support_amount,subtract,150.0,최대 150만원,support_amount,subtract,,zero_or_missing,risk_exclusion_or_threshold_selected,keep_old,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,large_amount_delta,"amount_delta_20_percent:old=0,new=150",PCT 소요 비용 지원 분야지원내용규모지원한도비율지원내용국내 출원국내 특허20개사150만원/건80%° 변리사 수임료(VAT 제외) (출원료,"4500.0만원/project_budget/review: 2026년 3월 3일 (재)평택산업진흥원장01사업개요 □ 사 업 명 : 2026년 ｢국내외 지식재산 권리화 지원사업｣ □ 사업기간 : 2026년 1월 1일 ~ 12월 31일 □ 사업예산 : 45,000천원(출연금 100%) □ 지원대상 : 본사 또는 등록공장 평택에 소재한 중소기업 (업 || 150.0만원/support_amount/subtract: PCT 소요 비용 지원 분야지원내용규모지원한도비율지원내용국내 출원국내 특허20개사150만원/건80%° 변리사 수임료(VAT 제외) (출원료 || 300.0만원/total_support_scale/review: 디자인 해외출원국내 특허3개사300만원/건실용신안합계23개사- - - - 2 - 02모집내용 및 지원조건 □ 추진시기 : 연중 수시 모집 (예산 소진 시까지) □ 지원규모 : 최대 || 0.0만원/total_support_scale/review: □ 추진시기 : 연중 수시 모집 (예산 소진 시까지) □ 지원규모 : 최대 39,0000천원 이내 / 총 23개사 ※지원금및지원건수는예산범위내변동될수있음 □ 지원절차① 모집",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119454
PBLN_000000000122492,[충남] 2026년 IP디딤돌 프로그램 창업자 후속지원 대상자 모집 공고,충청남도,900.0,최대 900만원,support_amount,subtract,136.0,최대 136만원,support_amount,subtract,0.151x,new_half_or_less,risk_exclusion_or_threshold_selected,keep_old,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,large_amount_delta,"amount_delta_20_percent:old=900,new=136","VAT 포함) 지원건수자부담후속지원 특허망 구축(국내출원) 1,360,000원 이내1인 3건 이내20%(면제 불가)PCT 출원 (*VAT 제외) 2","136.0만원/support_amount/subtract: VAT 포함) 지원건수자부담후속지원 특허망 구축(국내출원) 1,360,000원 이내1인 3건 이내20%(면제 불가)PCT 출원 (*VAT 제외) 2 || 260.0만원/unknown/review: 000원 이내1인 3건 이내20%(면제 불가)PCT 출원 (*VAT 제외) 2,600,000원 이내 1인 1건 이내신규 브랜드 개발14 || 1400.0만원/unknown/review: 000원 이내 1인 1건 이내신규 브랜드 개발14,000,000원 이내1인 1건 이내제품 디자인 개발16 || 1600.0만원/unknown/review: 000원 이내1인 1건 이내제품 디자인 개발16,000,000원 이내1인 1건 이내화상 디자인 개발 (GUI 중심) 6 || 600.0만원/unknown/review: 000원 이내1인 1건 이내화상 디자인 개발 (GUI 중심) 6,000,000원 이내1인 1건 이내화상 디자인 개발 (UX || 900.0만원/unknown/review: UI) 9,000,000원 이내1인 1건 이내포장 디자인 개발9 || 900.0만원/unknown/review: 000원 이내1인 1건 이내포장 디자인 개발9,000,000원 이내1인 1건 이내",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122492
PBLN_000000000122968,2026년 2차 안전일터 조성지원 사업 수정 공고,고용노동부,3000.0,"최대 3,000만원",subsidy,subtract,100000.0,최대 10억원,support_amount,subtract,33.3x,new_10x_plus,risk_exclusion_or_threshold_selected,keep_old,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,large_amount_delta,"type_changed:subsidy->support_amount | amount_delta_20_percent:old=3000,new=100000",운영비 등 지원 제외 ㅇ (지원한도) 산업단지 또는 지식산업센터 당 최대 10억원 한도(공단 판단금액의 50% 지원),"500000.0만원/unknown/review: 지자체 고용노동부 사업수행기관 한국산업안전보건공단 신청기간 사업별 상이 사업개요 고용노동부와 한국산업안전보건공단은 기술ㆍ재정여력이 취약한 중소사업장과 공사금액 50억원 미만 소규모 건설현장의 사고사망 및 중상해재해를 예방하기 위해 「안전일터 조성지원 사업」 시행을 아래와 같이 수정(2차 || 500000.0만원/unknown/review: 재정여력이 취약한 중소사업장과 공사금액 50억원 미만 소규모 건설현장의 사고사망 및 중상해재해를 예방하기 위해 『안전일터 조성지원 사업』 시행을 아래와 같이 수정 공고합니다 || 3000.0만원/subsidy/subtract: 감독 또는 공단 및 민간위탁기관의 기술지원 등에 따라 개선해야 할 사항 중 보조금 지급 등을 통해 시급히 지원할 필요가 있다고 인정되는 사업장을 대상으로 절차 및 제출서류 등을 간소화하여 신속히 지원하는 제도 ㅇ (지원한도) 동일 사업주 또는 법인 당 최대 3,000만원까지 - 기존 보 || 1000.0만원/subsidy/subtract: 기 지원 보조금을 차감하여 지급 - 아래에 해당하는 경우 각 1천만원까지 추가지원 가능 ①고용증가 사업장(1명당 200만원 범위 || 200.0만원/subsidy/subtract: 기 지원 보조금을 차감하여 지급 - 아래에 해당하는 경우 각 1천만원까지 추가지원 가능 ①고용증가 사업장(1명당 200만원 범위 || 2724000.0만원/project_budget/review: 신청기간 및 방법 ㅇ (지원예산) 272.4억원 || 100.0만원/non_cash/recommend_only: 판매)업체별 소요금액 100만원 이상시 제출 해당시(첨부12)⑨ 품목별 안전인증 || 100000.0만원/support_amount/subtract: 운영비 등 지원 제외 ㅇ (지원한도) 산업단지 또는 지식산업센터 당 최대 10억원 한도(공단 판단금액의 50% 지원) || ... 후보 1개 추가",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122968
PBLN_000000000123158,2026년 3차 친환경양식어업육성 사업대상자 모집 재공고(품종별산업화시설지원-친환경개체굴생산지원),해양수산부,100000.0,최대 10억원,subsidy,subtract,350000.0,최대 35억원,subsidy,subtract,3.5x,new_2x_plus,risk_exclusion_or_threshold_selected,keep_old,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,large_amount_delta,"amount_delta_20_percent:old=100000,new=350000","000백만원)*2차공모선정액을제외한국비잔여사업비3,500백만원한도내모집ㅇ지원한도:시설 당 국비기준 최대 1","100000.0만원/subsidy/subtract: ☞「양식산업발전법」 제10조에 의한 패류 양식업면허 또는「양식산업발전법」제43조에 의한 허가를 받아 경영 중인 어가 -「농어업경영체 육성 및 지원에 관한 법률」제4조에 따른 어업경영정보가 등록되어 있어야 함 ☞ 시설 당 국비기준 최대 1,000백만원 지원 - 폐기물 발생 및 부표 사용량 || 100000.0만원/subsidy/subtract: 지원한도액 기준 및 범위 ㅇ 지원한도: 국비기준 개소당 1,000백만원 이내 - 지원한도액을 초과하는 경우에는 사업자의 자부담으로 하며 || 5000.0만원/unknown/review: 중요재산 관리 ㅇ 중요재산 보고 및 공시 대상 중요재산명 재산가액 중요재산 구분 변동현황 공시 기간 친환경개체굴 생산시설 5천만원 미만 그 밖의 기계 || 5000.0만원/unknown/review: 장비 등 최초공시일로부터 10년 5천만원 이상 그 외 기계류 등 최초공시일로부터 15년 ㅇ 사후관리 기간 구분 내용연수 (준공일로부터) 처분제한기준 분류 대상 부동산 철근콘크리트조 건 || 5000.0만원/unknown/review: 대여 담보의 제공 그 외의 건축물 35년 고가 동산 (5천만원이상) 선박 || 50.0만원/unknown/review: 장비의 취득가액이 50만원 이하일 경우 관리를 아니할 수 있으며 || 10000.0만원/subsidy/subtract: 검증보고서 (보조금 총액 1억원 이상/민간사업자에 한함) || 100000.0만원/subsidy/subtract: 회계감사 보고서 (보조금 총액 10억원 이상/민간사업자에 한함) * 검증보고서 및 회계감사보고서는 ｢주식회사 등의 외부감사에 관한 법률｣ 제2조 제7항 및 제9조에 따른 감사인으로부 || ... 후보 10개 추가",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123158
PBLN_000000000123205,[경기] 안양시 2026년 하반기 국내외 IP 출원 및 인증 지원사업 모집 공고,경기도,400.0,최대 400만원,support_amount,subtract,2000000.0,최대 200억원,support_amount,subtract,5e+03x,new_100x_plus,risk_revenue_condition_selected,keep_old,새 후보 문맥이 위험 패턴(risk_revenue_condition_selected)에 해당합니다.,selected_context_has_risk_keyword | large_amount_delta,"amount_delta_20_percent:old=400,new=2e+06",아래 요건을 모두 충족하는 기업 ① 소재지 : 안양시 소재 (본사 또는 공장) 중소ㆍ벤처기업 (사업자등록 기준) ② 매출액 : 재무제표 최근 3년 평균 매출액 200억 이하 (상장사ㆍ중견기업 제외) ☞ 국내외 IP 출원 소요비용의 80% 지원,2000000.0만원/support_amount/subtract: 아래 요건을 모두 충족하는 기업 ① 소재지 : 안양시 소재 (본사 또는 공장) 중소ㆍ벤처기업 (사업자등록 기준) ② 매출액 : 재무제표 최근 3년 평균 매출액 200억 이하 (상장사ㆍ중견기업 제외) ☞ 국내외 IP 출원 소요비용의 80% 지원 || 0.1만원/fee/review: 상표의 경우 이미지 첨부 경쟁력 및 시장성 상품화 추진계획 출원에 따른 기대효과 소요비용 (VAT 제외) 천원 미만 절사 관 납 료 천원 컨설팅 수수료 천원 기 타1 천원 합 계 천원 氠瑢 [서식 제3호] 지원사업 신청서 (인증) 氠瑢 2026년도 국내외 IP 출원 및 인증 지원사업 ( || 2000000.0만원/revenue_condition/review: 벤처기업 (사업자등록 기준) ② [매출액] 재무제표 최근 3년 평균 매출액 200억 이하 (상장사 || 400.0만원/non_cash/recommend_only: 가능예시: 인증분야 내에서 ‘ISO 인증’1건만 지원 가능 ▶ 출원 완료 후 접수 (소요비용 기업 선납) 氠瑢 분 야 내 용 지원비율 지원한도(최대) 지원조건 IP (지식재산권) 해외특허 (개별국 및 PCT) 진흥원 80% 기업부담 20% 400만원/건 [선택1] 연간1건 국내특허 10 || 100.0만원/non_cash/recommend_only: 가능예시: 인증분야 내에서 ‘ISO 인증’1건만 지원 가능 ▶ 출원 완료 후 접수 (소요비용 기업 선납) 氠瑢 분 야 내 용 지원비율 지원한도(최대) 지원조건 IP (지식재산권) 해외특허 (개별국 및 PCT) 진흥원 80% 기업부담 20% 400만원/건 [선택1] 연간1건 국내특허 10 || 30.0만원/non_cash/recommend_only: 가능예시: 인증분야 내에서 ‘ISO 인증’1건만 지원 가능 ▶ 출원 완료 후 접수 (소요비용 기업 선납) 氠瑢 분 야 내 용 지원비율 지원한도(최대) 지원조건 IP (지식재산권) 해외특허 (개별국 및 PCT) 진흥원 80% 기업부담 20% 400만원/건 [선택1] 연간1건 국내특허 10 || 400.0만원/non_cash/recommend_only: 가능예시: 인증분야 내에서 ‘ISO 인증’1건만 지원 가능 ▶ 획득(인증) 완료 후 접수 (소요비용 기업 선납) 氠瑢 분 야 내 용 지원비율 지원한도(최대) 지원조건 인증 품질인증 국내 진흥원 80% 기업부담 20% 400만원/건 연간1건 해외 ISO인증 氠瑢 ★ 조건부 인정 제도 운영 || 400.0만원/non_cash/recommend_only: 감점 기준에 따른 고득점 기업 순 ▶ 2순위 : 최근 2년간 진흥원 지원사업 수혜이력이 없는 기업 (신규 수혜 우대) ▶ 3순위 : 최근 2년간 지식재산권(특허 등) 등록증 및 인증 다수 보유 기업 ❍ 지급절차 ▶ 지원 대상 기업 개별 통보 (미지원 대상 기업 별도 안내 없음) ▶ 최종,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123205
PBLN_000000000123247,[경남] 고성군 2026년 3차 시군구연고산업육성사업 지원기업 모집 공고,중소벤처기업부,3630.0,"최대 3,630만원",support_amount,subtract,2500.0,"최대 2,500만원",support_amount,subtract,0.689x,moderate_delta,risk_exclusion_or_threshold_selected,keep_old,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,large_amount_delta,"amount_delta_20_percent:old=3630,new=2500",기업 자부담 비율은 부가세 제외 금액에 대한 자부담 비율임 □ 지원방법 : ㅇ (지원 금액) 기업별 신청서 및 사업계획서에 따라 프로그램별 최대 지원금액 내 지원 * 지원 프로그램에 따라 지원 금액의 10% 기업 자부담 매칭 필수 * 예시 : 지원금 25백만원 + 기업부담금(10%) 2,500.0만원/consulting_fee/recommend_only: 스마트화를 위한 전문가 자문 및 컨설팅 비용 지원 생산성 향상 및 공정 혁신을 위한 전문가 자문 및 컨설팅 비용 지원 5백만원 10% 사업화 지원 시험 인증 지원 조선 기자재 각종 선급인증 || 1000.0만원/non_cash/recommend_only: 국제규격 취득 비용 지원 지원 조선업 기업 각종 인증 비용 지원 10백만원 10% 외국 인력 관련 지원 외국인 우수인력 채용 지원 외국인 기량 검증 및 인력(E7 비자) 채용을 위한 각종 경비 지원 및 현지 채용 면접 || 200.0만원/equipment_usage_fee/recommend_only: 국제규격 취득 비용 지원 지원 조선업 기업 각종 인증 비용 지원 10백만원 10% 외국 인력 관련 지원 외국인 우수인력 채용 지원 외국인 기량 검증 및 인력(E7 비자) 채용을 위한 각종 경비 지원 및 현지 채용 면접 참가 비용 지원 외국인(E7 비자) 채용 관련 기업체 인원 국외 출장 || 150.0만원/unknown/review: 작업 효율성 향상을 위한 현장 안전판 설치 지원 1.5백만원 10% || 2500.0만원/support_amount/subtract: 기업 자부담 비율은 부가세 제외 금액에 대한 자부담 비율임 □ 지원방법 : ㅇ (지원 금액) 기업별 신청서 및 사업계획서에 따라 프로그램별 최대 지원금액 내 지원 * 지원 프로그램에 따라 지원 금액의 10% 기업 자부담 매칭 필수 * 예시 : 지원금 25백만원 + 기업부담금(10%) 2 || 250.0만원/total_project_cost/review: 기업 자부담 비율은 부가세 제외 금액에 대한 자부담 비율임 □ 지원방법 : ㅇ (지원 금액) 기업별 신청서 및 사업계획서에 따라 프로그램별 최대 지원금액 내 지원 * 지원 프로그램에 따라 지원 금액의 10% 기업 자부담 매칭 필수 * 예시 : 지원금 25백만원 + 기업부담금(10%) 2 || 2750.0만원/revenue_condition/review: 5백만원 = 총 사업비 27.5백만원 * 영세기업의 기업부담금 완화를 위해 ’24년 기업 매출액 10억원 미만은 5% || 100000.0만원/revenue_condition/review: 5백만원 * 영세기업의 기업부담금 완화를 위해 ’24년 기업 매출액 10억원 미만은 5% || ... 후보 9개 추가,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123247
