policy_id,title,organization,stage2_category,stage2_category_ko,stage2_reason,old_amount_manwon,candidate_count,selected_amount_manwon,selected_amount_type,selected_context,direct_candidate_summary,manual_review_decision,manual_selected_amount_manwon,manual_evidence,manual_note,url,gemini_decision,gemini_candidate_index,gemini_amount_manwon,gemini_amount_type,gemini_roi_apply_method,gemini_confidence,gemini_reason,gemini_evidence_text,final_suggested_action,sanity_reason,review_source,review_status
PBLN_000000000117942,[경남] 창원시 2026년 지식재산진흥 지원사업 기업 모집 공고,경상남도,gemini_second_review,Gemini 2차 검수 대상,"규칙으로 대표금액 확정 불가, Gemini 2차 검수 대상",,1,,,,"3000.0만원/subsidy: 경찰 등 수사기관에서 조사나 수사 중인 기업으로서 비위의 정도가 중대하고 이로 인하여 정상적인 과제수행을 기대하기 현저히 어려운 기업 □ 중복지원 제한 요건 ▸당해년도 창원산업진흥원 보조금 지원사업(지원금 3,000만원 이상) 2개 초과 수행 중 상기 내용이 사실임을 확인하며",,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117942,adopt_candidate,0,3000.0,subsidy,subtract,high,"후보 0번은 최대 3,000만원의 현금성 지원금(subsidy)으로 명확하며, ROI 직접 차감(subtract)이 가능하고 '지원금 3,000만원 이상'이라는 한도 문맥이 있어 채택합니다.","당해년도 창원산업진흥원 보조금 지원사업(지원금 3,000만원 이상) 2개 초과 수행 중 상기 내용이 사실임을 확인하며",adopt_candidate,Gemini high confidence와 sanity check 통과,cache,ok
PBLN_000000000119212,[제주] 2026년 청정임산물 생산기반 지원사업 재공고,제주특별자치도,multi_program_representative_needed,다중 프로그램 중 대표 선택 필요,여러 지원 프로그램 후보 중 대표 선택 기준 필요,,3,,,,"1080.9만원/subsidy: ☞ 공고일 현재 제주특별자치도에 주소를 두고 있는「임업 및 산촌 진흥촉진에 관한 법률 시행규칙」 제7조제1항「별표2」“임산물소득원의 지원 대상품목”을 재배하고 있는 생산자(임업인) 또는 생산자단체와 임산물의 선별ㆍ가공ㆍ유통ㆍ상품화를 하고자 하는 생산자 또는 생산자단체 ☞ 임산물 재배ㆍ생산 기계ㆍ장비 지원(1인 1대 보조금 10,809천원 범위내) 사업신청 방법 방문 및 우편 접수 - 접수처  || 1080.9만원/subsidy: 장비 지원 (1인 1대 보조금 10,809천원 범위내) || 2000.0만원/subsidy: 지방보조금 교부결정 내용 등에 위반하여 다른 용도 사용한 경우 3년이하의 징역 또는 2천만원 이하의 벌금이 부과됩니다",,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119212,hold,-1,,unknown,review,low,다중 프로그램 중 대표 선택 기준이 필요하여 보류합니다.,여러 지원 프로그램 후보 중 대표 선택 기준 필요,hold,Gemini가 대표 후보 없음 또는 보류로 판단,cache,ok
PBLN_000000000119733,[울산] 울주군 2026년 강소기업 육성 기술 혁신 지원사업 시행 공고,울산광역시,multi_program_representative_needed,다중 프로그램 중 대표 선택 필요,명확한 한도 후보가 여러 개라 대표 선택 필요,,2,,,,1000.0만원/support_amount: 기술평가 전문기관 연계 지원 10백만원 최대 5백만원 15 특허 선행기술조사 || 500.0만원/support_amount: 기술평가 전문기관 연계 지원 10백만원 최대 5백만원 15 특허 선행기술조사,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119733,hold,-1,,unknown,review,low,"다중 프로그램 중 대표 지원금 선택이 필요하며, 명확한 한도 후보가 여러 개 존재하여 보류합니다.",기술평가 전문기관 연계 지원 10백만원 최대 5백만원 15 특허 선행기술조사,hold,Gemini가 대표 후보 없음 또는 보류로 판단,cache,ok
PBLN_000000000119836,[전남광주] 2026년 상반기 구조고도화자금 지원 계획 공고,전남광주통합특별시,multi_program_representative_needed,다중 프로그램 중 대표 선택 필요,여러 지원 프로그램 후보 중 대표 선택 기준 필요,,4,,,,"100000.0만원/support_amount: , 경영안정사업) 지원 - 창업지원사업(3년 거치, 5년 균분상환 / 지원 한도 10억원 / 시설자금) - 경쟁력강화사업(3년 거치, 5년 균분상환 / 지원 한도 10억 || 100000.0만원/support_amount: 0억원 / 시설자금) - 경쟁력강화사업(3년 거치, 5년 균분상환 / 지원 한도 10억원 / 시설자금) - 경영안정화사업(1년 거치, 2년 균분상환 / 지원 한도 3억원 || 1000000.0만원/support_amount: 하반기 100억원 예정 ❍ 지원 내용 사 업 명지원 용도지원 한도상환 조건비 고창업지원사업(업력: 7년 이내)공장부지 매입 || 1000000.0만원/support_amount: 지자체 정책자금 지원금액 100억원 초과 업체 - 운전자금(1년 거치 2년 균분상환)의 경우",,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119836,hold,-1,,unknown,review,low,여러 지원 프로그램 후보 중 대표 선택 기준이 필요하여 보류합니다.,여러 지원 프로그램 후보 중 대표 선택 기준 필요,hold,Gemini가 대표 후보 없음 또는 보류로 판단,cache,ok
PBLN_000000000120866,2026년 부산형 SiC 전력반도체 연구플랫폼 활성화 지원사업 기업지원 모집 공고,부산광역시,multi_program_representative_needed,다중 프로그램 중 대표 선택 필요,여러 지원 프로그램 후보 중 대표 선택 기준 필요,,4,,,,"2000.0만원/support_amount: (예시)지원금액이 20,000천원일 경우 - 기업지원금 : 총 22 || 2200.0만원/support_amount: 000천원일 경우 - 기업지원금 : 총 22,000천원(20 || 2000.0만원/support_amount: (예시)지원금액이 20,000천원일 경우 - 기업지원금 : 총 22 || 2200.0만원/support_amount: 000천원일 경우 - 기업지원금 : 총 22,000천원(20",,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120866,hold,-1,,unknown,review,low,여러 지원 프로그램 후보 중 대표 선택 기준이 명확하지 않아 보류합니다.,여러 지원 프로그램 후보 중 대표 선택 기준 필요,hold,Gemini가 대표 후보 없음 또는 보류로 판단,cache,ok
PBLN_000000000121194,[경남] 고성군 2026년 지역지식재산창출 지원사업 공고,경상남도,multi_program_representative_needed,다중 프로그램 중 대표 선택 필요,명확한 한도 후보가 여러 개라 대표 선택 필요,,2,,,,90.0만원/support_amount: 300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원 || 35.0만원/support_amount: 300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121194,hold,-1,,unknown,review,low,"다중 프로그램 중 대표 금액을 선정하기 어렵고, 일부 후보의 금액 타입 및 ROI 적용 방식이 명확하지 않아 보류합니다.","지원 대상 고성군 소재 중소기업 - : 지원 건수 기업당 건 이내 - : 3 지원 금액 대리인비용 부가세 제외 의 일부 지원 - : ( ) 지원사업 세부사업 최대지원금액 지원규모 국내권리화 특 허 실용신안 디 자 인 상 표 천원1,300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원",hold,Gemini가 대표 후보 없음 또는 보류로 판단,cache,ok
PBLN_000000000121197,[경남] 창녕군 2026년 지역지식재산 창출지원사업 공고,경상남도,multi_program_representative_needed,다중 프로그램 중 대표 선택 필요,명확한 한도 후보가 여러 개라 대표 선택 필요,,2,,,,90.0만원/support_amount: 300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원 || 35.0만원/support_amount: 300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121197,hold,-1,,unknown,review,low,"다중 프로그램 중 대표 선택이 필요하며, 각 세부 사업별 지원 금액이 명확하게 구분되어 있어 대표 지원금을 선정하기 어렵습니다.","지원사업 세부사업 최대지원금액 지원규모 국내권리화 특 허 실용신안 디 자 인 상 표 천원1,300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원",hold,Gemini가 대표 후보 없음 또는 보류로 판단,cache,ok
PBLN_000000000121411,[울산] 울주군 2026년 강소기업 육성 기술 혁신 지원사업 추가모집 공고,울산광역시,multi_program_representative_needed,다중 프로그램 중 대표 선택 필요,명확한 한도 후보가 여러 개라 대표 선택 필요,,2,,,,1000.0만원/support_amount: 기술평가 전문기관 연계 지원 10백만원 최대 5백만원 7 특허 선행기술조사 || 500.0만원/support_amount: 기술평가 전문기관 연계 지원 10백만원 최대 5백만원 7 특허 선행기술조사,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121411,hold,-1,,unknown,review,low,"다중 프로그램 중 대표 선택이 필요하며, 명확한 한도 후보가 여러 개 존재하여 보류합니다.",명확한 한도 후보가 여러 개라 대표 선택 필요,hold,Gemini가 대표 후보 없음 또는 보류로 판단,cache,ok
PBLN_000000000121426,[대구] 2026년 BIT융합캠퍼스(의료ㆍ헬스ㆍ바이오) 지원사업 기업 모집 공고,대구광역시,multi_program_representative_needed,다중 프로그램 중 대표 선택 필요,여러 지원 프로그램 후보 중 대표 선택 기준 필요,,3,,,,7500.0만원/support_amount: VAT 별도)100백만원75백만원25백만원 이상 RISE -2) 기업집적지 현장캠퍼스 운영 (BIT융합캠퍼스) 대구 RISE 3-2 BIT융합캠퍼스경북대학교 첨단정보통신융합산업기술원- 3 - ▢ 최대 지원 한도(75백만원) 내에서 세부항목 및 금액을 선택 || 3000.0만원/support_amount: 디자인 및 사용성 평가 등을 위한 위탁연구개발비 지원최대 30백만원연구활동비 || 2000.0만원/support_amount: 프로젝트에 참여하는 대학 소속 학생 연구원 지원금(석ㆍ박사 과정 재학생 한정) 최대 20백만원,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121426,hold,-1,,unknown,review,low,여러 지원 프로그램 후보 중 대표 선택 기준이 명확하지 않아 보류합니다.,여러 지원 프로그램 후보 중 대표 선택 기준 필요,hold,Gemini가 대표 후보 없음 또는 보류로 판단,cache,ok
PBLN_000000000122585,2026년 2차 미래차 전자제어부품 산업 고도화 기반구축 기업지원 수혜기업 모집 공고,산업통상부,multi_program_representative_needed,다중 프로그램 중 대표 선택 필요,명확한 한도 후보가 여러 개라 대표 선택 필요,,2,,,,"1500.0만원/support_amount: 기구부 개발 기술지원1건(건당 최대 1,500만원)~ 6 || 1500.0만원/support_amount: 이 외 기업 에서 필 요로 하 는 지원 사항 협 의가능최대 1,500만원이내/건1건영남대1) HW개발- ECU 회로 설계 및 해석 기술 지원- 방열 분석 및 최적화 개발 지원- 전기장 분석 및 EMI 시뮬레이션 지원",,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122585,hold,-1,,unknown,review,low,"다중 프로그램 중 대표 선택이 필요하며, 명확한 대표 금액을 선정하기 어렵습니다.",명확한 한도 후보가 여러 개라 대표 선택 필요,hold,Gemini가 대표 후보 없음 또는 보류로 판단,cache,ok
