policy_id,title,organization,amount_manual_review_required,amount_manual_review_category,amount_manual_review_category_ko,amount_manual_review_reason,amount_manual_review_status,old_amount_manwon,old_amount_actual,old_amount_type,new_amount_manwon,new_amount_actual,new_amount_type,review_source,review_note,selected_context,url
ENERGYAGENCY:24575,(수정)2026년도 산업진단 개선이행 지원사업 2차 공고,한국에너지공단,False,keep_old_amount,기존값 유지,"새로운 파싱 금액은 '사업장 당 최대 1,000만원'으로 명시되어 있어, 기존의 '최대 6.9억원'이라는 총 지원금액과 비교했을 때 규모 차이가 크고, '사업장 당'이라는 조건이 붙어 있어 대표 지원금액으로 보기 어렵습니다.",reviewed,69000.0,최대 6.9억원,support_amount,1000.0,"최대 1,000만원",support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,/ 약 69개 사업장 ㅇ 지원한도 : 사업장 당 최대 1.000만원(투자비용의 70% 또는 50%) - 타 유사사업과의 지원금 중복지원 불가능 ㅇ 신청방법 - (사업신청) 전자메일 신청(메일주소 : conan0,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=24575
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_total_or_cumulative_selected)에 해당합니다.,reviewed,250000.0,최대 25억원,support_amount,50000.0,최대 5억원,support_amount,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,동일한 연구개발과제를 수행하는 참여기업들은 상호 협의를 통해 연구개발기간에 걸쳐 참여기업들의 정부지원연구개발비 합계액을 기준으로 5억원 당 1명 이상의 만 34세 이하(채용시점 기준,https://www.k-pass.kr/notice/ancView.do?ancId=P2950&gubun=NEW
PBLN_000000000118027,2026년 KOLAS 공인 제품인증 서비스 바우처 지원사업 참가 희망기업 모집 공고,부산광역시,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_revenue_condition_selected)에 해당합니다.,reviewed,80.0,,voucher,500000.0,최대 50억원,non_cash,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118027
PBLN_000000000118209,2026년 중소기업 연구인력지원사업 공고,중소벤처기업부,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,reviewed,3800.0,"최대 3,800만원",subsidy,5000.0,"최대 5,000만원",subsidy,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"레전드 50 +* : 10개) ◇ 지역특화 프로젝트 󰡔레전드 50+ * 󰡕 : 중소기업의 혁신성장 및 경쟁력 제고를 위하여 중소벤처기업부 및 17개 광역자치단체가 함께 추진하는 지역 특화 프로젝트이며 중소벤처 기업부가 핵심 정책수단을 3년간 패키지로 지원해 주는 정책 * 레전드 50+ 참여기업 선정확인서를 제출하는 경우 우선 할당(제한경쟁) ◦ (지원내용) 기업별 1명으로 최대 3년간 연봉의 50% 지원 구분 연봉 정부지원연구개발비(정부지원금) 지원기준 제한 없음 연봉의 50% (연간 최대 5,000만원까지 지원) * 연봉(세전금액) : (기본급 + 월정액수당(퇴직금 제외)) × 12개월 ◦ 지원대상 - (지원기업) 「중소기업기본법」제2조에 따",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118209
PBLN_000000000119206,[충남] 아산시 2026년 해외마케팅 지원사업 참가기업 모집 공고,충청남도,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_penalty_or_sanction_selected)에 해당합니다.,reviewed,400.0,최대 400만원,subsidy,10000.0,최대 1억원,subsidy,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,부정한 방법으로 지방보조금을 교부받은 지방보조사업자 등에 대한 벌칙 ­ 거짓 신청이나 그 밖의 부정한 방법으로 지방보조금을 교부받은 자와 그 사실을 알면서 지방보조금을 교부한 자는 10년 이하의 징역 또는 1억원 이하 벌금 부과 (법 제37조) ­ 법령,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119206
PBLN_000000000119454,[경기] 평택시 2026년 국내외 지식재산 권리화 지원사업 모집 공고,경기도,False,keep_old_amount,기존값 유지,새 후보 문맥이 위험 패턴(risk_exclusion_or_threshold_selected)에 해당합니다.,reviewed,0.0,최대 0만원,support_amount,150.0,최대 150만원,support_amount,rule_adjudication,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,PCT 소요 비용 지원 분야지원내용규모지원한도비율지원내용국내 출원국내 특허20개사150만원/건80%° 변리사 수임료(VAT 제외) (출원료,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119454
PBLN_000000000119836,[전남광주] 2026년 상반기 구조고도화자금 지원 계획 공고,전남광주통합특별시,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액 100억원은 '하반기 100억원 예정'이라는 문맥과 함께 제시되었으나, 기존값 300억원은 '지원 규모 : 300억원'이라는 명확한 문구와 함께 제시되어 기존값을 유지하는 것이 더 안전하다고 판단됩니다.",reviewed,3000000.0,최대 300억원,support_amount,1000000.0,최대 100억원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,하반기 100억원 예정 ❍ 지원 내용 사 업 명지원 용도지원 한도상환 조건비 고창업지원사업(업력: 7년 이내)공장부지 매입,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119836
PBLN_000000000121194,[경남] 고성군 2026년 지역지식재산창출 지원사업 공고,경상남도,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액은 해외권리화 출원 비용 지원에 대한 내용으로 보이며, 기존 최대 지원금액 130만원이 사업 전체의 대표 지원금액으로 판단되어 기존값을 유지하는 것이 더 안전합니다.",reviewed,130.0,최대 130만원,subsidy,90.0,최대 90만원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121194
PBLN_000000000121197,[경남] 창녕군 2026년 지역지식재산 창출지원사업 공고,경상남도,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액은 해외권리화 출원 비용 지원에 대한 내용으로 보이며, 기존 최대 지원금액 130만원이 사업 전체의 대표 지원금액으로 판단되어 기존값을 유지하는 것이 안전합니다.",reviewed,130.0,최대 130만원,subsidy,90.0,최대 90만원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121197
PBLN_000000000121785,[전남광주] 2026년 소규모 밀착 안전망 구축사업 참여기업 모집 공고(지역 중대재해 예방 사각지대 해소사업),전남광주통합특별시,False,keep_old_amount,기존값 유지,"새로운 파싱 금액인 25만원은 '방진마스크최대25만원'과 같이 특정 품목의 최대 지원 한도로 보이며, 기존의 최대 1억원 지원금과는 규모 차이가 매우 커 대표 지원금으로 보기 어렵습니다.",reviewed,10000.0,최대 1억원,support_amount,25.0,최대 25만원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,방진마스크최대25만원4 추진절차  (제조업) 5~19인 제조 안전 길잡이 구축①공고및접수⇒②현장위험성평 가⇒③선정및지원품 목 확 정⇒④맞춤형지원및,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121785
PBLN_000000000121945,2026년 자이언트캐스팅(다이캐스팅) 부품 시험ㆍ평가ㆍ인증 및 기술지도 지원 시행 공고(자이언트캐스팅 공용센터 기반구축 사업),과학기술정보통신부,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액은 '기타 소모성 부품류'에 대한 한도 금액으로 보이며, 기존의 최대 지원금액 1,000만원과 비교했을 때 금액 차이가 크고 성격이 달라 대표 지원금액으로 채택하기 어렵습니다.",reviewed,1000.0,"최대 1,000만원",subsidy,200.0,최대 200만원,subsidy,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"기타 소모성 부품류 2,000천원 한도 * 국비/지방비 지원 금액 변동에 따라 지원 금액 변동 가능성 있음 ② 기술지도 (*신청 필수) 지원기관지원건수지원금액한국기계연구원5건최",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121945
PBLN_000000000122359,[경북] 2026년 지역특화형(고도화) 스마트공장 구축사업 공고,중소벤처기업부,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액은 '회당 최대 2억원'으로, 이는 총 지원금액이 아닌 개별 지원 횟수에 대한 한도일 가능성이 높아 기존의 최대 지원금액인 6374억원을 대표 금액으로 유지하는 것이 더 안전합니다.",reviewed,63740000.0,최대 6374억원,support_amount,20000.0,최대 2억원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,"총 2.5억원 내에서 2회(1회차고도화→2회차동일수준)까지 지원하되,회당 최대 2억원 한도,지원비율 50%이내에서 지원가능 * (예) 26년(목표수준 중간1, 고도화",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122359
PBLN_000000000122384,2026년 글로벌산업기술협력센터 사업(M.AX 분야 공동연구) 시행계획 공고,산업통상부,False,keep_old_amount,기존값 유지,"새로운 파싱 후보 금액은 '연간' 한도 금액으로 보이며, 기존값은 '최대 100억원'으로 총 지원 규모를 나타내는 것으로 판단되어 기존값을 유지하는 것이 더 안전합니다.",reviewed,1000000.0,최대 100억원,subsidy,200000.0,최대 20억원,support_amount,gemini_second_review,새 파싱 후보는 DB 대표금액에 반영하지 않고 기존값을 유지,한국산업기술진흥협회가 발급한 “기업부설연구소 인정서“를 보유하고 있는 국내 사업자 ☞ 글로벌 산학연 컨소시엄의 공동연구 과제 지원(20억원 내외/년),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122384
