policy_id,title,organization,amount_manual_review_required,amount_manual_review_category,amount_manual_review_category_ko,amount_manual_review_reason,amount_manual_review_status,candidate_types,support_candidate_count,candidate_summary,manual_review_decision,manual_selected_amount_manwon,manual_selected_amount_type,manual_roi_apply_method,manual_evidence,manual_note,url
ENERGYAGENCY:24575,(수정)2026년도 산업진단 개선이행 지원사업 2차 공고,한국에너지공단,True,manual_representative_recoverable,대표금액 회수 가능 후보,현금성/바우처 후보가 있어 수기검수로 대표금액 회수 가능,pending,consulting_fee:1 | support_amount:1,2,69000.0만원/consulting_fee/recommend_only: - 다 음 - ㅇ 사업내용 : 산업진단 지원사업의 진단결과에 따른 개선이행 비용을 지원하여 에너지진단의 실효성 제고 및 에너지절약 투자 활성화 ㅇ 지원대상 : 산업진단 지원(보조) 사업 참여 이력이 있는 사업장 - '23년 ~ '26년 산업진단 지원사업 에너지진단 완료 사업장 ㅇ 지원규모 : 총 6.9억원 || 1.0만원/support_amount/subtract: / 약 69개 사업장 ㅇ 지원한도 : 사업장 당 최대 1.000만원(투자비용의 70% 또는 50%) - 타 유사사업과의 지원금 중복지원 불가능 ㅇ 신청방법 - (사업신청) 전자메일 신청(메일주소 : conan0,,,,,,,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=24575
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,True,manual_representative_recoverable,대표금액 회수 가능 후보,현금성/바우처 후보가 있어 수기검수로 대표금액 회수 가능,pending,support_amount:1 | support_ratio:1 | total_support_scale:5,7,50000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상 || 50000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상의 기관으로 구성) 미국 6억원 이내/년 3년 이내 공공연구소 (전문생산기술 || 60000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상의 기관으로 구성) 미국 6억원 이내/년 3년 이내 공공연구소 (전문생산기술연구소 || 300000.0만원/total_support_scale/review: 기간 및 신청자격 구분 지원규모 지원기간 국내 주관연구개발기관 자격 국내외 공동연구개발기관 자격 글로벌 산업기술 협력센터 협력센터 최대 30억 5년 KIAT (정책지정) (해외) 비영리기관 (국내) NCC(필요시) 공동R&D 20억원 내외/년 최대 5년 중소 || 200000.0만원/total_support_scale/review: 기간 및 신청자격 구분 지원규모 지원기간 국내 주관연구개발기관 자격 국내외 공동연구개발기관 자격 글로벌 산업기술 협력센터 협력센터 최대 30억 5년 KIAT (정책지정) (해외) 비영리기관 (국내) NCC(필요시) 공동R&D 20억원 내외/년 최대 5년 중소 || 50000.0만원/support_amount/subtract: 동일한 연구개발과제를 수행하는 참여기업들은 상호 협의를 통해 연구개발기간에 걸쳐 참여기업들의 정부지원연구개발비 합계액을 기준으로 5억원 당 1명 이상의 만 34세 이하(채용시점 기준 || None만원/support_ratio/ratio_cap: 2026년 산업기술국제협력사업 통합 시행계획 공고 한국산업기술진흥원 KIAT 과제관리시스템 이 누리집은 대한민국 공식 전자정부 누리집입니다. 본문 바로가기 홈 로그인 회원가입 전자정부 평가위원 평가장 비상대피로 사이트맵 이용매뉴얼 전체메뉴 통합 지역사업 --> 주요사업 전체사업구조 산업기술정책단 혁신기반단 기술사업화단 지역산업단 산업공급망지원단 중견기업단 규제혁신단 산학인재센터 국제협력센터,,,,,,,https://www.k-pass.kr/notice/ancView.do?ancId=P2950&gubun=NEW
PBLN_000000000116853,2026년 기업훈련 탄력운영제 참여기업 모집 공고,고용노동부,True,ratio_only,지원비율만 있음,지원비율만 있어 금액 대표값은 만들 수 없음,pending,support_ratio:1,1,None만원/support_ratio/ratio_cap: 2026년 기업훈련 탄력운영제 참여기업 모집 공고 고용노동부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116853
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,경기도,True,manual_representative_recoverable,대표금액 회수 가능 후보,현금성/바우처 후보가 있어 수기검수로 대표금액 회수 가능,pending,support_amount:2,2,7.0만원/support_amount/subtract: ☞ 부천시 소재 중소제조기업 ☞ 가입인원 1명당 월 기업부담금 7만원 지원 - 기업당 최대 3명까지 지원(기존ㆍ신규가입 포함) || 34.0만원/support_amount/subtract: 납부 시까지 지원금 지급 유보 〇 납입금액 : 월 34만원 이상 (핵심인력 : 중소기업 = 1 : 2 이상),,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056
PBLN_000000000117066,장애인고용개선장려금 사업 공고,고용노동부,True,ratio_only,지원비율만 있음,지원비율만 있어 금액 대표값은 만들 수 없음,pending,support_ratio:1,1,None만원/support_ratio/ratio_cap: 장애인고용개선장려금 사업 공고 고용노동부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정책정보 개방 속보성 대시보드 고객알림 고객알림,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117066
PBLN_000000000117291,2026년 한국식품산업클러스터진흥원 기업지원시설ㆍ장비 활용 지원사업 공고,농림축산식품부,True,mixed_manual_review,혼합 수기검수,지원 후보가 혼합되어 대표금액/적용방식 수기확인 필요,pending,equipment_usage_fee:1 | support_ratio:1 | total_support_scale:1,3,2000.0만원/total_support_scale/review: (수) ∼ 지원금 소진시까지 □ 사업비 지원규모: 기업별 최대 20백만원 □ 사업비 구성: 지원금 70~20% || 25000.0만원/equipment_usage_fee/recommend_only: 간접 지원 氠瑢 氠瑢 농림축산식품부 정책수립 및 예산 지원 한국식품산업클러스터진흥원 사업 기획 및 관리 지원유형❶ 지원유형❷ 신청기업 식품진흥원 신청기업 식품진흥원 기술/생산장비 공동활용 시험‧분석 의뢰 시험‧분석 결과 제공 氠瑢 2 공고 개요 □ 공고규모: 예산 2.5억원 이내 □ 공고기간: 2026 || None만원/support_ratio/ratio_cap: 2026년 한국식품산업클러스터진흥원 기업지원시설ㆍ장비 활용 지원사업 공고 농림축산식품부 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상회의실 정,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117291
PBLN_000000000117454,[강원] 2026년 글로벌 IP 스타기업 육성 해외OA비용 지원사업 공고,강원특별자치도,True,manual_representative_recoverable,대표금액 회수 가능 후보,현금성/바우처 후보가 있어 수기검수로 대표금액 회수 가능,pending,support_amount:2,2,"410.0만원/support_amount/subtract: 싱가폴 氠瑢 구분 세부사업명 지원한도 지원내용 전체 지원금 기업부담금 (현금) 해외 OA 비용 지원 미 국 4,100천원 2 || 200.0만원/support_amount/subtract: 지원 유 럽 3,500천원 2,100천원 이내 1,400천원 중국·일본·특수국 2,000천원 1,200천원 이내 800천원 기 타 1,300천원 780천원 이내 520천원",,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117454
PBLN_000000000117463,[강원] 2026년 글로벌 IP 스타기업 육성 해외등록비용 지원사업 공고,강원특별자치도,True,total_scale_manual_review,지원규모 계열 검수,지원규모 계열만 있어 기업당/과제당 한도 여부 수기확인 필요,pending,total_support_scale:3,3,"360.0만원/total_support_scale/review: 지원규모 氠瑢 구분 세부사업명 지원한도 지원내용 전체 지원금 기업부담금 (현금) 해외 등록 비용 지원 미 국 3,600천원 2 || 120.0만원/total_support_scale/review: 000천원 1,200천원 이내 800천원 * 자부담금 : 현금 40% * 지원규모는 변경될 수 있으며 || 80.0만원/total_support_scale/review: 200천원 이내 800천원 * 자부담금 : 현금 40% * 지원규모는 변경될 수 있으며",,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117463
PBLN_000000000117481,전북바이오융합교육센터 재직자 교육 훈련생ㆍ기업 모집 공고(국가인적자원개발컨소시엄),전북특별자치도,True,mixed_manual_review,혼합 수기검수,지원 후보가 혼합되어 대표금액/적용방식 수기확인 필요,pending,education_fee:1 | support_ratio:1,2,100.0만원/education_fee/recommend_only: 강사료는 교육센터 강사료 지급기준에 따라 차등 지급(1일 최대 1백만원) || None만원/support_ratio/ratio_cap: 전북바이오융합교육센터 재직자 교육 훈련생ㆍ기업 모집 공고(국가인적자원개발컨소시엄) 전북특별자치도 기업마당>정책정보>지원사업 공고 기업마당 본문 바로가기 주메뉴 바로가기 기업마당 > 정책정보 > 지원사업 공고 메뉴열기 로그인 정책정보 정책정보 지원사업 공고 품목별 법정의무 인증제도 행사정보 정책뉴스 입법·행정예고/고시 월간 중기누리 활용정보 활용정보 기업업무용 서식 입주기업 모집공고 온라인화상,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117481
PBLN_000000000117563,2026년 중소기업 매출채권팩토링 지원계획 공고,중소벤처기업부,True,manual_representative_recoverable,대표금액 회수 가능 후보,현금성/바우처 후보가 있어 수기검수로 대표금액 회수 가능,pending,support_amount:4,4,5900000.0만원/support_amount/subtract: 구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원 || 100000.0만원/support_amount/subtract: 구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원 || 1000.0만원/support_amount/subtract: 지원절차 ② 참고)ㅇ대상채권:중소기업이 물품･ 용역을 제공하여 발생한 매출채권* * 신청일로부터 62일 이내 작성되어 국세청에 전송된 10백만원 이상의 전자(세금)계산서 * 대표자가 동일한 기업 간 거래에서 발생한 매출채권 등은 지원대상에서 제외◦예산규모:590억원(’26년) 나 || 5900000.0만원/support_amount/subtract: 지원절차 ② 참고)ㅇ대상채권:중소기업이 물품･ 용역을 제공하여 발생한 매출채권* * 신청일로부터 62일 이내 작성되어 국세청에 전송된 10백만원 이상의 전자(세금)계산서 * 대표자가 동일한 기업 간 거래에서 발생한 매출채권 등은 지원대상에서 제외◦예산규모:590억원(’26년) 나,,,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117563
