id,term,category,definition,easy_explanation,example,tip,related_terms,created_at
01f1fab0-288f-4078-a5d4-b4982165eec7,중소기업확인서,정책,중소기업기본법상 중소기업에 해당함을 공식적으로 확인해주는 서류예요.,우리 회사가 중소기업이라는 걸 정부가 인정해주는 증명서,중소기업 전용 지원사업에서 자격 확인용으로 요구돼요,매출·자산 규모가 커지면 갱신 시 등급이 바뀔 수 있어 미리 확인이 필요해요.,"[""자격요건"",""지원대상""]",2026-06-23 09:34:06.747653+00
025b1735-6f02-44f1-8c45-112c7217acaf,회수기간,ROI,투자한 돈을 절감액으로 다시 모으는 데 걸리는 시간이에요.,본전을 찾는 데 걸리는 기간,"실부담금 4,550만원 / 연간 순편익 182만원 → 회수기간 약 25년",회수기간이 짧을수록 투자 매력도가 높아요.,"[""ROI"",""손익분기점"",""연간 순편익""]",2026-06-23 09:33:28.161684+00
043df06b-cf8c-455e-bba7-2efdc7d4f12a,지원대상,정책,이 사업이 실제로 지원하려는 기업·업종의 범위예요.,누구를 도와주려고 만든 사업인지,경기도 소재 금속가공업 중소기업,"자격요건과 지원대상이 겹치지만, 지원대상은 더 넓은 범주를 말해요.","[""자격요건"",""제외대상""]",2026-06-23 09:34:06.747653+00
07e1ab3d-0d54-454c-b7bf-6810d403983a,소요예산,정책,사업 수행에 필요한 전체 비용 계획이에요.,이거 하는 데 돈이 얼마 드는지,"설비비 8,000만원 + 설치비 1,000만원 + 기타 1,000만원 = 1억원",산출내역과 같이 적으면 예산의 근거가 명확해져요.,"[""산출내역"",""총 투자금""]",2026-06-23 09:34:06.747653+00
0ba7533f-d4cf-48cf-afca-643717478ed6,안전점검 지연,안전,법정 점검 기한이 지났는데 아직 점검을 받지 않은 상태예요.,받아야 할 점검 시기를 놓친 상태,KTL 검사 기한이 지나도 점검 미실시,지연이 길어질수록 과태료·형사책임 리스크가 커져요.,"[""법정 안전점검"",""과태료"",""점검 이행률""]",2026-06-23 09:34:37.957396+00
116274a9-7189-4495-9a57-52847badbb59,산출내역,정책,예산이 어떤 항목에 얼마씩 쓰이는지 세부적으로 적은 내용이에요.,예산을 항목별로 쪼개서 적은 것,"프레스 본체 6,000만원 + 인버터 모터 1,500만원 + 설치비 500만원",산출내역이 구체적일수록 예산 심사를 통과하기 쉬워요.,"[""소요예산""]",2026-06-23 09:34:06.747653+00
1c1e9867-f1be-4e56-af5d-02fb7ddde808,기여이익,ROI,"매출에서 변동비를 뺀, 생산량이 늘어날 때마다 추가로 남는 이익이에요.",하나 더 만들 때마다 남는 돈,"제품 1개당 기여이익 2,000원 × 생산량 증가분",기여이익이 클수록 불량 감소·생산량 증가의 ROI 효과가 커져요.,"[""불량비용 절감액"",""생산능력""]",2026-06-23 09:33:28.161684+00
1e85fb03-835e-45c3-b2dd-1d2544a06080,불량률,ROI,생산한 제품 중 불량으로 판정된 비율이에요.,100개 만들면 몇 개가 불량인지,불량률 3.2% (업종 평균 1.8% 대비 높음),노후 설비일수록 불량률이 높아지는 경향이 있어요.,"[""불량비용 절감액"",""업종 평균"",""설비 노후도""]",2026-06-23 09:33:28.161684+00
24bb6eab-f216-49d0-a139-7c37c26022e7,사업 필요성,정책,"이 사업을 왜 해야 하는지, 어떤 문제를 해결하는지 설명하는 부분이에요.",왜 이걸 하려고 하는지 이유,노후 설비로 인한 에너지비용 과다 문제를 해결하기 위함,"숫자(불량률, 에너지비용 등)로 필요성을 보여주면 설득력이 높아져요.","[""기대효과"",""추진배경""]",2026-06-23 09:34:06.747653+00
25126b54-29a1-4300-b741-0e6f3ecbe228,정성목표,정책,숫자로 딱 떨어지지 않지만 의미 있는 변화를 나타내는 목표예요.,숫자보다는 어떤 변화가 생기는지를 보는 목표,현장 작업자의 안전 인식 개선,정량목표만으로 설명이 부족할 때 정성목표로 보완해요.,"[""정량목표"",""기대효과""]",2026-06-23 09:34:06.747653+00
270fffb7-b99e-4abe-968b-8ff2892f926d,ROI,ROI,투자한 돈에 비해 얼마나 수익(절감액)이 났는지 보여주는 비율이에요.,투자한 돈이 얼마나 일을 잘했는지 보는 점수,"연간 순편익 182만원 ÷ 실부담금 4,550만원 ≈ ROI 4%",ROI가 높을수록 적은 투자로 많은 효과를 본다는 뜻이에요.,"[""회수기간"",""연간 순편익"",""손익분기점""]",2026-06-23 09:33:28.161684+00
272baa7f-4db9-4544-a81f-a4c5596759ec,지방세완납증명서,정책,지방세를 밀리지 않고 모두 납부했다는 걸 증명하는 서류예요.,지방세도 다 냈다는 증명서,정부24나 지자체 홈페이지에서 발급 가능해요,국세완납증명서와 같이 요구되는 경우가 많아요.,"[""국세완납증명서""]",2026-06-23 09:34:06.747653+00
2775e96c-3f60-4399-a832-3413e39dc25b,위험도,안전,사고나 법적 제재가 발생할 가능성과 그 심각성을 합쳐서 본 정도예요.,얼마나 위험한 상황인지,미이행 기간이 길고 처벌 수준이 높을수록 위험도가 올라가요,위험도가 높은 항목부터 먼저 처리하는 게 효율적이에요.,"[""안전 리스크"",""개선권고""]",2026-06-23 09:34:37.957396+00
2a59c4d2-6478-48ce-ba04-f1dbdc603381,신청서 초안,정책,AI가 공고 요구사항에 맞춰 자동으로 만들어주는 신청서 작성 시작본이에요.,빈 종이부터 시작하지 않게 도와주는 첫 버전,시나리오 A 신청서 초안 생성하기 버튼으로 자동 생성,초안은 시작점일 뿐이라 회사 상황에 맞게 꼭 수정해야 해요.,"[""사업계획서"",""제출서류""]",2026-06-23 09:34:06.747653+00
2b1f1190-941e-4e9a-9e9e-ecdc4dd8bb71,자격요건,정책,이 지원사업에 신청할 수 있는 기업의 조건이에요.,신청할 자격이 되는지 보는 기준,"직원 50명 이하, 연매출 120억원 이하 제조업체",자격요건에 안 맞으면 신청 자체가 반려될 수 있어요.,"[""지원대상"",""제외대상"",""중소기업확인서""]",2026-06-23 09:34:06.747653+00
36c57c6d-1078-4121-b44c-eba8d2b419e9,연간 순편익,ROI,에너지·유지보수·불량비용에서 절감되는 금액을 1년 단위로 합산한 거예요.,1년 동안 아낀 돈 전부 합친 금액,에너지 절감액 135만원 + 유지보수 절감액 4만원 + 불량비용 절감액 43만원 = 182만원/년,연간 순편익이 클수록 회수기간이 짧아져요.,"[""회수기간"",""에너지 절감액"",""유지보수 절감액"",""불량비용 절감액""]",2026-06-23 09:33:28.161684+00
3ccf8573-273a-44d8-ac82-e080a24414a5,투자 시나리오 A,ROI,노후 설비를 신규 고효율 설비로 전면 교체하는 시나리오예요.,통째로 새 설비로 바꾸는 방안,"고효율 프레스 전체 교체, 투자금 1억원",투자금이 크지만 절감 효과도 가장 크게 나오는 경우가 많아요.,"[""투자 시나리오 B"",""총 투자금""]",2026-06-23 09:33:28.161684+00
443fb97a-62ea-4b7b-805f-903fc80dd0f2,기대효과,정책,사업을 수행했을 때 예상되는 결과나 성과예요.,이걸 하면 뭐가 좋아지는지,"에너지비용 30% 절감, 불량률 1.7%p 감소 예상",정량목표와 정성목표를 같이 적으면 균형 잡힌 기대효과가 돼요.,"[""정량목표"",""정성목표""]",2026-06-23 09:34:06.747653+00
47558bb3-9689-4aed-a3a1-c966bcdb7548,수행계획,정책,"사업을 언제, 어떻게, 누가 진행할지 구체적인 실행 계획이에요.",언제 뭘 할지 일정표,1개월차 설비 발주 → 3개월차 설치 → 4개월차 가동 시작,일정이 너무 빡빡하면 평가에서 현실성 부족으로 감점될 수 있어요.,"[""사업계획서"",""소요예산""]",2026-06-23 09:34:06.747653+00
4a2ba09f-4e38-46dd-a7a8-6cdcaa9c50a0,정기점검,안전,정해진 주기에 따라 반복적으로 실시하는 점검이에요.,정해진 때마다 하는 점검,KTL 전기안전 정기검사 (연 1회),정기점검 일정은 미리 캘린더에 등록해두면 놓칠 위험이 줄어요.,"[""법정 안전점검"",""특별점검""]",2026-06-23 09:34:37.957396+00
4bb935b3-a6d9-4407-9236-d100b524ecec,제외대상,정책,자격요건을 충족해도 신청할 수 없도록 따로 정해둔 예외 기업이에요.,조건은 맞는데 그래도 안 되는 경우,최근 3년 내 동일 사업 수혜 기업 제외,제외대상 조항을 놓치면 신청 후 막판에 탈락할 수 있어요.,"[""자격요건"",""지원대상""]",2026-06-23 09:34:06.747653+00
4df8e33b-ab95-4762-8fb4-a43c4e67a48e,증빙자료,정책,신청서에 적은 내용이 사실임을 뒷받침하는 모든 근거 자료예요.,진짜 그렇다는 걸 보여주는 자료,"견적서, 사진, 계약서, 매출 데이터 등",증빙자료가 부족하면 신청서 내용 자체를 신뢰받기 어려워요.,"[""견적서"",""제출서류""]",2026-06-23 09:34:06.747653+00
531690ea-29ce-421b-bbbc-7a9de7856e17,감가상각,ROI,설비의 가치가 시간이 지나면서 줄어드는 걸 회계상으로 나눠서 반영하는 방법이에요.,설비가 낡으면서 줄어드는 가치를 매년 조금씩 비용으로 처리하는 것,"1억원 설비를 10년에 나눠서 매년 1,000만원씩 비용 처리",감가상각이 끝난 설비는 회계상 가치는 0이어도 실제로는 더 쓸 수 있어요.,"[""설비 교체주기""]",2026-06-23 09:33:28.161684+00
