policy_id,title,organization,old_amount_manwon,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_type,new_roi_apply_method,delta_bucket,pattern,decision_reasons,comparison_reasons,selected_context,url
ENERGYAGENCY:24575,(수정)2026년도 산업진단 개선이행 지원사업 2차 공고,한국에너지공단,69000.0,support_amount,subtract,1000.0,support_amount,subtract,new_10pct_or_less,likely_new_limit_candidate,large_amount_delta,"amount_delta_20_percent:old=69000,new=1000",/ 약 69개 사업장 ㅇ 지원한도 : 사업장 당 최대 1.000만원(투자비용의 70% 또는 50%) - 타 유사사업과의 지원금 중복지원 불가능 ㅇ 신청방법 - (사업신청) 전자메일 신청(메일주소 : conan0,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=24575
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,250000.0,support_amount,subtract,50000.0,support_amount,subtract,new_half_or_less,risk_total_or_cumulative_selected,subtract_without_limit_context | large_amount_delta,"amount_delta_20_percent:old=250000,new=50000", 동일한 연구개발과제를 수행하는 참여기업들은 상호 협의를 통해 연구개발기간에 걸쳐 참여기업들의 정부지원연구개발비 합계액을 기준으로 5억원 당 1명 이상의 만 34세 이하(채용시점 기준,https://www.k-pass.kr/notice/ancView.do?ancId=P2950&gubun=NEW
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,경기도,24.0,support_amount,subtract,7.0,support_amount,subtract,new_half_or_less,likely_new_limit_candidate,large_amount_delta,"amount_delta_20_percent:old=24,new=7", ☞ 부천시 소재 중소제조기업 ☞ 가입인원 1명당 월 기업부담금 7만원 지원 - 기업당 최대 3명까지 지원(기존ㆍ신규가입 포함) ,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056
PBLN_000000000117454,[강원] 2026년 글로벌 IP 스타기업 육성 해외OA비용 지원사업 공고,강원특별자치도,164.0,support_amount,subtract,410.0,support_amount,subtract,new_2x_plus,likely_new_limit_candidate,large_amount_delta,"amount_delta_20_percent:old=164,new=410","싱가폴 氠瑢 구분 세부사업명 지원한도 지원내용 전체 지원금 기업부담금 (현금) 해외 OA 비용 지원 미 국 4,100천원 2",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117454
PBLN_000000000117563,2026년 중소기업 매출채권팩토링 지원계획 공고,중소벤처기업부,100000.0,support_amount,subtract,5900000.0,support_amount,subtract,new_10x_plus,likely_new_limit_candidate,large_amount_delta,"amount_delta_20_percent:old=100000,new=5.9e+06", 구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117563
PBLN_000000000117671,[인천] 서구 2026년 제품인증획득 지원사업 신청 공고,인천광역시,500.0,support_amount,subtract,400.0,non_cash,recommend_only,moderate_delta,likely_new_limit_candidate,large_amount_delta,"type_changed:support_amount->non_cash | roi_method_changed:subtract->recommend_only | amount_delta_20_percent:old=500,new=400", FDA 등 해외 제품인증 기업당 400만원 범위내 KC,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117671
PBLN_000000000117688,[인천] 서구(검단지역) 2026년 제품인증획득 지원사업 신청 공고,인천광역시,500.0,support_amount,subtract,400.0,non_cash,recommend_only,moderate_delta,likely_new_limit_candidate,large_amount_delta,"type_changed:support_amount->non_cash | roi_method_changed:subtract->recommend_only | amount_delta_20_percent:old=500,new=400", FDA 등 해외 제품인증 기업당 400만원 범위내 KC,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117688
PBLN_000000000117992,2026년 나눔장비 이전지원사업 모집 공고,과학기술정보통신부,6000.0,support_amount,subtract,3000.0,support_amount,subtract,new_half_or_less,likely_new_limit_candidate,large_amount_delta,"amount_delta_20_percent:old=6000,new=3000", 여러 중소기업에 골고루 혜택을 제공하기 위해 1개 기업당 10개 이하 장비(취득금액 3천만원 이상)로 이전지원을 제한하는 ｢나눔장비 총량제｣ 실시 氠瑢 연구개발 또는 국산 장비개발 관련 중소기업 필수 서류 가,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117992
PBLN_000000000118027,2026년 KOLAS 공인 제품인증 서비스 바우처 지원사업 참가 희망기업 모집 공고,부산광역시,80.0,voucher,subtract,500000.0,non_cash,recommend_only,new_100x_plus,risk_revenue_condition_selected,large_amount_delta,"type_changed:voucher->non_cash | roi_method_changed:subtract->recommend_only | amount_delta_20_percent:old=80,new=500000", 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118027
PBLN_000000000118209,2026년 중소기업 연구인력지원사업 공고,중소벤처기업부,3800.0,subsidy,subtract,5000.0,subsidy,subtract,moderate_delta,risk_exclusion_or_threshold_selected,large_amount_delta,"amount_delta_20_percent:old=3800,new=5000"," 레전드 50 +* : 10개) ◇ 지역특화 프로젝트 󰡔레전드 50+ * 󰡕 : 중소기업의 혁신성장 및 경쟁력 제고를 위하여 중소벤처기업부 및 17개 광역자치단체가 함께 추진하는 지역 특화 프로젝트이며 중소벤처 기업부가 핵심 정책수단을 3년간 패키지로 지원해 주는 정책 * 레전드 50+ 참여기업 선정확인서를 제출하는 경우 우선 할당(제한경쟁) ◦ (지원내용) 기업별 1명으로 최대 3년간 연봉의 50% 지원 구분 연봉 정부지원연구개발비(정부지원금) 지원기준 제한 없음 연봉의 50% (연간 최대 5,000만원까지 지원) * 연봉(세전금액) : (기본급 + 월정액수당(퇴직금 제외)) × 12개월 ◦ 지원대상 - (지원기업) 「중소기업기본법」제2조에 따",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118209
