policy_id,title,organization,no_upload_group,reason_group_ko,detailed_reason_ko,risk_if_uploaded_ko,next_action_ko,recommended_action,old_amount_manwon,old_amount_actual,new_selected_amount_manwon,new_selected_type,new_roi_apply_method,candidate_count,candidate_summary,url
ENERGYAGENCY:24575,(수정)2026년도 산업진단 개선이행 지원사업 2차 공고,한국에너지공단,resolved_keep_old,기존값 유지,새 파싱값보다 기존값이 더 타당하다고 판정되어 업데이트하지 않음,업로드하면 오히려 검수된 기존 대표금액을 덮어쓸 위험,기존값을 보존. 필요하면 수기검수에서 keep_old로 확정,no_update_keep_existing,69000.0,최대 6.9억원,1.0,support_amount,subtract,2,69000.0만원/consulting_fee/recommend_only: - 다 음 - ㅇ 사업내용 : 산업진단 지원사업의 진단결과에 따른 개선이행 비용을 지원하여 에너지진단의 실효성 제고 및 에너지절약 투자 활성화 ㅇ 지원대상 : 산업진단 지원(보조) 사업 참여 이력이 있는 사업장 - '23년 ~ '26년 산업진단 지원사업 에너지진단 완료 사업장 ㅇ 지원규모 : 총 6.9억원 || 1.0만원/support_amount/subtract: / 약 69개 사업장 ㅇ 지원한도 : 사업장 당 최대 1.000만원(투자비용의 70% 또는 50%) - 타 유사사업과의 지원금 중복지원 불가능 ㅇ 신청방법 - (사업신청) 전자메일 신청(메일주소 : conan0,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=24575
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,resolved_keep_old,기존값 유지,새 파싱값보다 기존값이 더 타당하다고 판정되어 업데이트하지 않음,업로드하면 오히려 검수된 기존 대표금액을 덮어쓸 위험,기존값을 보존. 필요하면 수기검수에서 keep_old로 확정,no_update_keep_existing,250000.0,최대 25억원,50000.0,support_amount,subtract,19,50000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상 || 50000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상의 기관으로 구성) 미국 6억원 이내/년 3년 이내 공공연구소 (전문생산기술 || 60000.0만원/total_support_scale/review: 기간 및 신청자격 대상국가 지원규모 지원기간 국내(한국측) 연구개발 컨소시움 구성 요건 주관연구개발기관 공동연구개발기관 독일 AiF 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 2+2 5억원 이내/년 3년 이내 제한없음 (기업+대학/연구기관 형태로 2개 이상의 기관으로 구성) 미국 6억원 이내/년 3년 이내 공공연구소 (전문생산기술연구소 || 50000.0만원/unknown/review: 특정연구기관) 제한없음 (영리기업 참여 필수) 스위스 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 스페인 10억원 이내/년 3년 이내 중소 || 100000.0만원/unknown/review: 특정연구기관) 제한없음 (영리기업 참여 필수) 스위스 5억원 이내/년 3년 이내 제한없음 제한없음 (영리기업 참여 필수) 스페인 10억원 이내/년 3년 이내 중소 || ... 후보 14개 추가,https://www.k-pass.kr/notice/ancView.do?ancId=P2950&gubun=NEW
PBLN_000000000118027,2026년 KOLAS 공인 제품인증 서비스 바우처 지원사업 참가 희망기업 모집 공고,부산광역시,resolved_keep_old,기존값 유지,새 파싱값보다 기존값이 더 타당하다고 판정되어 업데이트하지 않음,업로드하면 오히려 검수된 기존 대표금액을 덮어쓸 위험,기존값을 보존. 필요하면 수기검수에서 keep_old로 확정,no_update_keep_existing,80.0,,500000.0,non_cash,recommend_only,8,80.0만원/equipment_usage_fee/recommend_only: / 기타) 2인 출장비 (재)부산테크노파크 여비 규정에 따름(관내 지역 시 제외) 2인 시험 수수료 위탁 시험기관 의뢰시험검사 업무규정에 따름 제품별 상이 인증마크 제작 수수료 신청제품의 수량 × 제작단가 협의 인증수수료(마크 사용료) 신청제품의 수량 × 신청제품의 개별단가 × 약정요율* 최소금액 80만원 인증서 발급 수수료 500 || 80.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 30000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 150000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || 300000.0만원/non_cash/recommend_only: 최소금액은 80만원으로 한다) 氠瑢 인증제품의 연간 매출액 3억 이하 15억 이하 30억 이하 50억 이하 50억 초과 약정요율 0 || ... 후보 3개 추가,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118027
PBLN_000000000118209,2026년 중소기업 연구인력지원사업 공고,중소벤처기업부,resolved_keep_old,기존값 유지,새 파싱값보다 기존값이 더 타당하다고 판정되어 업데이트하지 않음,업로드하면 오히려 검수된 기존 대표금액을 덮어쓸 위험,기존값을 보존. 필요하면 수기검수에서 keep_old로 확정,no_update_keep_existing,3800.0,"최대 3,800만원",5000.0,subsidy,subtract,13,"3200.0만원/unknown/review: 개발비(40% 기준) ** 1년차 2년차 3년차 1년차 2년차 3년차 전문·학사 3,200만원 3,500만원 3,800만원 1,280만원 1,400만원 1,520만원 석사 4 || 3500.0만원/unknown/review: 기준) ** 1년차 2년차 3년차 1년차 2년차 3년차 전문·학사 3,200만원 3,500만원 3,800만원 1,280만원 1,400만원 1,520만원 석사 4,100만원 4 || 3800.0만원/unknown/review: 년차 2년차 3년차 1년차 2년차 3년차 전문·학사 3,200만원 3,500만원 3,800만원 1,280만원 1,400만원 1,520만원 석사 4,100만원 4,500만원 4 || 1280.0만원/unknown/review: 년차 1년차 2년차 3년차 전문·학사 3,200만원 3,500만원 3,800만원 1,280만원 1,400만원 1,520만원 석사 4,100만원 4,500만원 4,900만원 1 || 1400.0만원/unknown/review: 년차 3년차 전문·학사 3,200만원 3,500만원 3,800만원 1,280만원 1,400만원 1,520만원 석사 4,100만원 4,500만원 4,900만원 1,640만원 1 || ... 후보 8개 추가",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118209
PBLN_000000000119206,[충남] 아산시 2026년 해외마케팅 지원사업 참가기업 모집 공고,충청남도,resolved_keep_old,기존값 유지,새 파싱값보다 기존값이 더 타당하다고 판정되어 업데이트하지 않음,업로드하면 오히려 검수된 기존 대표금액을 덮어쓸 위험,기존값을 보존. 필요하면 수기검수에서 keep_old로 확정,no_update_keep_existing,400.0,최대 400만원,10000.0,subsidy,subtract,11,400.0만원/support_amount/subtract: 기업ㆍ제품 홍보영상 등 동영상 제작비 지원(기업당 400만원 한도) 사업신청 방법 이메일 접수 (lnk128@korea || 10000.0만원/subsidy/subtract: 부정한 방법으로 지방보조금을 교부받은 지방보조사업자 등에 대한 벌칙 ­ 거짓 신청이나 그 밖의 부정한 방법으로 지방보조금을 교부받은 자와 그 사실을 알면서 지방보조금을 교부한 자는 10년 이하의 징역 또는 1억원 이하 벌금 부과 (법 제37조) ­ 법령 || 5000.0만원/unknown/review: 법령에 따른 자치단체장의 처분에 대한 선량한 관리자로서의 주의 의무를 위반하여 다른 용도에 사용한 보조사업자와 자치단체장의 승인 없이 중요재산에 대하여 금지된 행위를 한 자 에 대해 5년 이하의 징역 또는 5천만원 이하의 벌금 부과 (법 제38조) ­ 자치단체장의 승인 없이 지방보조사업의 내용을 변경하거나 지방보조사업에 드는 경비의 배분을 변경하거나 || 2000.0만원/unknown/review: 임의로 다른 사업자에게 인계 또는 중단∙폐지한 보조사업자에 대해 2년 이하의 징역 또는 2천만원 이하의 벌금 부과 (법 제39조제1항) ­ 자치단체장의 보조사업 수행 정지명령을 위반한 자 || 1000.0만원/unknown/review: 지방보조사업 실적보고서를 거짓으로 작성하여 제출 등의 행위를 한 보조사업자 대해서는 1년 이하의 징역 또는 1천만원 이하의 벌금 부과 (법 제39조제2항) || ... 후보 6개 추가,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119206
PBLN_000000000119454,[경기] 평택시 2026년 국내외 지식재산 권리화 지원사업 모집 공고,경기도,resolved_keep_old,기존값 유지,새 파싱값보다 기존값이 더 타당하다고 판정되어 업데이트하지 않음,업로드하면 오히려 검수된 기존 대표금액을 덮어쓸 위험,기존값을 보존. 필요하면 수기검수에서 keep_old로 확정,no_update_keep_existing,0.0,최대 0만원,150.0,support_amount,subtract,4,"4500.0만원/project_budget/review: 2026년 3월 3일 (재)평택산업진흥원장01사업개요 □ 사 업 명 : 2026년 ｢국내외 지식재산 권리화 지원사업｣ □ 사업기간 : 2026년 1월 1일 ~ 12월 31일 □ 사업예산 : 45,000천원(출연금 100%) □ 지원대상 : 본사 또는 등록공장 평택에 소재한 중소기업 (업태 제조업) || 150.0만원/support_amount/subtract: PCT 소요 비용 지원 분야지원내용규모지원한도비율지원내용국내 출원국내 특허20개사150만원/건80%° 변리사 수임료(VAT 제외) (출원료 || 300.0만원/total_support_scale/review: 디자인 해외출원국내 특허3개사300만원/건실용신안합계23개사- - - - 2 - 02모집내용 및 지원조건 □ 추진시기 : 연중 수시 모집 (예산 소진 시까지) □ 지원규모 : 최대 || 0.0만원/total_support_scale/review: □ 추진시기 : 연중 수시 모집 (예산 소진 시까지) □ 지원규모 : 최대 39,0000천원 이내 / 총 23개사 ※지원금및지원건수는예산범위내변동될수있음 □ 지원절차① 모집",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119454
PBLN_000000000119836,[전남광주] 2026년 상반기 구조고도화자금 지원 계획 공고,전남광주통합특별시,resolved_keep_old,기존값 유지,새 파싱값보다 기존값이 더 타당하다고 판정되어 업데이트하지 않음,업로드하면 오히려 검수된 기존 대표금액을 덮어쓸 위험,기존값을 보존. 필요하면 수기검수에서 keep_old로 확정,no_update_keep_existing,3000000.0,최대 300억원,1000000.0,support_amount,subtract,9,"100000.0만원/support_amount/subtract: , 경영안정사업) 지원 - 창업지원사업(3년 거치, 5년 균분상환 / 지원 한도 10억원 / 시설자금) - 경쟁력강화사업(3년 거치, 5년 균분상환 / 지원 한도 10억 || 100000.0만원/support_amount/subtract: 0억원 / 시설자금) - 경쟁력강화사업(3년 거치, 5년 균분상환 / 지원 한도 10억원 / 시설자금) - 경영안정화사업(1년 거치, 2년 균분상환 / 지원 한도 3억원 || 30000.0만원/loan/exclude: 0억원 / 시설자금) - 경영안정화사업(1년 거치, 2년 균분상환 / 지원 한도 3억원 / 운전자금) 사업신청 방법 온라인 접수 (기금융자관리시스템) 사업신청 사이트 || 3000000.0만원/unknown/review: 2026년 3월 4일광 주 광 역 시 장1 지원 개요 ❍ 지원 규모 : 300억원 || 1000000.0만원/support_amount/subtract: 하반기 100억원 예정 ❍ 지원 내용 사 업 명지원 용도지원 한도상환 조건비 고창업지원사업(업력: 7년 이내)공장부지 매입 || ... 후보 4개 추가",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119836
PBLN_000000000121194,[경남] 고성군 2026년 지역지식재산창출 지원사업 공고,경상남도,resolved_keep_old,기존값 유지,새 파싱값보다 기존값이 더 타당하다고 판정되어 업데이트하지 않음,업로드하면 오히려 검수된 기존 대표금액을 덮어쓸 위험,기존값을 보존. 필요하면 수기검수에서 keep_old로 확정,no_update_keep_existing,130.0,최대 130만원,90.0,support_amount,subtract,5,"130.0만원/total_support_scale/review: 지원 대상 고성군 소재 중소기업 - : 지원 건수 기업당 건 이내 - : 3 지원 금액 대리인비용 부가세 제외 의 일부 지원 - : ( ) 지원사업 세부사업 최대지원금액 지원규모 국내권리화 특 허 실용신안 디 자 인 상 표 천원1,300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원 || 90.0만원/support_amount/subtract: 300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원 || 35.0만원/support_amount/subtract: 300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원 || 300.0만원/total_support_scale/review: 관납료 등 의 일부 지원) 지원사업 세부사업 최대지원금액 지원규모 해외권리화 특허 실용신안/ 디 자 인 상 표 천원3,000 천원2 || 280.0만원/total_support_scale/review: 지원금액 지원규모 해외권리화 특허 실용신안/ 디 자 인 상 표 천원3,000 천원2,800 천원2,500 국내대리인비용 별도(VAT ) 및 해외출원 비용의 이내90% 지원 신청",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121194
PBLN_000000000121197,[경남] 창녕군 2026년 지역지식재산 창출지원사업 공고,경상남도,resolved_keep_old,기존값 유지,새 파싱값보다 기존값이 더 타당하다고 판정되어 업데이트하지 않음,업로드하면 오히려 검수된 기존 대표금액을 덮어쓸 위험,기존값을 보존. 필요하면 수기검수에서 keep_old로 확정,no_update_keep_existing,130.0,최대 130만원,90.0,support_amount,subtract,5,"130.0만원/total_support_scale/review: 지원 대상 창녕군 소재 중소기업 - : 지원 건수 기업당 건 이내 - : 3 지원 금액 대리인비용 부가세 제외 의 일부 지원 - : ( ) 지원사업 세부사업 최대지원금액 지원규모 국내권리화 특 허 실용신안 디 자 인 상 표 천원1,300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원 || 90.0만원/support_amount/subtract: 300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원 || 35.0만원/support_amount/subtract: 300 천원900 천원350 천원250 대리인비용 별도 의(VAT ) 이내90% 해외권리화 출원비용 지원 || 300.0만원/total_support_scale/review: 관납료 등 의 일부 지원) 지원사업 세부사업 최대지원금액 지원규모 해외권리화 특허 실용신안/ 디 자 인 상 표 천원3,000 천원2 || 280.0만원/total_support_scale/review: 지원금액 지원규모 해외권리화 특허 실용신안/ 디 자 인 상 표 천원3,000 천원2,800 천원2,500 국내대리인비용 별도(VAT ) 및 해외출원 비용의 이내90% 지원 신청",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121197
PBLN_000000000121785,[전남광주] 2026년 소규모 밀착 안전망 구축사업 참여기업 모집 공고(지역 중대재해 예방 사각지대 해소사업),전남광주통합특별시,resolved_keep_old,기존값 유지,새 파싱값보다 기존값이 더 타당하다고 판정되어 업데이트하지 않음,업로드하면 오히려 검수된 기존 대표금액을 덮어쓸 위험,기존값을 보존. 필요하면 수기검수에서 keep_old로 확정,no_update_keep_existing,10000.0,최대 1억원,25.0,support_amount,subtract,11,10000.0만원/unknown/review: ☞ 광주광역시 소재 소규모 제조ㆍ건설 현장 - (제조업) 상시근로자 5인 이상 ~ 20인 미만 고위험 공정 보유 기업 - (건설업) 공사금액 1억 원 미만의 초소규모 건설현장 ☞ (제조업) 5~19인 제조 안전 길잡이 구축 지원 - (건설업) 1억 미만 건설 안전 기동대 운영 지원 || 10000.0만원/unknown/review: ☞ 광주광역시 소재 소규모 제조ㆍ건설 현장 - (제조업) 상시근로자 5인 이상 ~ 20인 미만 고위험 공정 보유 기업 - (건설업) 공사금액 1억 원 미만의 초소규모 건설현장 ☞ (제조업) 5~19인 제조 안전 길잡이 구축 지원 - (건설업) 1억 미만 건설 안전 기동대 운영 지원 || 10000.0만원/total_support_scale/review: □ (운영기관) (사)광주경영자총협회 - 2 - 2 지원대상 및 규모 □ (지원대상) 광주광역시 소재 소규모 제조 건설 현장 - (제조업) 상시근로자 5인 이상 ~ 20인 미만 고위험 공정 보유 기업 - (건설업) 공사금액 1억 원 미만의 초소규모 건설현장 □ (지원규모) 총 300개소 (제조업 200개소 || 150.0만원/consulting_fee/recommend_only: / 건설업 100개소) □ (지원제외) 다음 중 하나 이상에 해당하는 기업 또는 사업주 - 정부 또는 지차체 등의 유사한 지원사업에 참여 중인 기업 - 근로기준법 제43조의2에 따라 임금 등을 체불하여 명단이 공개 중인 사업주 - 중대재해 발생 등으로 명단이 공표된 사업장 - 제출서류의 미비 또는 제출서류가 사실과 다른 경우 - 기타 운영기관에서 사업참여가 부적합하다고 판단되는 경우3 지원내 || 60.0만원/unknown/review: 화기작업(용접등)용방화담요(방염포)등 최대60만원 안전설비및시각화구축 (직관적물리방호장치)지게차동선사각지대해소용반사경(볼록거울) || ... 후보 6개 추가,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121785
