policy_id,title,organization,source,reason,old_amount_manwon,old_amount_actual,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_actual,new_amount_type,new_roi_apply_method,candidate_count,selected_context
ENERGYAGENCY:21809,2019년 에너지경영시스템 인프라 구축 지원사업 공고 안내,한국에너지공단,tier_a_safe,,15000.0,최대 1.5억원,subsidy,subtract,15000.0,최대 1.5억원,subsidy,subtract,2,최대 1.5 억원 이내 지원 * 참여기업의 반드시 자부담금은 현금으로 지급 ㅇ 신청절차 1) ( 사업신청 ) 국고보조금통합관리시스템 e 나라도움 (www
ENERGYAGENCY:21849,2019년 에너지경영시스템 인프라 구축 지원사업 공고 안내,한국에너지공단,tier_a_safe,,15000.0,최대 1.5억원,subsidy,subtract,15000.0,최대 1.5억원,subsidy,subtract,2,최대 1.5 억원 이내 지원 * 참여기업의 반드시 자부담금은 현금으로 지급 ㅇ 신청절차 1) ( 사업신청 ) 국고보조금통합관리시스템 e 나라도움 (www
PBLN_000000000115994,2026년 스마트 제조혁신 지원사업 통합 공고,중소벤처기업부,tier_a_safe,,50000.0,최대 5억원,subsidy,subtract,50000.0,최대 5억원,subsidy,subtract,42,지역특화 프로젝트 참여기업으로 선정된 기업□지원내용및조건◦지원내용-정보통신기술(ICT)로제품의기획-설계-제조-판매과정을통합하여제조공정을최적화하는스마트공장구축지원-제품설계‧ 생산공정개선등을위한스마트공장솔루션구축및솔루션과연동되는자동화장비‧ 제어기‧ 센서등구축지원◦지원과제:50개내외◦지원조건:과제별수준향상정도에따라정부지원금차등지급지원유형지원 기간지원 한도지원 비율구축목표 수준고도화최대 9개월최대 5억원(아래 표 참조)50% 이내중간1 이상목표설정필수 현재수준목표수준최대 지원한도미적용è중간1 3억원중간2 5억원기초è중간1 2억원중간2 4억원중간
PBLN_000000000116004,스마트 공장 수준 확인(2026년 스마트 제조혁신 지원사업 통합 공고),중소벤처기업부,tier_a_safe,,50000.0,최대 5억원,subsidy,subtract,50000.0,최대 5억원,subsidy,subtract,42,지역특화 프로젝트 참여기업으로 선정된 기업□지원내용및조건◦지원내용-정보통신기술(ICT)로제품의기획-설계-제조-판매과정을통합하여제조공정을최적화하는스마트공장구축지원-제품설계‧ 생산공정개선등을위한스마트공장솔루션구축및솔루션과연동되는자동화장비‧ 제어기‧ 센서등구축지원◦지원과제:50개내외◦지원조건:과제별수준향상정도에따라정부지원금차등지급지원유형지원 기간지원 한도지원 비율구축목표 수준고도화최대 9개월최대 5억원(아래 표 참조)50% 이내중간1 이상목표설정필수 현재수준목표수준최대 지원한도미적용è중간1 3억원중간2 5억원기초è중간1 2억원중간2 4억원중간
PBLN_000000000116008,제조 DX멘토단 활용지원(2026년 스마트 제조혁신 지원사업 통합 공고),중소벤처기업부,tier_a_safe,,50000.0,최대 5억원,subsidy,subtract,50000.0,최대 5억원,subsidy,subtract,42,지역특화 프로젝트 참여기업으로 선정된 기업□지원내용및조건◦지원내용-정보통신기술(ICT)로제품의기획-설계-제조-판매과정을통합하여제조공정을최적화하는스마트공장구축지원-제품설계‧ 생산공정개선등을위한스마트공장솔루션구축및솔루션과연동되는자동화장비‧ 제어기‧ 센서등구축지원◦지원과제:50개내외◦지원조건:과제별수준향상정도에따라정부지원금차등지급지원유형지원 기간지원 한도지원 비율구축목표 수준고도화최대 9개월최대 5억원(아래 표 참조)50% 이내중간1 이상목표설정필수 현재수준목표수준최대 지원한도미적용è중간1 3억원중간2 5억원기초è중간1 2억원중간2 4억원중간
PBLN_000000000117643,2026년 예산군 로케이션 인센티브 제작지원 사업 공고,충청남도,tier_a_safe,,6000.0,"최대 6,000만원",support_amount,subtract,6000.0,"최대 6,000만원",support_amount,subtract,3,"온라인 플랫폼 등 방영이 확정된 작품 ☞ 예산군 내 2지역 이상 촬영 시 예산군 내 소비금액의 50%환급 지원(최대 60,000,000원) 사업신청 방법 온라인 접수(충남콘텐츠진흥원) 사업신청 사이트 온라인신청 바로가기 문의처 충남콘텐츠진흥원 로케이션 인센티브 담당자 041-59"
PBLN_000000000117781,[경북] 국방기술 민간이전 사업 참여기업 모집 공고(경북ㆍ구미 방산혁신클러스터),경상북도,tier_a_safe,,4000.0,"최대 4,000만원",support_amount,subtract,4000.0,"최대 4,000만원",support_amount,subtract,4,"☞ 공고일 기준 경북지역 본사(또는 공장) 소재 중소ㆍ벤처기업 중 방위산업으로 진입을 희망하는 기업 또는 방위산업 영위기업 - 국방 관련 연구소 보유 기술을 적용하고자 하는 기업 - 유무인복합체계 관련 기술을 적용하고자 하는 기업 ☞ 국방기술이전 지원(지원기업별 40,000천원 이내) - 국방 관련 연구소의 기술을 경북소재 기업에 이전"
PBLN_000000000118003,[경기] 용인시 2026년 다통해 서포터즈(시민 통번역 서포터즈) 지원사업 공고,경기도,tier_a_safe,,50.0,최대 50만원,support_amount,subtract,50.0,최대 50만원,support_amount,subtract,8,기업당 지원금액 연간 최대 50만원*
PBLN_000000000118122,[울산] 2026년 이전ㆍ창업기업(기술강소기업) 특별보조금 지원사업 공고,울산광역시,tier_a_safe,,20000.0,최대 2억원,subsidy,subtract,20000.0,최대 2억원,subsidy,subtract,10,기업당 최대 2억원(+고용보조금) 지원 사업신청 방법 방문 접수 - 접수처 : 울산 남구 중앙로 201
PBLN_000000000118679,[인천] 2026년 채용연계형 뿌리기업 근로환경 혁신 지원사업(환경개선) 모집 공고(지역산업맞춤형 일자리지원 사업),인천광역시,tier_a_safe,,2100.0,"최대 2,100만원",support_amount,subtract,2100.0,"최대 2,100만원",support_amount,subtract,12,"이 후 신규 채용인력에 대한 지원금은 1명당 최대 700만원(기업당 최대3명, 2,100만원)까지 지원함. 2. 공고일 이후 신규 채용한 인원은 공고일로부터 협약 종료일까지"
