policy_id,title,organization,stage1_category,stage1_status,stage2_category,stage2_reason,candidate_count,direct_cash_candidate_count,selected_amount_manwon,selected_amount_type,selected_context,direct_candidate_summary,url
PBLN_000000000121348,2026년 한-체코ㆍ한-중국 에너지국제공동R&D 신규지원 대상과제 공고,기후에너지환경부,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121348
PBLN_000000000123504,[서남권] 2026년 2차 지역혁신클러스터육성(비R&D) 기업지원사업 모집 공고,전남광주통합특별시,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,5,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123504
PBLN_000000000123417,[경북] 영천시 2026년 2차 중소기업 고부가가치 전환육성 지원사업 공고,경상북도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123417
PBLN_000000000123284,2026년 고용노동부(안전보건공단) 연계 스마트 안전장비지원 품목 등록 시행계획 공고,과학기술정보통신부,manual_representative_recoverable,pending,auto_adopt_marked_selected,후보 JSON 안에 선택 후보가 1개로 표시되어 자동 채택 가능,1,1,3000.0,support_amount,"지원금액 : 동일 사업주 또는 법인 당 최대 3,000만원까지(공단 판단금액의 최대 80%)","3000.0만원/support_amount/지원금액 : 동일 사업주 또는 법인 당 최대 3,000만원까지(공단 판단금액의 최대 80%)",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123284
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,경기도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056
PBLN_000000000121191,2026년 산업 분야 온실가스 국제감축사업 공고,산업통상부,manual_representative_recoverable,pending,auto_adopt_marked_selected,후보 JSON 안에 선택 후보가 1개로 표시되어 자동 채택 가능,2,2,1000000.0,support_amount,"감축설비 투자비의 최대 50% (단, 100억원 이하)","1000000.0만원/support_amount/감축설비 투자비의 최대 50% (단, 100억원 이하) || 40000.0만원/support_amount/설계, 방법론 검토 등 최대 90% (단, 4억원 이하)",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121191
PBLN_000000000123720,[부산] 2026년 콘텐츠코리아 랩 미드폼 영상콘텐츠 제작지원 사업 모집 공고,부산광역시,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123720
PBLN_000000000123766,[충북] 2026년 스마트공장 구축 자부담금 지원사업 수혜기업 모집 공고,충청북도,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123766
PBLN_000000000122585,2026년 2차 미래차 전자제어부품 산업 고도화 기반구축 기업지원 수혜기업 모집 공고,산업통상부,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122585
SMARTFACTORY:2026-N-0090:1,2026년 경북형 스마트공장(기초단계) 구축지원 사업 2차모집_(신규구축),스마트공장 사업관리시스템,manual_representative_recoverable,pending,no_direct_cash_candidate,현금성/바우처 직접지원 후보가 없어서 자동 대표금액 채택 불가,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0090&pbancSn=1
