policy_id,title,quality_group,current_manual_status,current_manual_category,current_support_ratio,candidate_count,gemini_decision,gemini_confidence,gemini_amount_manwon,gemini_support_ratio,gemini_amount_type,gemini_roi_apply_method,gemini_candidate_index,gemini_evidence_text,gemini_reason,source,url
PBLN_000000000119013,2026년 투ㆍ융자 연계 기술개발사업 지원계획 공고(스케일업 팁스ㆍ글로벌 팁스ㆍ딥테크 챌린지 프로젝트),selected_no_numeric,not_required,,0.75,3,adopt_selected,high,600000.0,0.75,support_amount,subtract,1,"글로벌 팁스 : 최대 4년, 50~60억원 지원(연구개발비의 75% 이내)",글로벌 팁스 R&D 지원은 최대 50~60억원으로 명확한 지원금액이 제시되어 있어 adopt_selected로 결정합니다.,gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119013
PBLN_000000000121038,2026년 IoT 보안인증 인증시험 수수료 지원 공고,selected_no_numeric,pending,recommend_only_payload,0.8,1,adopt_ratio,high,,0.8,support_ratio,ratio_cap,0,시험수수료 80% 정부지원,"시험 수수료의 80%를 정부에서 지원한다는 내용으로, 지원 비율이 명확하여 adopt_ratio로 결정하였습니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121038
PBLN_000000000121145,[경북] 영천시 2026년 중소기업 기숙사 임차비 지원사업 참여기업 모집 공고,selected_no_numeric,not_required,,0.9,1,adopt_selected,high,30.0,0.9,support_amount,subtract,0,"기숙사 임차비(월세)의 90%지원 ※월 30만원, 최대 12개월","월 최대 30만원, 최대 12개월이라는 명확한 지원금액 상한선이 제시되어 있어, 해당 기업/프로젝트/사업주에게 직접 적용 가능한 현금성 지원으로 판단됩니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121145
PBLN_000000000116832,2026년 미래내일 일경험 사업 참여기업 모집 공고(인턴형ㆍ기업탐방형),selected_no_numeric,not_required,,,4,adopt_selected,high,90.0,,support_amount,subtract,0,1회 최대 90만원 기업 지원금 지급,최대 90만원의 기업 지원금이 명확하게 명시되어 있어 직접 차감 방식으로 ROI 계산에 활용 가능합니다.,gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000116832
PBLN_000000000123639,[전남광주] 2026년 3차 창업기업 우수인력 인건비 지원사업 수혜기업 모집 공고,selected_no_numeric,not_required,,0.7,2,adopt_selected,high,1500.0,0.7,support_amount,subtract,0,"최대15백만원 이내 (5개월내외) - 1인당 연봉의 70%의 인건비 지원 · 연봉기준 : 25,890천원이상 · 지원금 : 월급여의 70% 최대 27,000천원 (지원금은 월 최대 300만원을 초과할 수 없음)","최대 15백만원 이내의 현금 지원이 명확하며, 지원 비율 70%도 명시되어 있어 ROI 계산에 직접 활용 가능합니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123639
TECHNOPARK:793,[강원테크노파크 공고 제 2026-101호] 2026년도 강원 지역특화형(바이오헬스·식품) 스마트공장 구축사업 공고,candidate_direct_no_selected,reviewed,keep_old_amount,0.5,10,adopt_selected,high,20000.0,0.5,support_amount,subtract,0,"주요 지원은 스마트공장 구축 지원(고도화) 최대 2억원 이내, 스마트공장 구축 지원(기초) 최대 80% 지원입니다.","고도화 지원 사업의 최대 지원금액이 2억원으로 명확하게 제시되어 있어, 해당 금액을 직접적으로 활용할 수 있습니다.",gemini,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMwNjYmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
PBLN_000000000119836,[전남광주] 2026년 상반기 구조고도화자금 지원 계획 공고,candidate_direct_no_selected,reviewed,keep_old_amount,0.1,6,adopt_selected,high,1000000.0,,support_amount,subtract,3,"❍ 지원 규모 : 300억원 ※ 하반기 100억원 예정 ❍ 지원 내용 사 업 명지원 용도지원 한도상환 조건비 고창업지원사업(업력: 7년 이내)공장부지 매입, 제조기계설비 구입,공장건물 매입·건축·임차 등10억원3년 거치5년 균분상환 시설 자금경쟁력강화사업(업력:","최대 100억원 지원 한도가 명확하게 제시되어 있으며, 이는 개별 기업/프로젝트에 적용 가능한 직접적인 현금 지원으로 판단됩니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119836
PBLN_000000000123659,[경북] 2026년 3차 지역기업 성장사다리 지원사업 통합 추가 공고,candidate_direct_no_selected,reviewed,keep_old_amount,,4,adopt_selected,high,1500.0,,support_amount,subtract,0,"초기ㆍ잠재기업(최대 15,000천원), R&D연계기업(최대 15,000천원) 지원","최대 1,500만원이라는 명확한 지원금액 상한선이 제시되어 있어 직접적인 현금 지원으로 판단됩니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123659
PBLN_000000000123417,[경북] 영천시 2026년 2차 중소기업 고부가가치 전환육성 지원사업 공고,candidate_direct_no_selected,pending,manual_representative_recoverable,1.0,3,adopt_selected,high,10000.0,0.2,support_amount,subtract,1,"지원금 : 최대 100,000천원(지원금의 20% 이상 현금 기업 부담)","최대 1억원이라는 명확한 지원금 상한선이 있고, 기업 부담금 비율이 명시되어 있어 ROI 계산에 직접 적용 가능합니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123417
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,candidate_direct_no_selected,pending,manual_representative_recoverable,,2,adopt_selected,high,7.0,,support_amount,subtract,0,가입인원 1명당 월 기업부담금 7만원 지원 - 기업당 최대 3명까지 지원(기존ㆍ신규가입 포함),월 7만원 지원이며 기업당 최대 3명까지 지원 가능하므로 개별 기업에 적용 가능한 직접 지원금으로 판단됩니다.,gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056
PBLN_000000000117085,2026년 시니어인턴십 사업 참여 기업 모집 공고,no_direct_cash_no_selected,not_required,,,2,adopt_selected,high,270.0,,support_amount,review,0,"일반형은 1인당 최대 270만원, 장기취업유지형은 1인당 최대 280만원을 지원합니다.","일반형 지원 시 1인당 최대 270만원이라는 명확한 지원금액 상한선이 제시되어 있어, 해당 건은 adopt_selected로 분류됩니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117085
PBLN_000000000117168,[대구] 2025년 4차 소상공인 맞춤형 출산ㆍ양육지원 사업 모집 공고,no_direct_cash_no_selected,not_required,,,1,adopt_selected,high,250.0,,support_amount,review,0,"출산 소상공인에게는 양육비 250만원을, 무주택 소상공인에게는 육아응원금 100만원을 지원합니다.",명확하게 회사당/프로젝트당 최대 지원 금액이 250만원으로 명시되어 있어 adopt_selected로 결정합니다.,gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117168
PBLN_000000000117294,[경남] 창녕군 2026년 중소기업 전시(박람)회 참가 지원 계획 공고,no_direct_cash_no_selected,not_required,,,1,adopt_selected,high,100.0,,support_amount,review,0,업체당 부스 임차비 1백만 원 이내 지원,"업체당 최대 1백만 원까지 부스 임차비를 지원하므로, 명확한 지원 상한선이 있어 adopt_selected로 결정합니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117294
PBLN_000000000117371,[전남광주] 인공지능 유치기업 보조금 지원사업 모집 공고,no_direct_cash_no_selected,not_required,,,1,adopt_selected,high,35000.0,,subsidy,review,0,기업당 최대 3억 5천만원 이내(보조금 항목당 1회만 신청가능),기업당 최대 3억 5천만원 이내로 명확한 현금성 지원 한도가 있어 adopt_selected로 결정합니다.,gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117371
PBLN_000000000117428,[경북] 2026년 미래내일일경험 참여기업 모집 공고,no_direct_cash_no_selected,not_required,,,1,hold,low,,,unknown,review,0,"참여 청년 1인당 주 5만원 지급(월 20만원, 8주 기준 40만원) 지원","지원 대상이 청년 1인당 지급액으로 명시되어 있어 기업/사업주 대상 직접적인 현금성 지원으로 보기 어렵고, 총 지원 규모나 비율에 대한 정보가 부족하여 ROI 계산에 부적합합니다.",gemini,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117428
