policy_id,title,organization,no_upload_group,no_upload_reason,recommended_action,old_amount_manwon,old_amount_actual,candidate_count,url
ENERGYAGENCY:24575,(수정)2026년도 산업진단 개선이행 지원사업 2차 공고,한국에너지공단,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,69000.0,최대 6.9억원,2,https://www.energy.or.kr/front/board/View2.do?boardMngNo=2&boardNo=24575
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,250000.0,최대 25억원,19,https://www.k-pass.kr/notice/ancView.do?ancId=P2950&gubun=NEW
PBLN_000000000118027,2026년 KOLAS 공인 제품인증 서비스 바우처 지원사업 참가 희망기업 모집 공고,부산광역시,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,80.0,,8,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118027
PBLN_000000000118209,2026년 중소기업 연구인력지원사업 공고,중소벤처기업부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,3800.0,"최대 3,800만원",13,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118209
PBLN_000000000119206,[충남] 아산시 2026년 해외마케팅 지원사업 참가기업 모집 공고,충청남도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,400.0,최대 400만원,11,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119206
PBLN_000000000119454,[경기] 평택시 2026년 국내외 지식재산 권리화 지원사업 모집 공고,경기도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,0.0,최대 0만원,4,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119454
PBLN_000000000119836,[전남광주] 2026년 상반기 구조고도화자금 지원 계획 공고,전남광주통합특별시,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,3000000.0,최대 300억원,9,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119836
PBLN_000000000121194,[경남] 고성군 2026년 지역지식재산창출 지원사업 공고,경상남도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,130.0,최대 130만원,5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121194
PBLN_000000000121197,[경남] 창녕군 2026년 지역지식재산 창출지원사업 공고,경상남도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,130.0,최대 130만원,5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121197
PBLN_000000000121785,[전남광주] 2026년 소규모 밀착 안전망 구축사업 참여기업 모집 공고(지역 중대재해 예방 사각지대 해소사업),전남광주통합특별시,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,10000.0,최대 1억원,11,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121785
PBLN_000000000121945,2026년 자이언트캐스팅(다이캐스팅) 부품 시험ㆍ평가ㆍ인증 및 기술지도 지원 시행 공고(자이언트캐스팅 공용센터 기반구축 사업),과학기술정보통신부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,1000.0,"최대 1,000만원",5,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121945
PBLN_000000000122359,[경북] 2026년 지역특화형(고도화) 스마트공장 구축사업 공고,중소벤처기업부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,63740000.0,최대 6374억원,27,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122359
PBLN_000000000122384,2026년 글로벌산업기술협력센터 사업(M.AX 분야 공동연구) 시행계획 공고,산업통상부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,1000000.0,최대 100억원,15,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122384
PBLN_000000000122492,[충남] 2026년 IP디딤돌 프로그램 창업자 후속지원 대상자 모집 공고,충청남도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,900.0,최대 900만원,7,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122492
PBLN_000000000122501,2026년 디지털기반 중소사업장 산재예방 기술개발 지원사업 시행계획 공고,중소벤처기업부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,50000.0,최대 5억원,26,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122501
PBLN_000000000122968,2026년 2차 안전일터 조성지원 사업 수정 공고,고용노동부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,3000.0,"최대 3,000만원",9,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122968
PBLN_000000000122997,[강원] 횡성군 2026년 2차 지식재산 첫걸음 지원사업 참여기업 모집 공고,강원특별자치도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,130.0,최대 130만원,31,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122997
PBLN_000000000122998,[강원] 영월군 2026년 2차 지식재산 첫걸음 지원사업 참여기업 모집 공고,강원특별자치도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,130.0,최대 130만원,31,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122998
PBLN_000000000123103,[전남광주] 로컬콘텐츠 기반 문화상품 개발 컨소시엄(공방&디자인기업) 모집 공고,전남광주통합특별시,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,1000.0,"최대 1,000만원",3,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123103
PBLN_000000000123154,2026년 3차 조선해양산업기술개발사업 신규지원 대상과제 공고,산업통상부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,297000.0,최대 29.7억원,15,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123154
PBLN_000000000123158,2026년 3차 친환경양식어업육성 사업대상자 모집 재공고(품종별산업화시설지원-친환경개체굴생산지원),해양수산부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,100000.0,최대 10억원,18,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123158
PBLN_000000000123188,[경북] 북부 2026년 3차 지식재산 긴급지원 사업 모집 공고,경상북도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,420.0,최대 420만원,39,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123188
PBLN_000000000123205,[경기] 안양시 2026년 하반기 국내외 IP 출원 및 인증 지원사업 모집 공고,경기도,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,400.0,최대 400만원,8,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123205
PBLN_000000000123210,2026년 2차 국가표준기술력향상사업 신규지원 대상과제 공고,산업통상부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,7000.0,"최대 7,000만원",24,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123210
PBLN_000000000123247,[경남] 고성군 2026년 3차 시군구연고산업육성사업 지원기업 모집 공고,중소벤처기업부,resolved_keep_old,large_amount_delta 검수 결과 기존값 유지,no_update_keep_existing,3630.0,"최대 3,630만원",17,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123247
