policy_id,title,organization,risk_count,risk_reasons,auto_update_candidate,decision_reason,old_amount_manwon,old_amount_type,old_roi_apply_method,candidate_count,new_selected_amount_manwon,new_selected_type,new_roi_apply_method,new_support_ratio,old_actual,old_basis
PBLN_000000000120780,2026년 통상변화대응지원사업 참여기업 모집 공고,산업통상부,6,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,1000000.0,support_amount,subtract,24,,,,1.0,최대 100억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 시험인증, 판로수출"
PBLN_000000000123354,[부산] 2026년 도시형소공인 맞춤형 패키지 지원사업 모집 공고,부산광역시,6,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,1200000.0,support_amount,subtract,11,,,,0.8,최대 120억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출"
PBLN_000000000120006,[서울] 2026년 노동환경개선컨설팅 사업 대상 모집 공고,서울특별시,6,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,100000.0,support_amount,subtract,3,,,,,최대 10억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 시험인증, 교육"
PBLN_000000000122640,[경북] 2026년 경북산업기술단지 거점기능강화사업 기술닥터제 활성화 지원사업 공고,중소벤처기업부,6,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,300000.0,support_amount,subtract,2,,,,,최대 30억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출"
PBLN_000000000122359,[경북] 2026년 지역특화형(고도화) 스마트공장 구축사업 공고,중소벤처기업부,5,"subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 대표 금액 20% 이상 차이: 기존 6.374e+07만원, 새 20000만원",False,risk_reasons_present,63740000.0,support_amount,subtract,37,20000.0,support_amount,subtract,0.5,최대 6374억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 판로수출, 스마트공장"
PBLN_000000000119693,[경기] 2026년 중소기업 R&D 기획ㆍ컨설팅 사업 모집 공고,경기도,5,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,10000.0,support_amount,subtract,32,,,,,최대 1억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 교육, 스마트공장"
PBLN_000000000123148,2026년 2차 조선해양산업기술개발사업 신규지원 대상과제 공고,산업통상부,5,"subtract 금액이 10억원 이상 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 subsidy -> 새 타입 support_amount | 대표 금액 20% 이상 차이: 기존 100000만원, 새 2e+06만원",False,risk_reasons_present,100000.0,subsidy,subtract,29,2000000.0,support_amount,subtract,0.5,최대 10억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 교육, 판로수출, 에너지효율"
PBLN_000000000121614,[전남광주] 2026년 스마트공장 지원계획 공고,중소벤처기업부,5,subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,80000.0,subsidy,subtract,17,,,,0.2,최대 8억원,"금액 판단: 금액 미기재 / 지원 방식: 현금지원, 컨설팅멘토링, 기술개발, 시험인증, 교육, 판로수출, 스마트공장"
KPASS:P2950,2026년 산업기술국제협력사업 통합 시행계획 공고,한국산업기술진흥원,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,250000.0,support_amount,subtract,11,,,,,최대 25억원,"금액 판단: 지원금 250,000만원 / 금액 표현: 최대 25억원 / 지원 방식: 기술개발"
PBLN_000000000119978,[경북] 2026년 OK FTA 컨설팅 지원사업 모집 공고(경북FTA통상진흥센터),경상북도,5,subtract 금액이 10억원 이상 | subtract 근거에 전체예산/총사업비/조건성 키워드 포함 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 기존 타입 support_amount -> 새 타입 non_cash,False,risk_reasons_present,15000000.0,support_amount,subtract,10,15000000.0,non_cash,recommend_only,0.4,최대 1500억원,"금액 판단: 금액 미기재 / 지원 방식: 컨설팅멘토링, 시험인증"
PBLN_000000000117654,[강원] 2026년 중소ㆍ벤처기업 투자이음 강화 프로그램 참여기업 연중 상시접수 공고(강원 벤처투자 생태계 조성사업),강원특별자치도,5,subtract 금액이 10억원 이상 | 근거는 미확인성인데 actual에는 숫자 금액 존재 | 억 단위 금액이나 기업당/과제당 근거 부족 | 후보는 있으나 대표 후보 없음 | 기존 금액은 있으나 새 대표 금액 없음,False,risk_reasons_present,650000.0,support_amount,subtract,9,,,,,최대 65억원,"금액 판단: 금액 미기재 / 지원 방식: 기술개발, 시험인증, 교육"
