policy_id,title,organization,stage2_category,stage2_reason,candidate_count,direct_cash_candidate_count,candidate_types,direct_amounts_manwon,selected_flags,direct_candidate_summary,url
PBLN_000000000122644,[경북] 2026년 2차 미래자동차 사업재편 혁신성장 지원사업 공고,경상북도,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122644
SMARTFACTORY:2026-N-0122:1,[코오롱베니트] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0122&pbancSn=1
SMARTFACTORY:2026-N-0124:1,[현대자동차 그룹] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0124&pbancSn=1
PBLN_000000000123526,[충남] 2026년 산학연 협동프로그램 참여기업 지원사업 모집 재공고(테크노파크 생산장비 고도화),충청남도,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123526
PBLN_000000000123466,2026년 지능형 반도체 개발ㆍ실증지원 고신뢰 반도체 상용화를 위한 검증ㆍ확인 지원사업 기업 지원 프로그램 통합 공고,산업통상부,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,4,0,"non_cash, support_amount",,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123466
SMARTFACTORY:2026-N-0005:1,2026년 스마트공장 수준확인 사업 공고,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0005&pbancSn=1
PBLN_000000000123745,2026년 4차 예술산업보증 7월 공고,문화체육관광부,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,2,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123745
PBLN_000000000121415,[경남] 2026년 경남형 제조 AX 고도화 패스트트랙 지원사업 도입기업 모집 공고,경상남도,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121415
SMARTFACTORY:2026-N-0114:1,[미라콤] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0114&pbancSn=1
SMARTFACTORY:2026-N-0118:1,[LG전자] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0118&pbancSn=1
SMARTFACTORY:2026-N-0119:1,[CJ올리브네트웍스] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0119&pbancSn=1
SMARTFACTORY:2026-N-0120:1,[한국네트웍스] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0120&pbancSn=1
SMARTFACTORY:2026-N-0123:1,[한솔PNS] 2026년도 상생형 인공지능 전환(AX) 선도모델 구축지원 사업 공고,스마트공장 사업관리시스템,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0123&pbancSn=1
PBLN_000000000119881,[제주] 2026년 어업활동지원 사업 대상자 모집 공고,제주특별자치도,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119881
PBLN_000000000117481,전북바이오융합교육센터 재직자 교육 훈련생ㆍ기업 모집 공고(국가인적자원개발컨소시엄),전북특별자치도,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,1,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117481
TECHNOPARK:1519,2026년 햇빛소득마을 컨설팅 지원사업 위탁기관 모집 공고,충남테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709292
TECHNOPARK:1532,(재공고) 2026년 테크노파크 생산장비 고도화 지원사업 산학연 협동프로그램 참여 기업 모집 재공고,충남테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709293
PBLN_000000000123681,자동차부품기업 사이버보안 컨설팅 참여기업 모집 공고,산업통상부,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,3,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123681
TECHNOPARK:391,(2026-75호) 2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집 공고,강원테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTI5NTEmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
TECHNOPARK:525,「AI 솔루션 기술개발」참여기업 모집공고,충남테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709173
PBLN_000000000119852,[경북] 2026년 로케이션 제작지원 사업 공고,경상북도,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119852
PBLN_000000000118204,2026년 여성기업 육성사업 공고,중소벤처기업부,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118204
TECHNOPARK:616,(2026-88호) 「홍천군 첨단바이오산업 활성화 지원사업」 지역(홍천군)선도기업 육성사업 수혜기업 모집,강원테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTMwMDkmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
TECHNOPARK:977,「AI 솔루션 기술개발」참여기업 추가 모집공고,충남테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.ctp.or.kr/business/datadetail.do?seq=2709266
PBLN_000000000123689,지능형 헬스케어제품 기반 실증ㆍ사업화 지원사업 기업지원 기술지원 추가 공고,산업통상부,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123689
PBLN_000000000120342,2026년 기업승계 M&A 활성화를 위한 컨설팅 지원사업 시행계획 공고,중소벤처기업부,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120342
PBLN_000000000118006,2026년 스마트공장 수준확인 사업 공고,중소벤처기업부,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,2,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118006
PBLN_000000000122820,2026년 한국형 ARPA-H 프로젝트 신규지원 대상과제 통합 공고,보건복지부,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122820
PBLN_000000000118318,2026년 소스개발 및 생산지원 사업 공고,농림축산식품부,non_cash_or_fee_only,비현금/수수료/컨설팅성 후보만 있어 ROI 직접 차감 불가,1,0,non_cash,,,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118318
TECHNOPARK:304,(2026-70호) 「2026 강원후평스마트에너지플랫폼 구축사업」 공장에너지관리시스템(FEMS) 수요기업 모집 공고,강원테크노파크,reparse_needed_no_candidates,후보 JSON이 없어 원문/첨부 재파싱 필요,0,0,,,,,https://www.gwtp.or.kr/gwtp/bbsNew_view.php?bbs_data=aWR4PTI5MzEmc3RhcnRQYWdlPSZsaXN0Tm89JnRhYmxlPWNzX2Jic19kYXRhX25ldyZjb2RlPXN1YjAxYiZzZWFyY2hfaXRlbT0mc2VhcmNoX29yZGVyPSZ1cmw9c3ViMDFiJmtleXZhbHVlPXN1YjAxJmJic19tYWxuYW1lPQ==||
