policy_id,title,organization,manual_group,action_hint,system_reason,old_amount_manwon,old_amount_actual,system_new_amount_manwon,system_new_amount_type,candidate_count,context,url,manual_review_decision,manual_amount_manwon,manual_amount_actual,manual_amount_type,manual_roi_apply_method,manual_support_ratio,manual_evidence,manual_note,reviewer,reviewed_at
PBLN_000000000117056,[경기] 부천시 2026년 내일채움공제 지원 계획 공고,경기도,hold_large_delta_or_selected,manual_review_required,금액 조건/자부담/취득금액 문맥이 섞여 지원금 확정 불가,24.0,최대 24만원,7.0,support_amount,8,☞ 부천시 소재 중소제조기업 ☞ 가입인원 1명당 월 기업부담금 7만원 지원 - 기업당 최대 3명까지 지원(기존ㆍ신규가입 포함),https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117056,,,,,,,,,,
PBLN_000000000117066,장애인고용개선장려금 사업 공고,고용노동부,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,45.0,최대 45만원,,,3,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117066,,,,,,,,,,
PBLN_000000000117454,[강원] 2026년 글로벌 IP 스타기업 육성 해외OA비용 지원사업 공고,강원특별자치도,hold_large_delta_or_selected,manual_review_required,금액 조건/자부담/취득금액 문맥이 섞여 지원금 확정 불가,164.0,최대 164만원,410.0,support_amount,12,"싱가폴 氠瑢 구분 세부사업명 지원한도 지원내용 전체 지원금 기업부담금 (현금) 해외 OA 비용 지원 미 국 4,100천원 2",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117454,,,,,,,,,,
PBLN_000000000117463,[강원] 2026년 글로벌 IP 스타기업 육성 해외등록비용 지원사업 공고,강원특별자치도,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,144.0,최대 144만원,,,9,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117463,,,,,,,,,,
PBLN_000000000117563,2026년 중소기업 매출채권팩토링 지원계획 공고,중소벤처기업부,hold_large_delta_or_selected,manual_review_required,금액 조건/자부담/취득금액 문맥이 섞여 지원금 확정 불가,100000.0,최대 10억원,5900000.0,support_amount,10,구매기업과 1년이상 거래 실적(최근 1년 내 3회이상)을 보유하고 있는 판매기업 - 대상채권 : 중소기업이 물품ㆍ용역을 제공하여 발생한 매출채권 ☞ 매출채권팩토링 지원 (예산규모 590억원) - 팩토링 한도 : 연간 한도 판매기업 10억원,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117563,,,,,,,,,,
PBLN_000000000117671,[인천] 서구 2026년 제품인증획득 지원사업 신청 공고,인천광역시,hold_large_delta_or_selected,exclude_or_recommend_only,새 후보가 비현금/금융/수수료 계열이라 ROI 직접 차감 제외,500.0,,400.0,non_cash,7,FDA 등 해외 제품인증 기업당 400만원 범위내 KC,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117671,,,,,,,,,,
PBLN_000000000117688,[인천] 서구(검단지역) 2026년 제품인증획득 지원사업 신청 공고,인천광역시,hold_large_delta_or_selected,exclude_or_recommend_only,새 후보가 비현금/금융/수수료 계열이라 ROI 직접 차감 제외,500.0,,400.0,non_cash,7,FDA 등 해외 제품인증 기업당 400만원 범위내 KC,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117688,,,,,,,,,,
PBLN_000000000117992,2026년 나눔장비 이전지원사업 모집 공고,과학기술정보통신부,hold_large_delta_or_selected,manual_review_required,금액 조건/자부담/취득금액 문맥이 섞여 지원금 확정 불가,6000.0,"최대 6,000만원",3000.0,support_amount,11,여러 중소기업에 골고루 혜택을 제공하기 위해 1개 기업당 10개 이하 장비(취득금액 3천만원 이상)로 이전지원을 제한하는 ｢나눔장비 총량제｣ 실시 氠瑢 연구개발 또는 국산 장비개발 관련 중소기업 필수 서류 가,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117992,,,,,,,,,,
PBLN_000000000118204,2026년 여성기업 육성사업 공고,중소벤처기업부,hold_large_delta_or_selected,manual_review_required,후보는 있으나 대표 후보가 선택되지 않아 수동 선택 필요,300000.0,최대 30억원,,,6,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118204,,,,,,,,,,
PBLN_000000000118245,[경북] 2026년 중소벤처기업 지식재산권 및 해외인증 지원사업 참가기업 모집 공고,경상북도,hold_large_delta_or_selected,exclude_or_recommend_only,새 후보가 비현금/금융/수수료 계열이라 ROI 직접 차감 제외,500.0,최대 500만원,600.0,non_cash,4,"시험기관 및 컨설팅 기관 출원/획득 일자 추진방법 □ 단독 □ 대행 지원금 청구 소요금액 원 신청금액 (공급가액의 80%) 최대 6,000,000원 송금계좌 _____은행",https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118245,,,,,,,,,,
