policy_id,title,organization,recommended_action,reason,candidate_count,candidate_summary,url
PBLN_000000000122442,[울산] 2026년 기술이전지원사업 기술코칭프로그램 참여기업 모집 공고,울산광역시,keep_excluded_or_manual_review,기업별/건당/과제당 한도 문맥 불충분,1,20.0만원/total_support_scale: 지원규모 : 전문가활용비(200천원 × 2회 이내,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000122442
PBLN_000000000123133,2026년 선도형 양자공정 오픈팹 인프라 구축 사업 지원기업 모집 공고,대전광역시,keep_excluded_or_manual_review,기업별/건당/과제당 한도 문맥 불충분,1,1200.0만원/total_support_scale: 지원함 ❑ 지원내용 ❑ 지원규모세부 사업지원규모지원건수기업부담금*양자전환 스타트업 기업지원지원기업별 12백만원 내외2개사 내외대전소재 이외의 기업일 경우 지원금의 10% 이상(대전소재 기업일 경우 제외) * 부가가치세 및 기업이 환급받는 금액에 대해서는,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000123133
SMARTFACTORY:2026-N-0062:3,[2차] 2026 AI 트랙 (삼성) 스마트공장 구축,스마트공장 사업관리시스템,keep_excluded_or_manual_review,기업별/건당/과제당 한도 문맥 불충분,1,30000.0만원/total_support_scale: 미디어 연계 글로벌 홍보 - 6 - □ 지원조건【지원내용】구 분 스마트공장(AI 트랙)지원대상스마트공장 고도화(중간1 이상)구축 목표지원규모최대 3억원(총 사업비의 75% 지원)지원비율정부 : 삼성 : 도입기업 2 : 1 : 1 매칭 * 스마트공장 지원 이력이 있거나,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0062&pbancSn=3
SMARTFACTORY:2026-N-0067:3,[인천] 2026년 제조DX멘토단 활용지원사업 (구축지도) 도입기업 모집공고,스마트공장 사업관리시스템,keep_excluded_or_manual_review,기업별/건당/과제당 한도 문맥 불충분,6,119.0만원/total_support_scale: 구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별 || 119.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)400개사 내외◦(지원조건)총 사업비의 85%지원구 분지원방법지원기간사업비(분담비율)정부지원민간부담구축 지도DX멘토단 1인 x 4회최대 3개월119만원(85%)21만원(15%)* VAT미포함□ 신청기간◦선도형 스마트공장 구축지원사업 최종 선정 및 협약 || 21.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)400개사 내외◦(지원조건)총 사업비의 85%지원구 분지원방법지원기간사업비(분담비율)정부지원민간부담구축 지도DX멘토단 1인 x 4회최대 3개월119만원(85%)21만원(15%)* VAT미포함□ 신청기간◦선도형 스마트공장 구축지원사업 최종 선정 및 협약 || 119.0만원/total_support_scale: 구축 지도 및 운영 애로사항 해결지원 氠瑢 구분 지원기간 지원규모 지원한도 지원비중 접수 평가선정 구축 지도 3개월(4회) 400개사 내외 119만원 85% 최종 협약 후 2주 이내 수시 □ 신청 자격 ◦ 국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업 성장촉진 및 경쟁력 강 || 119.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 氠瑢 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선 || 21.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 氠瑢 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0067&pbancSn=3
SMARTFACTORY:2026-N-0068:1,[부산] 2026년 제조DX멘토단 활용지원사업(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,keep_excluded_or_manual_review,기업별/건당/과제당 한도 문맥 불충분,3,119.0만원/total_support_scale: 구축 지도 및 운영 애로사항 해결지원 구분 지원기간 지원규모 지원한도 지원비중 접수 평가선정 구축 지도 3개월(4회) 400개사 내외 119만원 85% 최종 협약 후 2주 이내 수시 □ 신청 자격 ◦ 국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업 성장촉진 및 경쟁력 강 || 119.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선도형 || 21.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선도형,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0068&pbancSn=1
SMARTFACTORY:2026-N-0069:1,[경기] 2026년 제조DX멘토단 활용지원사업(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,keep_excluded_or_manual_review,기업별/건당/과제당 한도 문맥 불충분,3,119.0만원/total_support_scale: 구축 지도 및 운영 애로사항 해결지원 구분 지원기간 지원규모 지원한도 지원비중 접수 평가선정 구축 지도 3개월(4회) 400개사 내외 119만원 85% 최종 협약 후 2주 이내 수시 □ 신청 자격 ◦ 국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업 성장촉진 및 경쟁력 강 || 119.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선도형 || 21.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선도형,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0069&pbancSn=1
SMARTFACTORY:2026-N-0070:1,[전북] 2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,keep_excluded_or_manual_review,기업별/건당/과제당 한도 문맥 불충분,3,119.0만원/total_support_scale: 구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별 || 119.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)400개사 내외◦(지원조건)총 사업비의 85%지원구 분지원방법지원기간사업비(분담비율)정부지원민간부담구축 지도DX멘토단 1인 x 4회최대 3개월119만원(85%)21만원(15%)* VAT미포함□ 신청기간◦선도형 스마트공장 구축지원사업 최종 선정 및 협약 || 21.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)400개사 내외◦(지원조건)총 사업비의 85%지원구 분지원방법지원기간사업비(분담비율)정부지원민간부담구축 지도DX멘토단 1인 x 4회최대 3개월119만원(85%)21만원(15%)* VAT미포함□ 신청기간◦선도형 스마트공장 구축지원사업 최종 선정 및 협약,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0070&pbancSn=1
SMARTFACTORY:2026-N-0072:1,[전남]2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,keep_excluded_or_manual_review,기업별/건당/과제당 한도 문맥 불충분,3,119.0만원/total_support_scale: 구축 지도 및 운영 애로사항 해결지원 氠瑢 구분 지원기간 지원규모 지원한도 지원비중 접수 평가선정 구축 지도 3개월(4회) 400개사 내외 119만원 85% 최종 협약 후 2주 이내 수시 □ 신청 자격 ◦ 국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업 성장촉진 및 경쟁력 강 || 119.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 氠瑢 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선 || 21.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 氠瑢 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0072&pbancSn=1
SMARTFACTORY:2026-N-0076:2,[충북] 2026년 제조DX멘토단 활용지원(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,keep_excluded_or_manual_review,기업별/건당/과제당 한도 문맥 불충분,6,119.0만원/total_support_scale: 구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별 || 119.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)400개사 내외◦(지원조건)총 사업비의 85%지원구 분지원방법지원기간사업비(분담비율)정부지원민간부담구축 지도DX멘토단 1인 x 4회최대 3개월119만원(85%)21만원(15%)* VAT미포함□ 신청기간◦선도형 스마트공장 구축지원사업 최종 선정 및 협약 || 21.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)400개사 내외◦(지원조건)총 사업비의 85%지원구 분지원방법지원기간사업비(분담비율)정부지원민간부담구축 지도DX멘토단 1인 x 4회최대 3개월119만원(85%)21만원(15%)* VAT미포함□ 신청기간◦선도형 스마트공장 구축지원사업 최종 선정 및 협약 || 119.0만원/total_support_scale: 구축 지도 및 운영 애로사항 해결지원 구분 지원기간 지원규모 지원한도 지원비중 접수 평가선정 구축 지도 3개월(4회) 400개사 내외 119만원 85% 최종 협약 후 2주 이내 수시 □ 신청 자격 ◦ 국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업 성장촉진 및 경쟁력 강 || 119.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선도형 || 21.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선도형,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0076&pbancSn=2
SMARTFACTORY:2026-N-0082:1,[서울] 2026년 제조DX멘토단 활용지원사업(구축지도) 도입기업 모집 공고,스마트공장 사업관리시스템,keep_excluded_or_manual_review,기업별/건당/과제당 한도 문맥 불충분,6,119.0만원/total_support_scale: 구축 지도 및 운영 애로사항 해결지원 구분지원기간지원규모지원한도지원비중접수평가선정구축 지도3개월(4회)400개사 내외119만원85%최종 협약 후 2주 이내수시□신청 자격◦국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업성장촉진 및 경쟁력 강화에 관한 특별 || 119.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)400개사 내외◦(지원조건)총 사업비의 85%지원구 분지원방법지원기간사업비(분담비율)정부지원민간부담구축 지도DX멘토단 1인 x 4회최대 3개월119만원(85%)21만원(15%)* VAT미포함□ 신청기간◦선도형 스마트공장 구축지원사업 최종 선정 및 협약 || 21.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등□지원 규모 및 조건◦(지원규모)400개사 내외◦(지원조건)총 사업비의 85%지원구 분지원방법지원기간사업비(분담비율)정부지원민간부담구축 지도DX멘토단 1인 x 4회최대 3개월119만원(85%)21만원(15%)* VAT미포함□ 신청기간◦선도형 스마트공장 구축지원사업 최종 선정 및 협약 || 119.0만원/total_support_scale: 구축 지도 및 운영 애로사항 해결지원 구분 지원기간 지원규모 지원한도 지원비중 접수 평가선정 구축 지도 3개월(4회) 400개사 내외 119만원 85% 최종 협약 후 2주 이내 수시 □ 신청 자격 ◦ 국내 제조기업 중「중소기업기본법」에 따른 중소기업 및 「중견기업 성장촉진 및 경쟁력 강 || 119.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선도형 || 21.0만원/total_support_scale: 기술애로 해결 등 제조 노하우 전수 등 □ 지원 규모 및 조건 ◦ (지원규모) 400개사 내외 ◦ (지원조건) 총 사업비의 85% 지원 구 분 지원방법 지원기간 사업비(분담비율) 정부지원 민간부담 구축 지도 DX멘토단 1인 x 4회 최대 3개월 119만원(85%) 21만원(15%) * VAT미포함 □ 신청기간 ◦ 선도형,https://www.smart-factory.kr/usr/bg/ba/ma/bsnsPbancDtl?pbancId=2026-N-0082&pbancSn=1
