policy_id,title,organization,bucket,recommended_action,reason,old_amount_manwon,old_amount_actual,old_amount_type,old_roi_apply_method,new_amount_manwon,new_amount_actual,new_amount_type,new_roi_apply_method,support_ratio,context,url
PBLN_000000000117307,[인천] 2026년 가상융합산업 콘텐츠 제작 장비 임차지원 공고(인천 가상융합산업 혁신센터),인천광역시,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,,,recommend_only,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117307
PBLN_000000000117839,2026년 고령친화식품 사용성평가 참여기업 모집 공고,식품의약품안전처,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,176.0,최대 100% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000117839
PBLN_000000000118224,2026년 미래 치과이식형 디지털의료제품 개발 기반구축 사업 기술서비스 지원사업 통합 공고,산업통상부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,500.0,최대 25% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.25,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118224
PBLN_000000000118467,[부산] 2026년 중소기업 ISO 인증 지원사업 모집 공고,부산광역시,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 40% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118467
PBLN_000000000118530,2026년 중소ㆍ중견 에너지효율 혁신 선도 프로젝트 선도기업 모집 공고,기후에너지환경부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 5% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.05,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118530
PBLN_000000000118617,[충북] 지능형첨단부품산업의 디지털전환 거점 구축 사업 오픈랩 AI 개발플랫폼 활용 지원 수혜기업 모집 공고,충청북도,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,지원금 확인 필요,unknown,recommend_only,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000118617
PBLN_000000000119083,[충북] 2026년 소상공인 IP출원(상표출원) 지원 사업 소상공인 수혜자 모집 공고,충청북도,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,13.0,최대 20% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.2,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119083
PBLN_000000000119904,[충북] 2026년 산업체 방사광가속기 활용 역량강화사업 산업체 방사광가속기 활용 프로그램 참여기업 모집 공고,충청북도,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,전 과정 무상지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119904
PBLN_000000000119976,2026년 해양 연구 시설ㆍ장비 사용료 지원사업 모집 공고,해양수산부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,1000.0,최대 100% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000119976
PBLN_000000000120312,2026년 국가배터리순환클러스터실증화시설 사용자 모집 공고,기후에너지환경부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 50% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.5,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120312
PBLN_000000000120459,[경남] 사천시ㆍ진주시 2026년 스마트제조 고급인력양성 사업 수요기업 모집 공고,산업통상부,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,지원금 확인 필요,unknown,recommend_only,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120459
PBLN_000000000120549,[경남] 2026년 항노화기업 천연물 소재화 지원사업 참여기업 모집 공고,경상남도,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,지원금 확인 필요,unknown,recommend_only,,,support_ratio,ratio_cap,1.0,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000120549
PBLN_000000000121193,[경남] 2026년 소상공인 IP출원(상표출원) 지원사업 소상공인 수혜자 모집 공고,지식재산처,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,13.0,최대 20% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.2,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121193
PBLN_000000000121702,[강원] 2026년 수출단체보험 가입 희망기업 모집 공고(강원특별자치도청 전액 보험료지원),강원특별자치도,support_ratio_only,store_support_ratio_only,대표금액 없이 지원비율 저장,,최대 95% 지원,support_ratio,ratio_cap,,,support_ratio,ratio_cap,0.95,,https://www.bizinfo.go.kr/sii/siia/selectSIIA200Detail.do?pblancId=PBLN_000000000121702
